stream,site,subsite,site_group,date,count,trap_status
battle creek,lbc,lbc,battle creek,1998-10-09,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-10,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-11,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-12,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-13,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1998-10-14,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1998-10-15,6,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-16,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-17,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-18,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-19,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-20,4,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-21,4,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-22,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-23,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-24,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-25,14,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-26,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-27,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-28,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-29,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-30,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-10-31,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1998-11-01,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-02,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-03,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-04,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1998-11-05,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-06,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-07,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-08,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-09,7,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-10,4,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-11,15,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-12,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-13,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-14,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-15,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-16,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-17,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-18,107,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-19,195,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-20,33,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-21,27,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-22,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-23,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-24,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-25,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-26,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-27,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-28,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-11-29,15,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-11-30,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-01,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-02,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-03,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-04,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-05,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-06,11,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-07,17,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-08,8,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-09,4,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-10,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-11,9,trap fishing - fish caught
