"FishID","ch","StudyID","fish_length","fish_weight","fish_type","fish_release_date","release_location","fish_k","year","rl","WY2","WY3","firstCap","length.z","weight.z","k.z","lastCap","dist_rlwoodson","dist_woodsonbutte","dist_buttesac","dist_sacdelta","dist_rlwoodson.z","dist_woodsonbutte.z","dist_buttesac.z","dist_sacdelta.z"
"CFC2013-001",11000,"ColemanFall_2013",85,6.35,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00103399145125178,2013,"1S",0,1,1,-0.306375807040202,-0.658965113638007,-1.15049897452418,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-002",11100,"ColemanFall_2013",95,9.41,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00109753608397726,2013,"1S",0,1,1,1.31290098205987,0.917908570254397,-0.493316579627576,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-003",10000,"ColemanFall_2013",83,6.3,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00110180889037351,2013,"1S",0,1,1,-0.630231164860216,-0.68473102350553,-0.44912696014314,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-004",10000,"ColemanFall_2013",81,6.75,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00127013158563227,2013,"1S",0,1,1,-0.954086522680229,-0.452837834697824,1.29167642861022,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-005",11110,"ColemanFall_2013",80,6.1,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00119140625,2013,"1S",0,1,1,-1.11601420159024,-0.787794662975622,0.477494295661815,4,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-006",11000,"ColemanFall_2013",82,6.65,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.001206091031761,2013,"1S",0,1,1,-0.792158843770223,-0.50436965443287,0.629365187542165,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-007",11100,"ColemanFall_2013",86,7.1,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00111625391474964,2013,"1S",0,1,1,-0.144448128130196,-0.272476465625163,-0.299735653486986,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-008",11100,"ColemanFall_2013",87,6.4,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.000971901418824212,2013,"1S",0,1,1,0.0174795507798112,-0.633199203770484,-1.79263780607958,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-009",11100,"ColemanFall_2013",88,8.23,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00120767984598047,2013,"1S",0,1,1,0.179407229689818,0.309833097380855,0.645796799293041,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-010",11000,"ColemanFall_2013",85,6.07,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.000988398127417057,2013,"1S",0,1,1,-0.306375807040202,-0.803254208896136,-1.62202785845752,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-011",10100,"ColemanFall_2013",86,6.6,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00103764448413347,2013,"1S",0,1,1,-0.144448128130196,-0.530135564300393,-1.11271908982178,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-012",11000,"ColemanFall_2013",82,6.89,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00124961912914786,2013,"1S",0,1,1,-0.792158843770223,-0.38069328706876,1.07953537594454,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-013",10000,"ColemanFall_2013",84,6.05,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00102074559982723,2013,"1S",0,1,1,-0.468303485950209,-0.813560572843145,-1.28748836274264,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-014",10000,"ColemanFall_2013",82,6.2,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00112447584916063,2013,"1S",0,1,1,-0.792158843770223,-0.736262843240576,-0.214703915712371,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-015",10110,"ColemanFall_2013",84,7.1,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00119789979483857,2013,"1S",0,1,1,-0.468303485950209,-0.272476465625163,0.544650925031534,4,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-016",11100,"ColemanFall_2013",87,6.08,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.000923306347883001,2013,"1S",0,1,1,0.0174795507798112,-0.798101026922631,-2.29521093824767,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-017",11100,"ColemanFall_2013",85,6.9,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00112354976592713,2013,"1S",0,1,1,-0.306375807040202,-0.375540105095255,-0.224281523940817,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-018",11100,"ColemanFall_2013",85,6.15,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00100142479136984,2013,"1S",0,1,1,-0.306375807040202,-0.762028753108099,-1.4873053201908,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-019",11000,"ColemanFall_2013",85,6.14,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.000999796458375738,2013,"1S",0,1,1,-0.306375807040202,-0.767181935081604,-1.50414563747418,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-020",11000,"ColemanFall_2013",86,6.42,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00100934508911165,2013,"1S",0,1,1,-0.144448128130196,-0.622892839823475,-1.40539312690229,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-021",11100,"ColemanFall_2013",80,6.38,"CNFH Fall Chinook","4/10/2013 8:21:00","BattleCk_CNFH_Rel",0.00124609375,2013,"1S",0,1,1,-1.11601420159024,-0.643505567717494,1.0430756937977,3,91.8,88,170,110,0.918,0.88,1.7,1.1
