record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,
T,4.1,8/3/2006,CDFW,CDWR,8,062763,12,,,,,1,1,2002,4/28/2003,4/29/2003,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,7.56,92,N,5000,53522,,,5000,1339,,,,0.0244,21,,,,BENICIA,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.951788396
T,4.1,1/3/2018,CDFW,CDFW,8,0601020809,15,,,,,1,3,2016,4/17/2017,4/17/2017,6FCSAFEA HFLA,6FCSAFEA FRFH,6FCSAFEA,,H,P,FR,,79,N,5000,2700,,,,,,,C,,0,0,,Originally Knaggs Project. Released Outlet due to Oroville Spillway incident,FEATHER BEL THRM HI FLOW,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,FEA,N,1
T,4.1,1/3/2018,CDFW,CDFW,8,0601020901,15,,,,,1,3,2016,5/4/2017,5/4/2017,6FCSAFEA,6FCSAFEA FRFH,6FCSAFEA,,H,P,FR,,79,N,5000,4969,,,,,,,C,,0,0,,Originally Knaggs Project. Released Herringer due to Oroville Spillway incident,FEATHER RIVER,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,FEA,N,1
T,4.1,1/3/2018,CDFW,CDFW,8,060572,12,,,,,1,3,2013,4/8/2014,4/8/2014,6FCSASBF RIOV NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,E,FR,7.55,,N,5000,99354,,,5000,105,0,633,C,,20,950,,Barge Experiment control.,SAC R AT RIO VISTA NET,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,SAFA,SACR,N,0.992626783
T,4.1,10/30/2019,USFWS,USFWS,7,055599,12,,,,,1,3,2012,4/10/2013,4/10/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,5,74,N,5000,200609,,,5000,529,0,603897,C,0.0026,19,380,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.248544991
T,4.1,10/30/2019,USFWS,USFWS,7,055604,12,,,,,1,3,2012,4/24/2013,4/24/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.9,74,N,5000,209679,,,0,631886,,,C,0.0027,19,366,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.248480945
T,4.1,10/30/2019,USFWS,USFWS,7,055605,12,,,,,1,3,2012,4/24/2013,4/24/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.7,74,N,5000,209004,,,0,627493,,,C,0,38,138,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.249856246
T,4.1,10/30/2019,USFWS,USFWS,7,055596,12,,,,,1,3,2012,4/10/2013,4/11/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,5.5,75,N,5000,205913,,,0,618233,,,C,0,27,390,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.249850148
T,4.1,12/7/2015,USFWS,USFWS,7,0501030207,15,,,,,1,4,2000,2/1/2001,2/1/2001,6FCSASAF LKRP,6FCSASAF LVNH,6FCSASAF,P,H,P,FR,5.28,78,N,5000,6013,,,,,,,C,0,15,200,,FAMILY GROUP 24V;25W;26O;26W,SAC R LAKE REDDING PARK,LIVINGSTON STONE HAT,SAC R AB FEATHER,CA,SAFA,SACR,N,1
T,4.1,1/22/2019,CDFW,CDFW,8,060474,12,,,,,1,3,2012,5/6/2013,5/7/2013,6FCSAAMN JIB,6FCSAAMN NBFH,6FCSAAMN,G,H,B,FR,6.38,,N,5000,373919,,,5000,1194,0,1127275,C,,14,923,,Howe v Jibboom,AMERICAN R AT JIBBOOM,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,N,0.248883111
T,4.1,10/30/2019,USFWS,USFWS,7,055593,12,,,,,1,3,2012,4/11/2013,4/11/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,B,FR,5.7,75,N,5000,101247,,,0,302224,,,C,0,34,209,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.250939968
T,4.1,1/22/2019,CDFW,CDFW,8,060475,12,,,,,1,3,2012,5/6/2013,5/7/2013,6FCSAAMN JIB,6FCSAAMN NBFH,6FCSAAMN,G,H,B,FR,4.24,,N,5000,373607,,,0,1121596,,,C,0,0,0,,Howe v Jibboom,AMERICAN R AT JIBBOOM,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,N,0.249870419
T,4.1,1/22/2019,CDFW,CDFW,8,060476,12,,,,,1,3,2012,5/7/2013,5/7/2013,6FCSAAMN HOW,6FCSAAMN NBFH,6FCSAAMN,G,H,E,FR,5.15,,N,5000,279070,0,311,5000,622,,,C,,14,900,,Howe v Jibboom,AMERICAN R AT HOWE,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,N,0.997778595
T,4.1,1/22/2019,CDFW,CDFW,8,068769,12,,,,,1,3,2010,6/10/2011,6/10/2011,6FCSAAMN SUN,6FCSAAMN NBFH,6FCSAAMN,V,H,E,FR,8.72,99,N,5000,268755,,,5000,597,0,1819,C,,21,900,,Selb v Sunrise,AMERICAN R AT SUNRISE,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,SAFA,AMER,N,0.991090493
T,4.1,1/22/2019,CDFW,CDFW,8,068770,12,,,,,1,3,2010,6/13/2011,6/15/2011,6MOSFROD SELBWICNET,6FCSAAMN NBFH,6FCSAAMN,V,H,B,FR,8.72,98,N,5000,201266,,,0,604384,,,C,,21,399,,Selb v Sunrise,WICKLAND OIL NET PEN,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,CECA,SFBA,N,0.249818159
T,4.1,1/22/2019,CDFW,CDFW,8,068783,12,,,,,1,3,2010,6/13/2011,6/15/2011,6MOSFROD SELBWICNET,6FCSAAMN NBFH,6FCSAAMN,V,H,B,FR,8.72,99,N,5000,34972,,,0,104989,,,C,,21,399,,Selb v Sunrise,WICKLAND OIL NET PEN,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,CECA,SFBA,N,0.249869607
T,4.1,10/30/2019,USFWS,USFWS,7,055594,12,,,,,1,3,2012,4/24/2013,4/24/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.2,72,N,5000,110916,0,847,0,335565,,,C,0,26,396,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.249845751
T,4.1,8/3/2006,CDFW,CDWR,8,062768,12,,,,,1,3,2002,4/30/2003,4/30/2003,6FCSAFEA LVOK,6FCSAFEA FRFH,6FCSAFEA,G,H,E,,4.53,77,N,5000,54493,,,5000,1112,,,,0.02,21,,,,FEATHER AT LIVE OAK,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,FEA,C,0.960401762
T,4.1,10/30/2019,USFWS,USFWS,7,055595,12,,,,,1,3,2012,4/24/2013,4/24/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,3.1,66,N,5000,112454,0,278,5000,557,0,340057,C,0.0049,23,407,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.247448115
T,4.1,10/30/2019,USFWS,USFWS,7,055606,12,,,,,1,3,2012,4/24/2013,4/24/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.5,73,N,5000,218130,,,5000,1077,0,658094,C,0.0049,34,407,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.247419259
T,4.1,10/30/2019,USFWS,USFWS,7,055607,12,,,,,1,3,2012,4/24/2013,4/24/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.3,72,N,5000,222903,,,5000,1698,0,674292,C,0.0076,29,397,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.246090399
T,4.1,10/30/2019,USFWS,USFWS,7,055608,12,,,,,1,3,2012,4/10/2013,4/10/2013,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,4.6,71,N,5000,305185,,,5000,1553,0,921144,C,0.0051,54,395,,Production,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,0.247278286
T,4.1,1/13/2020,CDFW,CDFW,8,060429,12,,,,,1,3,2011,5/10/2012,5/31/2012,6MOMOSCR NET,6FCSAFEA FRFH,6FCSAFEA FRFH,V,H,P,FR,8.99,,N,5000,240887,,,0,533,,,C,,21,900,,,SANTA CRUZ HARBOR NET PEN,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SAMO,N,0.997792229
