release_location_name,hatchery_location_name,latitude,longitude
FEATHER THERMALITO BYPASS,FEATHER R HATCHERY,39.455,-121.637
YUBA AT HALLWOOD BLVD,FEATHER R HATCHERY,39.182,-121.51
YUBA RIVER,FEATHER R HATCHERY,39.127,-121.596
SAC R BEL RBDD,COLEMAN NFH,39.412,-122.009
FEATHER BOYDS PUMP RAMP,FEATHER R HATCHERY,39.057,-121.61
FEATHER AT LIVE OAK,FEATHER R HATCHERY,39.27,-121.63
COLEMAN NFH,COLEMAN NFH,40.4,-122.145
FEATHER AT GRIDLEY,FEATHER R HATCHERY,39.366,-121.65
BATTLE CREEK BELOW CNFH,COLEMAN NFH,40.357,-122.175
FEATHER AT YUBA CITY,FEATHER R HATCHERY,39.133,-121.6
FEATHER BEL THRM HI FLOW,FEATHER R HATCHERY,39.366,-121.65
FEATHER R HATCHERY,FEATHER R HATCHERY,39.518,-121.557
SAC R AB RBDD,COLEMAN NFH,40.153,-122.204
SAC R AT BUTTE CITY,COLEMAN NFH,39.47,-121.99
SAC R AT PRINCETON FERRY,COLEMAN NFH,39.412,-122.009
SAC R RED BLUFF DIV DAM,COLEMAN NFH,40.153,-122.204
