"","release_location_name","avg_weight","avg_length","first_release_date","last_release_date","date_span","mid_release_date","wy_first_release","wy_last_release","delta_distance","release_latitude","release_longitude","group_tagcode","group_total_marked_N","group_total_unmarked_N","group_total_release_N","group_mark_rate"
"1","FEATHER AT GRIDLEY",2.4,NA,1986-03-17,1986-03-17,1,1986-03-17,1986-03-17,1986-03-17,115.9,39.366,-121.65,"B61004",96671,8224,104895,0.9216
"2","FEATHER AT GRIDLEY",2.55,NA,2022-03-20,2022-03-20,1,2022-03-20,2022-03-20,2022-03-20,115.9,39.366,-121.65,"062864",356754,359498,716252,0.4981
"3","FEATHER AT GRIDLEY",4.53,NA,2017-03-20,2017-03-20,1,2017-03-20,2017-03-20,2017-03-20,115.9,39.366,-121.65,"060965",523465,4695,528160,0.9911
"4","FEATHER AT GRIDLEY",4.77,NA,2016-03-24,2016-03-24,1,2016-03-24,2016-03-24,2016-03-24,115.9,39.366,-121.65,"060732",464247,1035,465282,0.9978
"5","FEATHER AT GRIDLEY",4.93,NA,2020-03-17,2020-03-17,1,2020-03-17,2020-03-17,2020-03-17,115.9,39.366,-121.65,"062042",347269,2331,349600,0.9933
"6","FEATHER AT GRIDLEY",5.04,NA,2019-04-05,2019-04-05,1,2019-04-05,2019-04-05,2019-04-05,115.9,39.366,-121.65,"061974",332691,0,332691,1
"7","FEATHER AT GRIDLEY",5.15,NA,2017-04-04,2017-04-04,1,2017-04-04,2017-04-04,2017-04-04,115.9,39.366,-121.65,"068729_068002",111120,998,112118,0.9911
"8","FEATHER AT GRIDLEY",5.59,NA,2015-03-18,2015-03-19,2,2015-03-19,2015-03-18,2015-03-19,115.9,39.366,-121.65,"060714",493279,6049,499328,0.9879
"9","FEATHER AT GRIDLEY",6.21,NA,2014-04-10,2014-04-10,1,2014-04-10,2014-04-10,2014-04-10,115.9,39.366,-121.65,"060569",102200,0,102200,1
"10","FEATHER AT GRIDLEY",6.47,NA,2020-04-07,2020-04-07,1,2020-04-07,2020-04-07,2020-04-07,115.9,39.366,-121.65,"062045",351928,1572,353500,0.9956
"11","FEATHER AT GRIDLEY",6.76,NA,2015-04-02,2015-04-02,1,2015-04-02,2015-04-02,2015-04-02,115.9,39.366,-121.65,"060567",259624,1451,261075,0.9944
"12","FEATHER AT GRIDLEY",6.97,NA,2013-04-17,2013-04-17,1,2013-04-17,2013-04-17,2013-04-17,115.9,39.366,-121.65,"060437",91684,616,92300,0.9933
"13","FEATHER AT GRIDLEY",6.97,NA,2015-04-02,2015-04-02,1,2015-04-02,2015-04-02,2015-04-02,115.9,39.366,-121.65,"068699",54836,184,55020,0.9967
