"","release_location_name","avg_weight","avg_length","first_release_date","last_release_date","tag_code_or_release_id","tag_loss_rate","wy_first_release","wy_last_release","date_span","total_marked_N","total_unmarked_N","total_release_N","mark_rate","mid_release_date","release_latitude","release_longitude","delta_distance"
"1","FEATHER BOYDS PUMP RAMP",6.57,NA,2021-03-19,2021-03-19,"062290",0,2021-03-19,2021-03-19,1,259071,3798,262869,0.985551738698743,2021-03-19,39.057,-121.61,68.53
"2","FEATHER BOYDS PUMP RAMP",7.43,NA,2021-03-19,2021-03-19,"062291",0,2021-03-19,2021-03-19,1,244548,5936,250484,0.97630187956117,2021-03-19,39.057,-121.61,68.53
"3","FEATHER BOYDS PUMP RAMP",5.89,NA,2021-04-01,2021-04-01,"062292",0,2021-04-01,2021-04-01,1,245407,4442,249849,0.982221261642032,2021-04-01,39.057,-121.61,68.53
"4","FEATHER BOYDS PUMP RAMP",6.47,NA,2021-04-01,2021-04-01,"062293",0,2021-04-01,2021-04-01,1,248146,1387,249533,0.994441616940445,2021-04-01,39.057,-121.61,68.53
"5","FEATHER BOYDS PUMP RAMP",6.97,NA,2018-03-26,2018-03-26,"061454",0,2018-03-26,2018-03-26,1,313340,5680,319020,0.982195473638016,2018-03-26,39.057,-121.61,68.53
"6","FEATHER AT GRIDLEY",4.53,NA,2017-03-20,2017-03-20,"060965",0,2017-03-20,2017-03-20,1,523465,4695,528160,0.991110648288397,2017-03-20,39.366,-121.65,115.9
"7","FEATHER AT GRIDLEY",5.15,NA,2017-04-04,2017-04-04,"068729",0,2017-04-04,2017-04-04,1,90775,815,91590,0.9911016486516,2017-04-04,39.366,-121.65,115.9
"8","FEATHER BOYDS PUMP RAMP",4.53,NA,2017-03-20,2017-03-20,"060964",0,2017-03-20,2017-03-20,1,522970,3527,526497,0.993301006463475,2017-03-20,39.057,-121.61,68.53
"9","FEATHER BOYDS PUMP RAMP",4.72,NA,2016-03-24,2016-03-24,"060731",0,2016-03-24,2016-03-24,1,530690,5969,536659,0.988877480858422,2016-03-24,39.057,-121.61,68.53
"10","FEATHER BOYDS PUMP RAMP",5.15,NA,2017-04-04,2017-04-04,"060966",0,2017-04-04,2017-04-04,1,530055,2961,533016,0.994444819667702,2017-04-04,39.057,-121.61,68.53
"11","FEATHER BOYDS PUMP RAMP",6.97,NA,2018-03-26,2018-03-26,"061405",0,2018-03-26,2018-03-26,1,174883,0,174883,1,2018-03-26,39.057,-121.61,68.53
"12","FEATHER AT LIVE OAK",7.82,94,2003-04-28,2003-05-21,"062788",0.0339,2003-04-28,2003-05-21,24,104198,7441,111639,0.933347665242433,2003-05-10,39.27,-121.63,100.78
"13","FEATHER AT LIVE OAK",7.82,94,2003-04-28,2003-05-21,"062789",0.0339,2003-04-28,2003-05-21,24,103548,7394,110942,0.933352562600278,2003-05-10,39.27,-121.63,100.78
"14","FEATHER AT LIVE OAK",7.82,94,2003-04-28,2003-05-21,"062790",0.0339,2003-04-28,2003-05-21,24,104996,7498,112494,0.933347556314114,2003-05-10,39.27,-121.63,100.78
"15","FEATHER AT LIVE OAK",7.82,94,2003-04-28,2003-05-21,"062791",0.0339,2003-04-28,2003-05-21,24,104233,7444,111677,0.933343481647967,2003-05-10,39.27,-121.63,100.78
"16","FEATHER AT LIVE OAK",7.82,94,2003-04-28,2003-05-21,"062792",0.0339,2003-04-28,2003-05-21,24,104800,7483,112283,0.933355895371517,2003-05-10,39.27,-121.63,100.78
"17","FEATHER AT LIVE OAK",8.25,94,2003-05-19,2003-05-19,"062793",0.045,2003-05-19,2003-05-19,1,93210,8988,102198,0.912053073445664,2003-05-19,39.27,-121.63,100.78
"18","FEATHER AT GRIDLEY",5.15,NA,2017-04-04,2017-04-04,"068002",0,2017-04-04,2017-04-04,1,20345,183,20528,0.991085346843336,2017-04-04,39.366,-121.65,115.9
"19","FEATHER BOYDS PUMP RAMP",7.55,NA,2019-04-22,2019-04-22,"061976",0,2019-04-22,2019-04-22,1,331647,0,331647,1,2019-04-22,39.057,-121.61,68.53
"20","FEATHER AT GRIDLEY",8.24,NA,2019-04-22,2019-04-22,"061534",0,2019-04-22,2019-04-22,1,142080,156,142236,0.998903231249473,2019-04-22,39.366,-121.65,115.9
"21","FEATHER AT GRIDLEY",8.24,NA,2019-04-22,2019-04-22,"061607",0,2019-04-22,2019-04-22,1,22849,25,22874,0.998907056046166,2019-04-22,39.366,-121.65,115.9
"22","FEATHER AT LIVE OAK",3.87,NA,2019-03-13,2019-03-13,"061972",0,2019-03-13,2019-03-13,1,329696,3008,332704,0.99095893046071,2019-03-13,39.27,-121.63,100.78
"23","FEATHER BOYDS PUMP RAMP",3.06,NA,2019-03-13,2019-03-13,"061973",0,2019-03-13,2019-03-13,1,327281,8274,335555,0.975342343282025,2019-03-13,39.057,-121.61,68.53
"24","FEATHER AT GRIDLEY",5.04,NA,2019-04-05,2019-04-05,"061974",0,2019-04-05,2019-04-05,1,332691,0,332691,1,2019-04-05,39.366,-121.65,115.9
"25","FEATHER BOYDS PUMP RAMP",5.15,NA,2019-04-05,2019-04-05,"061975",0,2019-04-05,2019-04-05,1,331494,0,331494,1,2019-04-05,39.057,-121.61,68.53
"26","FEATHER AT GRIDLEY",8.24,NA,2019-04-22,2019-04-22,"062004",0,2019-04-22,2019-04-22,1,11400,12,11412,0.998948475289169,2019-04-22,39.366,-121.65,115.9
"27","FEATHER AT GRIDLEY",8.24,NA,2019-04-22,2019-04-22,"068788",0,2019-04-22,2019-04-22,1,7697,8,7705,0.998961713173264,2019-04-22,39.366,-121.65,115.9
"28","FEATHER AT LIVE OAK",6.48,87,2002-04-18,2002-04-18,"062732",0.0184,2002-04-18,2002-04-18,1,84536,3195,87731,0.963581858180119,2002-04-18,39.27,-121.63,100.78
"29","FEATHER AT LIVE OAK",6.48,87,2002-04-29,2002-04-29,"062733",0.0402,2002-04-29,2002-04-29,1,81433,6965,88398,0.921208624629516,2002-04-29,39.27,-121.63,100.78
"30","FEATHER AT LIVE OAK",4.93,80,2002-04-03,2002-04-03,"062734",0.02,2002-04-03,2002-04-03,1,86701,3574,90275,0.960409858764885,2002-04-03,39.27,-121.63,100.78
"31","FEATHER AT LIVE OAK",1.75,57,2006-05-09,2006-05-15,"062468",0,2006-05-09,2006-05-15,7,116284,0,116284,1,2006-05-12,39.27,-121.63,100.78
"32","FEATHER AT LIVE OAK",1.75,57,2006-05-09,2006-05-12,"062469",0,2006-05-09,2006-05-12,4,115084,0,115084,1,2006-05-11,39.27,-121.63,100.78
"33","FEATHER AT LIVE OAK",1.75,57,2006-05-09,2006-05-12,"062470",0,2006-05-09,2006-05-12,4,116130,0,116130,1,2006-05-11,39.27,-121.63,100.78
"34","FEATHER AT LIVE OAK",1.75,57,2006-05-09,2006-05-12,"062471",0,2006-05-09,2006-05-12,4,113737,0,113737,1,2006-05-11,39.27,-121.63,100.78
"35","FEATHER AT LIVE OAK",1.75,57,2006-05-09,2006-05-12,"062472",0,2006-05-09,2006-05-12,4,70258,0,70258,1,2006-05-11,39.27,-121.63,100.78
"36","FEATHER BOYDS PUMP RAMP",6.57,NA,2014-04-10,2014-04-11,"060562",0,2014-04-10,2014-04-11,2,1029124,8766,1037890,0.991554018248562,2014-04-11,39.057,-121.61,68.53
"37","FEATHER AT GRIDLEY",6.21,NA,2014-04-10,2014-04-10,"060569",0,2014-04-10,2014-04-10,1,102200,0,102200,1,2014-04-10,39.366,-121.65,115.9
"38","FEATHER R HATCHERY",3.81,NA,1987-03-03,1987-03-03,"B61006",0.038,1987-03-03,1987-03-03,1,94653,7626,102279,0.92543923972663,1987-03-03,39.518,-121.557,140.87
"39","FEATHER R HATCHERY",3.44,NA,1985-04-01,1985-04-01,"B61001",0.0701,1985-04-01,1985-04-01,1,45206,7070,52276,0.864756293519015,1985-04-01,39.518,-121.557,140.87
"40","FEATHER AT GRIDLEY",75.6,NA,1979-01-25,1979-01-26,"065812",0.0458,1979-01-25,1979-01-26,2,47754,8447,56201,0.84970018327076,1979-01-26,39.366,-121.65,115.9
"41","FEATHER AT GRIDLEY",2.4,NA,1986-03-17,1986-03-17,"B61004",0.04,1986-03-17,1986-03-17,1,96671,8224,104895,0.921597788264455,1986-03-17,39.366,-121.65,115.9
"42","FEATHER AT YUBA CITY",64.8,NA,1978-12-21,1978-12-26,"065811",0.0522,1978-12-21,1978-12-26,6,51845,5869,57714,0.898308902519319,1978-12-24,39.133,-121.6,78.34
