week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
1,2003,battle creek,UBC,USFWS,battle creek,temperature,max,8.38
1,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,7.945
1,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.3
2,2003,battle creek,UBC,USFWS,battle creek,temperature,max,10.7
2,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.347857142857142
2,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.46
3,2003,battle creek,UBC,USFWS,battle creek,temperature,max,9.77
3,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,8.843120567375887
3,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.61
4,2003,battle creek,UBC,USFWS,battle creek,temperature,max,10.86
4,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.86353596757852
4,2003,battle creek,UBC,USFWS,battle creek,temperature,min,8.84
5,2003,battle creek,UBC,USFWS,battle creek,temperature,max,10.86
5,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.12080357142857
5,2003,battle creek,UBC,USFWS,battle creek,temperature,min,6.84
6,2003,battle creek,UBC,USFWS,battle creek,temperature,max,8.84
6,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,7.1717249240121586
6,2003,battle creek,UBC,USFWS,battle creek,temperature,min,5.59
7,2003,battle creek,UBC,USFWS,battle creek,temperature,max,11.63
7,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.739940476190478
7,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.92
8,2003,battle creek,UBC,USFWS,battle creek,temperature,max,10.86
8,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.444937310030397
8,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.77
9,2003,battle creek,UBC,USFWS,battle creek,temperature,max,10.7
9,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,9.149166666666664
9,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.61
10,2003,battle creek,UBC,USFWS,battle creek,temperature,max,12.71
10,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,10.447376519756839
10,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.92
11,2003,battle creek,UBC,USFWS,battle creek,temperature,max,13.02
11,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,10.707493667679838
11,2003,battle creek,UBC,USFWS,battle creek,temperature,min,8.07
12,2003,battle creek,UBC,USFWS,battle creek,temperature,max,12.59
12,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,10.86577380952381
12,2003,battle creek,UBC,USFWS,battle creek,temperature,min,8.53
13,2003,battle creek,UBC,USFWS,battle creek,temperature,max,14.1
13,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,11.545393793090666
13,2003,battle creek,UBC,USFWS,battle creek,temperature,min,8.84
14,2003,battle creek,UBC,USFWS,battle creek,temperature,max,10.54
14,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,8.9784375
14,2003,battle creek,UBC,USFWS,battle creek,temperature,min,7.15
29,2003,battle creek,UBC,USFWS,battle creek,temperature,max,21.81
29,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,19.119018490374877
29,2003,battle creek,UBC,USFWS,battle creek,temperature,min,16.78
30,2003,battle creek,UBC,USFWS,battle creek,temperature,max,21.81
30,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,19.567045339412363
30,2003,battle creek,UBC,USFWS,battle creek,temperature,min,17.57
31,2003,battle creek,UBC,USFWS,battle creek,temperature,max,21.64
31,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,19.16480563654033
31,2003,battle creek,UBC,USFWS,battle creek,temperature,min,16.46
32,2003,battle creek,UBC,USFWS,battle creek,temperature,max,19.99
32,2003,battle creek,UBC,USFWS,battle creek,temperature,mean,17.86590108915907
32,2003,battle creek,UBC,USFWS,battle creek,temperature,min,15.67
