year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2004,2004,2,battle creek,ubc,147,15,NA,0
2004,2004,4,battle creek,ubc,428,35,NA,0
2004,2004,5,battle creek,ubc,387,53,NA,0
2004,2004,6,battle creek,ubc,789,62,NA,0
2004,2004,7,battle creek,ubc,400,45,NA,0
2004,2004,8,battle creek,ubc,282,19,NA,0
2004,2004,10,battle creek,ubc,725,54,NA,0
2004,2004,11,battle creek,ubc,450,45,NA,0
2004,2004,13,battle creek,ubc,269,26,NA,0
2004,2004,14,battle creek,ubc,272,6,NA,0
2004,2004,15,battle creek,ubc,157,2,NA,0
2004,2004,16,battle creek,ubc,597,12,NA,0
2005,2005,1,battle creek,ubc,105,4,NA,0
2005,2005,2,battle creek,ubc,221,6,NA,0
2005,2005,3,battle creek,ubc,380,16,NA,0
2005,2005,4,battle creek,ubc,791,17,NA,0
2005,2005,5,battle creek,ubc,861,25,NA,0
2005,2005,6,battle creek,ubc,814,35,NA,0
2005,2005,7,battle creek,ubc,848,65,NA,0
2005,2005,8,battle creek,ubc,839,69,NA,0
2005,2005,9,battle creek,ubc,676,33,NA,0
2005,2005,10,battle creek,ubc,912,68,NA,0
2005,2005,11,battle creek,ubc,383,22,NA,0
2005,2005,12,battle creek,ubc,225,6,NA,0
2005,2005,13,battle creek,ubc,237,9,NA,0
2005,2005,14,battle creek,ubc,350,24,NA,0
2005,2005,15,battle creek,ubc,554,25,NA,0
2005,2005,16,battle creek,ubc,89,7,NA,0
2005,2005,17,battle creek,ubc,100,2,NA,0
2005,2005,18,battle creek,ubc,113,4,NA,0
2006,2006,5,battle creek,ubc,197,3,NA,0
2006,2006,6,battle creek,ubc,507,19,NA,0
2006,2006,7,battle creek,ubc,410,12,NA,0
2006,2006,8,battle creek,ubc,425,16,NA,0
2006,2006,12,battle creek,ubc,464,12,NA,0
2007,2008,52,battle creek,ubc,249,6,NA,0
2008,2008,1,battle creek,ubc,254,4,NA,0
2008,2008,2,battle creek,ubc,1578,54,NA,0
2008,2008,3,battle creek,ubc,1245,49,NA,0
2008,2008,4,battle creek,ubc,1033,26,NA,0
2008,2008,5,battle creek,ubc,1218,43,NA,0
2008,2008,6,battle creek,ubc,1205,30,NA,0
2008,2008,7,battle creek,ubc,1209,92,NA,0
2008,2008,8,battle creek,ubc,1204,29,NA,0
2008,2008,9,battle creek,ubc,1221,35,NA,0
2008,2008,10,battle creek,ubc,981,21,NA,0
2008,2008,11,battle creek,ubc,1215,24,NA,0
2008,2008,12,battle creek,ubc,1392,48,NA,0
2008,2008,13,battle creek,ubc,754,27,NA,0
2008,2008,14,battle creek,ubc,607,20,NA,0
2008,2008,15,battle creek,ubc,309,33,NA,0
2008,2009,52,battle creek,ubc,506,12,NA,0
2009,2009,1,battle creek,ubc,1012,26,NA,0
2009,2009,2,battle creek,ubc,1006,48,NA,0
2009,2009,3,battle creek,ubc,1012,22,NA,0
2009,2009,4,battle creek,ubc,2490,94,NA,0
2009,2009,5,battle creek,ubc,2922,140,NA,0
2009,2009,6,battle creek,ubc,3114,136,NA,0
2009,2009,7,battle creek,ubc,1001,14,NA,0
2009,2009,8,battle creek,ubc,1820,112,NA,0
2009,2009,10,battle creek,ubc,2252,85,NA,0
2009,2009,11,battle creek,ubc,2224,102,NA,0
2009,2009,12,battle creek,ubc,2121,82,NA,0
2009,2009,13,battle creek,ubc,2009,66,NA,0
2009,2009,14,battle creek,ubc,2025,63,NA,0
