year,week,stream,site,count,mean_fork_length,hours_fished,flow_cfs,log_flow_cfs,run_year,log_standardized_flow
1995,45,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1995,46,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1995,47,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1995,48,butte creek,okie dam,69,34.357142857142854,48,1,0,1996,NA
1995,49,butte creek,okie dam,2173,35.07361963190184,264.5,1,0,1996,NA
1995,50,butte creek,okie dam,3751,34.851485148514854,190,1,0,1996,NA
1995,51,butte creek,okie dam,6007,35.36538461538461,290.0501810584958,1,0,1996,NA
1995,52,butte creek,okie dam,4708,35.32627118644068,290.0501810584958,1,0,1996,NA
1995,53,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,1,butte creek,okie dam,20037,35.69969040247678,290.0501810584958,1,0,1996,NA
1996,2,butte creek,okie dam,39580,36.56818181818182,48,1,0,1996,NA
1996,3,butte creek,okie dam,11321,37.76470588235294,290.0501810584958,1,0,1996,NA
1996,4,butte creek,okie dam,10436,37.07692307692308,336,1,0,1996,NA
1996,5,butte creek,okie dam,10741,38.6875,282.5,1,0,1996,NA
1996,6,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,7,butte creek,okie dam,280,38.48299319727891,336,1,0,1996,NA
1996,8,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,9,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,10,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,11,butte creek,okie dam,44,43.875,144,1,0,1996,NA
1996,12,butte creek,okie dam,138,40.65853658536585,336,1,0,1996,NA
1996,13,butte creek,okie dam,26,63.57692307692308,336,1,0,1996,NA
1996,14,butte creek,okie dam,33,65.375,308.5,1,0,1996,NA
1996,15,butte creek,okie dam,94,56.21590909090909,288,1,0,1996,NA
1996,16,butte creek,okie dam,79,62.86486486486486,359.5,1,0,1996,NA
1996,17,butte creek,okie dam,39,80,312,1,0,1996,NA
1996,18,butte creek,okie dam,5,88.4,70.5,1,0,1996,NA
1996,19,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,20,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,21,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,22,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,23,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,24,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,25,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,26,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,27,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,28,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,29,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,30,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,31,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,32,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,33,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,34,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,35,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,36,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,37,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,38,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,39,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,40,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,41,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,42,butte creek,okie dam,NA,NA,NA,1,0,1996,NA
1996,43,butte creek,okie dam,0,NA,120,1,0,1996,NA
1996,44,butte creek,okie dam,0,NA,72.5,1,0,1996,NA
1996,45,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1996,46,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1996,47,butte creek,okie dam,48,32.214285714285715,336,1,0,1997,NA
1996,48,butte creek,okie dam,0,NA,24,1,0,1997,NA
1996,49,butte creek,okie dam,187,34.32142857142857,360,1,0,1997,NA
1996,50,butte creek,okie dam,298,34.91379310344828,73.25,1,0,1997,NA
1996,51,butte creek,okie dam,285,35.289256198347104,336,1,0,1997,NA
1996,52,butte creek,okie dam,348,35.01242236024845,239,1,0,1997,NA
1996,53,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,1,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,2,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,3,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,4,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,5,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,6,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,7,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,8,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,9,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,10,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,11,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,12,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,13,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,14,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,15,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,16,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,17,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,18,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,19,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,20,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,21,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,22,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,23,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,24,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,25,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,26,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,27,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,28,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,29,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,30,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,31,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,32,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,33,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,34,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,35,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,36,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,37,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,38,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,39,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,40,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,41,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,42,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,43,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,44,butte creek,okie dam,NA,NA,NA,1,0,1997,NA
1997,45,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1997,46,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1997,47,butte creek,okie dam,6,29.4,290.0501810584958,1,0,1998,NA
1997,48,butte creek,okie dam,18,31.5,97.42,1,0,1998,NA
1997,49,butte creek,okie dam,46,34.56666666666667,290.0501810584958,1,0,1998,NA
1997,50,butte creek,okie dam,105,34.34285714285714,290.0501810584958,1,0,1998,NA
1997,51,butte creek,okie dam,88,34.85333333333333,290.0501810584958,1,0,1998,NA
1997,52,butte creek,okie dam,219,35.05714285714286,290.0501810584958,1,0,1998,NA
1997,53,butte creek,okie dam,8,34.75,290.0501810584958,1,0,1998,NA
1998,1,butte creek,okie dam,5884,35.48275862068966,290.0501810584958,1,0,1998,NA
1998,2,butte creek,okie dam,639,35.56818181818182,290.0501810584958,1,0,1998,NA
1998,3,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,4,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,5,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,6,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,7,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,8,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,9,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,10,butte creek,okie dam,97,36.888888888888886,142.5,1,0,1998,NA
1998,11,butte creek,okie dam,357,36.38582677165354,191.5,1,0,1998,NA
1998,12,butte creek,okie dam,189,35.7875,215.92000000000002,1,0,1998,NA
1998,13,butte creek,okie dam,15,50.46666666666667,336,1,0,1998,NA
1998,14,butte creek,okie dam,34,39.607142857142854,168,1,0,1998,NA
1998,15,butte creek,okie dam,5,58,167.25,1,0,1998,NA
1998,16,butte creek,okie dam,18,53.111111111111114,168,1,0,1998,NA
1998,17,butte creek,okie dam,7,63.857142857142854,144.5,1,0,1998,NA
1998,18,butte creek,okie dam,17,65.3529411764706,192,1,0,1998,NA
1998,19,butte creek,okie dam,71,66.93442622950819,336,1,0,1998,NA
1998,20,butte creek,okie dam,85,69.8961038961039,335.17,1,0,1998,NA
1998,21,butte creek,okie dam,97,76.50649350649351,328.58,1,0,1998,NA
1998,22,butte creek,okie dam,26,82.36363636363636,315.25,1,0,1998,NA
1998,23,butte creek,okie dam,6,72.16666666666667,136,1,0,1998,NA
1998,24,butte creek,okie dam,7,87.85714285714286,168,1,0,1998,NA
1998,25,butte creek,okie dam,18,83.27777777777777,330.93,1,0,1998,NA
1998,26,butte creek,okie dam,3,94.66666666666667,75.5,1,0,1998,NA
1998,27,butte creek,okie dam,2,107.5,168,1,0,1998,NA
1998,28,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,29,butte creek,okie dam,1,149,168,1,0,1998,NA
1998,30,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,31,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,32,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,33,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,34,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,35,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,36,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,37,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,38,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,39,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,40,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,41,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,42,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,43,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,44,butte creek,okie dam,NA,NA,NA,1,0,1998,NA
1998,45,butte creek,okie dam,NA,NA,NA,1,0,1999,NA
1998,46,butte creek,okie dam,5,31.666666666666668,48,1,0,1999,NA
1998,47,butte creek,okie dam,82,31.542857142857144,240,1,0,1999,NA
1998,48,butte creek,okie dam,1036,31.396039603960396,335,1,0,1999,NA
1998,49,butte creek,okie dam,1627,33.31481481481482,336,1,0,1999,NA
1998,50,butte creek,okie dam,4698,33.718023255813954,334.75,1,0,1999,NA
1998,51,butte creek,okie dam,15309,34.18808777429467,336,1,0,1999,NA
1998,52,butte creek,okie dam,4058,33.840390879478825,336,1,0,1999,NA
1998,53,butte creek,okie dam,219,34.5,48,1,0,1999,NA
1999,1,butte creek,okie dam,16379,34.573913043478264,336,1,0,1999,NA
1999,2,butte creek,okie dam,33813,34.781879194630875,332,1,0,1999,NA
1999,3,butte creek,okie dam,234992,35.24096385542169,222.5,1,0,1999,NA
1999,4,butte creek,okie dam,21224,35.13333333333333,336,1,0,1999,NA
1999,5,butte creek,okie dam,19470,35.02469135802469,336,1,0,1999,NA
1999,6,butte creek,okie dam,3773,36.925925925925924,96,1,0,1999,NA
1999,7,butte creek,okie dam,565,34.1551724137931,336,1,0,1999,NA
1999,8,butte creek,okie dam,1071,34.98675496688742,336,1,0,1999,NA
1999,9,butte creek,okie dam,731,34.90909090909091,192,1,0,1999,NA
1999,10,butte creek,okie dam,891,36.708133971291865,336,1,0,1999,NA
1999,11,butte creek,okie dam,1724,37.80051813471503,336,1,0,1999,NA
1999,12,butte creek,okie dam,2289,37.880434782608695,336,1,0,1999,NA
1999,13,butte creek,okie dam,1145,40.032407407407405,336,1,0,1999,NA
1999,14,butte creek,okie dam,392,43.023809523809526,284.5,1,0,1999,NA
1999,15,butte creek,okie dam,580,38.61632653061225,336,1,0,1999,NA
1999,16,butte creek,okie dam,153,42.42335766423358,336,1,0,1999,NA
1999,17,butte creek,okie dam,109,46.03921568627451,332,1,0,1999,NA
1999,18,butte creek,okie dam,226,59.51381215469613,240,1,0,1999,NA
1999,19,butte creek,okie dam,2042,62.675585284280935,336,1,0,1999,NA
1999,20,butte creek,okie dam,2578,61.82646048109966,336,1,0,1999,NA
1999,21,butte creek,okie dam,1524,62.92948717948718,326,1,0,1999,NA
1999,22,butte creek,okie dam,780,68.56557377049181,336,1,0,1999,NA
1999,23,butte creek,okie dam,796,70.87218045112782,336,1,0,1999,NA
1999,24,butte creek,okie dam,401,73.29152542372881,240,1,0,1999,NA
