year,run_year,week,stream,site,number_released,number_recaptured
2021,2021,1,butte creek,okie dam,100,24
2021,2021,2,butte creek,okie dam,249,103
2021,2021,3,butte creek,okie dam,196,0
2021,2021,6,butte creek,okie dam,109,25
2021,2021,8,butte creek,okie dam,349,102
2021,2021,10,butte creek,okie dam,197,27
2021,2021,14,butte creek,okie dam,160,15
2021,2021,15,butte creek,okie dam,500,182
2022,2022,6,butte creek,okie dam,250,84
2022,2022,7,butte creek,okie dam,249,81
2022,2022,10,butte creek,okie dam,185,27
2023,2023,4,butte creek,okie dam,71,8
2023,2023,5,butte creek,okie dam,161,12
2023,2023,6,butte creek,okie dam,224,51
2023,2023,7,butte creek,okie dam,215,58
2023,2023,8,butte creek,okie dam,182,21
2023,2023,9,butte creek,okie dam,186,18
2023,2023,10,butte creek,okie dam,517,34
2024,2024,1,butte creek,okie dam,219,71
2024,2024,3,butte creek,okie dam,199,62
2025,2025,2,butte creek,okie dam,73,31
2025,2025,3,butte creek,okie dam,55,34
2025,2025,4,butte creek,okie dam,52,18
2025,2025,5,butte creek,okie dam,115,44
2026,2026,3,butte creek,okie dam,196,32
2026,2026,4,butte creek,okie dam,115,34
2026,2026,5,butte creek,okie dam,200,36
2026,2026,6,butte creek,okie dam,200,20
