year,stream,count,data_type,lower_bound_estimate,upper_bound_estimate,confidence_level
2001,clear creek,81,redd,NA,NA,NA
2002,clear creek,227,redd,NA,NA,NA
2003,clear creek,72,redd,NA,NA,NA
2004,clear creek,64,redd,NA,NA,NA
2005,clear creek,174,redd,NA,NA,NA
2006,clear creek,112,redd,NA,NA,NA
2007,clear creek,84,redd,NA,NA,NA
2008,clear creek,96,redd,NA,NA,NA
2009,clear creek,79,redd,NA,NA,NA
2010,clear creek,20,redd,NA,NA,NA
2011,clear creek,23,redd,NA,NA,NA
2012,clear creek,36,redd,NA,NA,NA
2013,clear creek,144,redd,NA,NA,NA
2014,clear creek,80,redd,NA,NA,NA
2015,clear creek,40,redd,NA,NA,NA
2016,clear creek,24,redd,NA,NA,NA
2017,clear creek,9,redd,NA,NA,NA
2018,clear creek,4,redd,NA,NA,NA
2019,clear creek,50,redd,NA,NA,NA
2022,clear creek,6,redd,NA,NA,NA
2023,clear creek,0,redd,NA,NA,NA
2024,clear creek,4,redd,NA,NA,NA
2025,clear creek,19,redd,NA,NA,NA
1995,clear creek,2,upstream_estimate,NA,NA,NA
1998,clear creek,47,upstream_estimate,NA,NA,NA
1999,clear creek,35,upstream_estimate,NA,NA,NA
2000,clear creek,9,upstream_estimate,NA,NA,NA
2001,clear creek,0,upstream_estimate,NA,NA,NA
2002,clear creek,66,upstream_estimate,NA,NA,NA
2003,clear creek,25,upstream_estimate,NA,NA,NA
2004,clear creek,98,upstream_estimate,NA,NA,NA
2005,clear creek,69,upstream_estimate,NA,NA,NA
2006,clear creek,77,upstream_estimate,NA,NA,NA
2007,clear creek,194,upstream_estimate,NA,NA,NA
2008,clear creek,200,upstream_estimate,NA,NA,NA
2009,clear creek,120,upstream_estimate,NA,NA,NA
2010,clear creek,21,upstream_estimate,NA,NA,NA
2011,clear creek,8,upstream_estimate,NA,NA,NA
2012,clear creek,68,upstream_estimate,NA,NA,NA
2013,clear creek,659,upstream_estimate,NA,NA,NA
2014,clear creek,95,upstream_estimate,NA,NA,NA
2015,clear creek,45,upstream_estimate,NA,NA,NA
2016,clear creek,29,upstream_estimate,NA,NA,NA
2017,clear creek,25,upstream_estimate,NA,NA,NA
2020,clear creek,172,upstream_estimate,NA,NA,NA
2021,clear creek,2252,upstream_estimate,NA,NA,NA
2022,clear creek,195,upstream_estimate,NA,NA,NA
2024,clear creek,6,upstream_estimate,NA,NA,NA
2025,clear creek,69,upstream_estimate,NA,NA,NA
