week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
7,2001,clear creek,LCC,USFWS,clear creek,temperature,max,7.77
7,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,7.109097222222222
7,2001,clear creek,LCC,USFWS,clear creek,temperature,min,6.53
8,2001,clear creek,LCC,USFWS,clear creek,temperature,max,8.99
8,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,7.795654761904762
8,2001,clear creek,LCC,USFWS,clear creek,temperature,min,6.68
9,2001,clear creek,LCC,USFWS,clear creek,temperature,max,9.61
9,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,7.981220238095239
9,2001,clear creek,LCC,USFWS,clear creek,temperature,min,6.68
10,2001,clear creek,LCC,USFWS,clear creek,temperature,max,11.94
10,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,9.674438956433637
10,2001,clear creek,LCC,USFWS,clear creek,temperature,min,7.77
11,2001,clear creek,LCC,USFWS,clear creek,temperature,max,13.03
11,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,10.19737145390071
11,2001,clear creek,LCC,USFWS,clear creek,temperature,min,8.23
12,2001,clear creek,LCC,USFWS,clear creek,temperature,max,14.26
12,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,11.71297302431611
12,2001,clear creek,LCC,USFWS,clear creek,temperature,min,9.77
13,2001,clear creek,LCC,USFWS,clear creek,temperature,max,14.89
13,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,11.891768617021276
13,2001,clear creek,LCC,USFWS,clear creek,temperature,min,9.46
14,2001,clear creek,LCC,USFWS,clear creek,temperature,max,12.87
14,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,9.96324531408308
14,2001,clear creek,LCC,USFWS,clear creek,temperature,min,8.07
15,2001,clear creek,LCC,USFWS,clear creek,temperature,max,13.34
15,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,10.791031746031747
15,2001,clear creek,LCC,USFWS,clear creek,temperature,min,8.23
16,2001,clear creek,LCC,USFWS,clear creek,temperature,max,14.57
16,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,11.167355623100304
16,2001,clear creek,LCC,USFWS,clear creek,temperature,min,7.92
17,2001,clear creek,LCC,USFWS,clear creek,temperature,max,17.27
17,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,13.939289513677812
17,2001,clear creek,LCC,USFWS,clear creek,temperature,min,11.01
18,2001,clear creek,LCC,USFWS,clear creek,temperature,max,17.11
18,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,13.820259575569356
18,2001,clear creek,LCC,USFWS,clear creek,temperature,min,11.32
19,2001,clear creek,LCC,USFWS,clear creek,temperature,max,18.39
19,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,15.553000886524819
19,2001,clear creek,LCC,USFWS,clear creek,temperature,min,12.87
20,2001,clear creek,LCC,USFWS,clear creek,temperature,max,19.53
20,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,15.174292679837892
20,2001,clear creek,LCC,USFWS,clear creek,temperature,min,12.09
21,2001,clear creek,LCC,USFWS,clear creek,temperature,max,20.02
21,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,16.781249999999996
21,2001,clear creek,LCC,USFWS,clear creek,temperature,min,14.11
22,2001,clear creek,LCC,USFWS,clear creek,temperature,max,20.5
22,2001,clear creek,LCC,USFWS,clear creek,temperature,mean,16.459285714285716
