year,run_year,week,stream,site,number_released,number_recaptured
2003,2004,49,clear creek,lcc,14,3
2003,2004,49,clear creek,ucc,20,6
2003,2004,50,clear creek,lcc,259,5
2003,2004,50,clear creek,ucc,259,7
2003,2004,51,clear creek,lcc,346,14
2003,2004,51,clear creek,ucc,469,32
2004,2004,2,clear creek,lcc,247,13
2004,2004,2,clear creek,ucc,248,11
2004,2004,5,clear creek,lcc,398,25
2004,2004,5,clear creek,ucc,400,50
2004,2004,6,clear creek,lcc,793,40
2004,2004,6,clear creek,ucc,797,59
2004,2004,7,clear creek,lcc,447,12
2004,2004,7,clear creek,ucc,367,39
2004,2004,8,clear creek,lcc,398,11
2004,2004,8,clear creek,ucc,406,21
2004,2004,9,clear creek,lcc,402,11
2004,2004,9,clear creek,ucc,405,40
2004,2004,10,clear creek,lcc,693,17
2004,2004,10,clear creek,ucc,741,89
2004,2004,11,clear creek,lcc,782,22
2004,2004,11,clear creek,ucc,784,105
2004,2004,13,clear creek,lcc,368,7
2004,2004,13,clear creek,ucc,388,23
2004,2004,14,clear creek,ucc,429,62
2004,2004,15,clear creek,ucc,186,11
2004,2004,16,clear creek,ucc,353,36
2005,2005,1,clear creek,lcc,662,12
2005,2005,1,clear creek,ucc,677,15
2005,2005,2,clear creek,lcc,690,29
2005,2005,2,clear creek,ucc,814,28
2005,2005,3,clear creek,lcc,452,7
2005,2005,3,clear creek,ucc,453,27
2005,2005,4,clear creek,lcc,855,11
2005,2005,4,clear creek,ucc,799,22
2005,2005,5,clear creek,lcc,835,32
2005,2005,5,clear creek,ucc,870,37
2005,2005,6,clear creek,lcc,820,31
2005,2005,6,clear creek,ucc,863,43
2005,2005,7,clear creek,lcc,759,26
2005,2005,7,clear creek,ucc,760,90
2005,2005,8,clear creek,lcc,809,12
2005,2005,8,clear creek,ucc,805,104
2005,2005,9,clear creek,lcc,724,18
2005,2005,9,clear creek,ucc,806,67
2005,2005,10,clear creek,lcc,475,5
2005,2005,10,clear creek,ucc,441,40
2005,2005,11,clear creek,lcc,92,2
2005,2005,11,clear creek,ucc,97,10
2005,2005,12,clear creek,lcc,319,1
2005,2005,12,clear creek,ucc,398,33
2005,2005,13,clear creek,lcc,641,54
2005,2005,13,clear creek,ucc,613,75
2005,2005,14,clear creek,lcc,600,48
2005,2005,14,clear creek,ucc,598,64
2005,2005,15,clear creek,lcc,582,56
2005,2005,15,clear creek,ucc,469,56
2005,2005,16,clear creek,lcc,273,16
2005,2005,16,clear creek,ucc,373,46
2005,2005,17,clear creek,lcc,120,9
2005,2005,17,clear creek,ucc,62,15
2005,2005,18,clear creek,lcc,191,9
2005,2005,18,clear creek,ucc,116,10
2005,2005,19,clear creek,lcc,96,3
2005,2005,19,clear creek,ucc,107,23
2005,2006,51,clear creek,lcc,186,8
2005,2006,51,clear creek,ucc,173,3
2006,2006,1,clear creek,ucc,392,17
2006,2006,2,clear creek,ucc,375,8
2006,2006,3,clear creek,lcc,392,14
2006,2006,3,clear creek,ucc,390,8
2006,2006,4,clear creek,lcc,803,32
2006,2006,4,clear creek,ucc,809,43
2006,2006,5,clear creek,lcc,765,30
2006,2006,5,clear creek,ucc,755,24
2006,2006,6,clear creek,lcc,687,24
2006,2006,6,clear creek,ucc,727,43
2006,2006,7,clear creek,lcc,393,23
2006,2006,7,clear creek,ucc,399,22
2006,2006,8,clear creek,lcc,407,21
2006,2006,8,clear creek,ucc,417,33
2006,2006,9,clear creek,lcc,396,12
2006,2006,9,clear creek,ucc,401,3
2006,2006,10,clear creek,lcc,415,10
2006,2006,10,clear creek,ucc,425,18
2006,2006,11,clear creek,lcc,412,12
2006,2006,11,clear creek,ucc,408,3
2006,2006,12,clear creek,lcc,299,11
2006,2006,12,clear creek,ucc,297,11
2006,2006,13,clear creek,lcc,140,4
2006,2006,13,clear creek,ucc,135,3
2006,2006,14,clear creek,lcc,177,4
2006,2006,14,clear creek,ucc,177,12
2006,2006,16,clear creek,lcc,135,2
2006,2007,50,clear creek,ucc,485,65
2006,2007,51,clear creek,ucc,361,49
2006,2007,52,clear creek,ucc,401,28
2007,2007,2,clear creek,lcc,340,14
2007,2007,2,clear creek,ucc,353,59
2007,2007,3,clear creek,ucc,401,48
2007,2007,4,clear creek,lcc,401,30
2007,2007,4,clear creek,ucc,398,52
2007,2007,5,clear creek,lcc,399,19
2007,2007,5,clear creek,ucc,408,45
2007,2007,6,clear creek,lcc,778,25
2007,2007,6,clear creek,ucc,409,31
2007,2007,7,clear creek,lcc,389,3
2007,2007,7,clear creek,ucc,399,43
2007,2007,8,clear creek,lcc,832,27
2007,2007,9,clear creek,lcc,405,12
2007,2007,9,clear creek,ucc,393,37
2007,2007,10,clear creek,lcc,398,4
2007,2007,10,clear creek,ucc,382,31
2007,2007,11,clear creek,lcc,398,9
2007,2007,11,clear creek,ucc,382,28
2007,2007,12,clear creek,lcc,410,8
2007,2007,12,clear creek,ucc,319,27
2007,2007,13,clear creek,lcc,396,15
2007,2007,13,clear creek,ucc,380,40
2007,2007,14,clear creek,lcc,413,6
2007,2007,14,clear creek,ucc,394,43
2007,2007,15,clear creek,lcc,396,10
2007,2007,15,clear creek,ucc,383,34
2007,2007,16,clear creek,lcc,397,8
2007,2007,17,clear creek,lcc,415,17
2007,2007,18,clear creek,lcc,343,5
2007,2007,18,clear creek,ucc,85,7
2007,2007,20,clear creek,lcc,302,13
2007,2007,20,clear creek,ucc,136,18
2007,2008,50,clear creek,ucc,191,19
2007,2008,51,clear creek,lcc,402,12
2007,2008,51,clear creek,ucc,400,48
2007,2008,52,clear creek,ucc,325,47
2007,2008,53,clear creek,lcc,398,29
2008,2008,1,clear creek,ucc,496,14
2008,2008,2,clear creek,lcc,798,24
2008,2008,2,clear creek,ucc,709,36
2008,2008,3,clear creek,lcc,797,45
2008,2008,3,clear creek,ucc,803,104
2008,2008,4,clear creek,lcc,822,26
2008,2008,4,clear creek,ucc,793,68
2008,2008,5,clear creek,lcc,401,18
2008,2008,5,clear creek,ucc,406,31
2008,2008,6,clear creek,lcc,826,31
2008,2008,6,clear creek,ucc,815,54
2008,2008,7,clear creek,lcc,817,25
2008,2008,7,clear creek,ucc,803,97
2008,2008,8,clear creek,lcc,804,32
2008,2008,8,clear creek,ucc,801,52
2008,2008,9,clear creek,lcc,798,33
2008,2008,9,clear creek,ucc,802,88
2008,2008,10,clear creek,lcc,772,49
2008,2008,10,clear creek,ucc,776,198
2008,2008,11,clear creek,lcc,809,38
2008,2008,11,clear creek,ucc,811,208
2008,2008,12,clear creek,lcc,401,14
2008,2008,12,clear creek,ucc,812,77
2008,2008,13,clear creek,lcc,802,42
2008,2008,13,clear creek,ucc,394,36
2008,2008,14,clear creek,lcc,805,40
2008,2008,15,clear creek,lcc,411,32
2008,2009,49,clear creek,ucc,739,116
2008,2009,50,clear creek,ucc,806,107
2008,2009,51,clear creek,lcc,800,78
2008,2009,51,clear creek,ucc,821,86
2008,2009,52,clear creek,lcc,310,39
2008,2009,52,clear creek,ucc,713,39
2009,2009,1,clear creek,lcc,1199,105
2009,2009,1,clear creek,ucc,1242,153
2009,2009,2,clear creek,lcc,787,37
2009,2009,2,clear creek,ucc,802,94
