year,stream,count,data_type,lower_bound_estimate,upper_bound_estimate,confidence_level
1992,deer creek,209,holding,NA,NA,NA
1993,deer creek,259,holding,NA,NA,NA
1994,deer creek,485,holding,NA,NA,NA
1995,deer creek,1295,holding,NA,NA,NA
1996,deer creek,614,holding,NA,NA,NA
1997,deer creek,466,holding,NA,NA,NA
1998,deer creek,1879,holding,NA,NA,NA
1999,deer creek,1591,holding,NA,NA,NA
2000,deer creek,637,holding,NA,NA,NA
2001,deer creek,1622,holding,NA,NA,NA
2002,deer creek,2195,holding,NA,NA,NA
2003,deer creek,2759,holding,NA,NA,NA
2004,deer creek,804,holding,NA,NA,NA
2005,deer creek,2239,holding,NA,NA,NA
2006,deer creek,2432,holding,NA,NA,NA
2007,deer creek,644,holding,NA,NA,NA
2008,deer creek,140,holding,NA,NA,NA
2009,deer creek,213,holding,NA,NA,NA
2010,deer creek,262,holding,NA,NA,NA
2011,deer creek,271,holding,NA,NA,NA
2012,deer creek,734,holding,NA,NA,NA
2013,deer creek,708,holding,NA,NA,NA
2014,deer creek,641,holding,NA,NA,NA
2015,deer creek,99,holding,NA,NA,NA
2016,deer creek,268,holding,NA,NA,NA
2017,deer creek,219,holding,NA,NA,NA
2018,deer creek,104,holding,NA,NA,NA
2019,deer creek,373,holding,NA,NA,NA
2020,deer creek,40,holding,NA,NA,NA
2021,deer creek,282,redd,NA,NA,NA
2022,deer creek,127,holding,NA,NA,NA
2023,deer creek,16,holding,NA,NA,NA
2024,deer creek,33,holding,NA,NA,NA
2025,deer creek,343,holding,NA,NA,NA
2014,deer creek,830,upstream_estimate,NA,NA,NA
2015,deer creek,268,upstream_estimate,NA,NA,NA
2016,deer creek,331,upstream_estimate,NA,NA,NA
2017,deer creek,159,upstream_estimate,NA,NA,NA
2018,deer creek,159,upstream_estimate,NA,NA,NA
2019,deer creek,585,upstream_estimate,NA,NA,NA
2020,deer creek,90,upstream_estimate,NA,NA,NA
2021,deer creek,614,upstream_estimate,NA,NA,NA
2022,deer creek,397,upstream_estimate,NA,NA,NA
2023,deer creek,23,upstream_estimate,NA,NA,NA
2025,deer creek,135,upstream_estimate,NA,NA,NA
