week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
40,1998,deer creek,DCV,CDEC,deer creek,temperature,max,17
40,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,14.596618357487923
40,1998,deer creek,DCV,CDEC,deer creek,temperature,min,12.5
41,1998,deer creek,DCV,CDEC,deer creek,temperature,max,14.777777777777779
41,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,12.728835978835978
41,1998,deer creek,DCV,CDEC,deer creek,temperature,min,11.166666666666666
42,1998,deer creek,DCV,CDEC,deer creek,temperature,max,12.611111111111112
42,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,11.196428571428573
42,1998,deer creek,DCV,CDEC,deer creek,temperature,min,9.666666666666666
43,1998,deer creek,DCV,CDEC,deer creek,temperature,max,12.555555555555555
43,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,11.54133597883598
43,1998,deer creek,DCV,CDEC,deer creek,temperature,min,10.61111111111111
44,1998,deer creek,DCV,CDEC,deer creek,temperature,max,12.111111111111109
44,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,10.357142857142858
44,1998,deer creek,DCV,CDEC,deer creek,temperature,min,9.277777777777779
45,1998,deer creek,DCV,CDEC,deer creek,temperature,max,10.5
45,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,8.516203703703702
45,1998,deer creek,DCV,CDEC,deer creek,temperature,min,6.888888888888888
46,1998,deer creek,DCV,CDEC,deer creek,temperature,max,9.611111111111109
46,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,8.173280423280422
46,1998,deer creek,DCV,CDEC,deer creek,temperature,min,6.944444444444445
47,1998,deer creek,DCV,CDEC,deer creek,temperature,max,10.833333333333334
47,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,8.509259259259258
47,1998,deer creek,DCV,CDEC,deer creek,temperature,min,6.666666666666667
48,1998,deer creek,DCV,CDEC,deer creek,temperature,max,10.222222222222221
48,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,8.709325396825395
48,1998,deer creek,DCV,CDEC,deer creek,temperature,min,7.833333333333333
49,1998,deer creek,DCV,CDEC,deer creek,temperature,max,9.555555555555557
49,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,5.383928571428571
49,1998,deer creek,DCV,CDEC,deer creek,temperature,min,3.4999999999999982
50,1998,deer creek,DCV,CDEC,deer creek,temperature,max,8.61111111111111
50,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,6.752314814814815
50,1998,deer creek,DCV,CDEC,deer creek,temperature,min,4.722222222222222
51,1998,deer creek,DCV,CDEC,deer creek,temperature,max,8.777777777777777
51,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,4.364417989417989
51,1998,deer creek,DCV,CDEC,deer creek,temperature,min,0.7222222222222207
52,1998,deer creek,DCV,CDEC,deer creek,temperature,max,5.611111111111112
52,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,3.929419714745802
52,1998,deer creek,DCV,CDEC,deer creek,temperature,min,0.6666666666666683
53,1998,deer creek,DCV,CDEC,deer creek,temperature,max,6.4444444444444455
53,1998,deer creek,DCV,CDEC,deer creek,temperature,mean,5.902777777777778
53,1998,deer creek,DCV,CDEC,deer creek,temperature,min,5.38888888888889
1,1999,deer creek,DCV,CDEC,deer creek,temperature,max,5.999999999999998
1,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,5.218693343693343
1,1999,deer creek,DCV,CDEC,deer creek,temperature,min,4.61111111111111
2,1999,deer creek,DCV,CDEC,deer creek,temperature,max,6.611111111111111
2,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,5.190806878306879
2,1999,deer creek,DCV,CDEC,deer creek,temperature,min,4.166666666666667
3,1999,deer creek,DCV,CDEC,deer creek,temperature,max,9.277777777777779
3,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,8.04530423280423
3,1999,deer creek,DCV,CDEC,deer creek,temperature,min,6.333333333333332
4,1999,deer creek,DCV,CDEC,deer creek,temperature,max,7.555555555555555
4,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,5.805555555555555
4,1999,deer creek,DCV,CDEC,deer creek,temperature,min,4.666666666666666
5,1999,deer creek,DCV,CDEC,deer creek,temperature,max,6.833333333333332
5,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,5.242724867724868
5,1999,deer creek,DCV,CDEC,deer creek,temperature,min,4.166666666666667
6,1999,deer creek,DCV,CDEC,deer creek,temperature,max,8.499999999999998
6,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,6.476233609385782
6,1999,deer creek,DCV,CDEC,deer creek,temperature,min,4.777777777777779
7,1999,deer creek,DCV,CDEC,deer creek,temperature,max,8.222222222222221
7,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,6.932208994708995
7,1999,deer creek,DCV,CDEC,deer creek,temperature,min,5
8,1999,deer creek,DCV,CDEC,deer creek,temperature,max,8.944444444444445
8,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,7.478395061728395
8,1999,deer creek,DCV,CDEC,deer creek,temperature,min,6.222222222222224
9,1999,deer creek,DCV,CDEC,deer creek,temperature,max,9.777777777777779
9,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,7.938822751322752
9,1999,deer creek,DCV,CDEC,deer creek,temperature,min,6.500000000000002
10,1999,deer creek,DCV,CDEC,deer creek,temperature,max,7.5
10,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,6.4699074074074066
10,1999,deer creek,DCV,CDEC,deer creek,temperature,min,5.166666666666665
11,1999,deer creek,DCV,CDEC,deer creek,temperature,max,10.666666666666668
11,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,8.667328042328041
11,1999,deer creek,DCV,CDEC,deer creek,temperature,min,5.833333333333333
12,1999,deer creek,DCV,CDEC,deer creek,temperature,max,10.61111111111111
12,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,8.98181216931217
12,1999,deer creek,DCV,CDEC,deer creek,temperature,min,7.5
13,1999,deer creek,DCV,CDEC,deer creek,temperature,max,11.222222222222223
13,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,8.145502645502646
13,1999,deer creek,DCV,CDEC,deer creek,temperature,min,5.7222222222222205
14,1999,deer creek,DCV,CDEC,deer creek,temperature,max,9.444444444444445
14,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,7.831377961812744
14,1999,deer creek,DCV,CDEC,deer creek,temperature,min,5.944444444444446
15,1999,deer creek,DCV,CDEC,deer creek,temperature,max,12.944444444444443
15,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,9.151124338624339
15,1999,deer creek,DCV,CDEC,deer creek,temperature,min,5.166666666666665
16,1999,deer creek,DCV,CDEC,deer creek,temperature,max,14.000000000000002
16,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,11.960317460317459
16,1999,deer creek,DCV,CDEC,deer creek,temperature,min,9.666666666666666
17,1999,deer creek,DCV,CDEC,deer creek,temperature,max,14.444444444444445
17,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,11.338955026455027
17,1999,deer creek,DCV,CDEC,deer creek,temperature,min,8
18,1999,deer creek,DCV,CDEC,deer creek,temperature,max,14.88888888888889
18,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,11.582010582010582
18,1999,deer creek,DCV,CDEC,deer creek,temperature,min,7.777777777777778
19,1999,deer creek,DCV,CDEC,deer creek,temperature,max,15.5
19,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,12.60648148148148
19,1999,deer creek,DCV,CDEC,deer creek,temperature,min,9.888888888888888
20,1999,deer creek,DCV,CDEC,deer creek,temperature,max,16.11111111111111
20,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,13.335648148148149
20,1999,deer creek,DCV,CDEC,deer creek,temperature,min,10.111111111111112
21,1999,deer creek,DCV,CDEC,deer creek,temperature,max,20.27777777777778
21,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,17.5515873015873
21,1999,deer creek,DCV,CDEC,deer creek,temperature,min,13.555555555555555
22,1999,deer creek,DCV,CDEC,deer creek,temperature,max,19.499999999999996
22,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,16.50595238095238
22,1999,deer creek,DCV,CDEC,deer creek,temperature,min,11.88888888888889
23,1999,deer creek,DCV,CDEC,deer creek,temperature,max,18.111111111111107
23,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,15.34920634920635
23,1999,deer creek,DCV,CDEC,deer creek,temperature,min,10.944444444444446
24,1999,deer creek,DCV,CDEC,deer creek,temperature,max,20.888888888888886
24,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,18.5734126984127
24,1999,deer creek,DCV,CDEC,deer creek,temperature,min,14.88888888888889
25,1999,deer creek,DCV,CDEC,deer creek,temperature,max,23.72222222222222
25,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,20.95568783068783
25,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.333333333333332
26,1999,deer creek,DCV,CDEC,deer creek,temperature,max,24.388888888888893
26,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,21.494708994708994
26,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.666666666666664
27,1999,deer creek,DCV,CDEC,deer creek,temperature,max,23.72222222222222
27,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,20.81349206349206
27,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.277777777777782
28,1999,deer creek,DCV,CDEC,deer creek,temperature,max,25.33333333333333
28,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,23.065476190476193
28,1999,deer creek,DCV,CDEC,deer creek,temperature,min,19.72222222222222
29,1999,deer creek,DCV,CDEC,deer creek,temperature,max,23.444444444444443
29,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,20.77612433862434
29,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.61111111111111
30,1999,deer creek,DCV,CDEC,deer creek,temperature,max,22.666666666666668
30,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,20.70899470899471
30,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.61111111111111
31,1999,deer creek,DCV,CDEC,deer creek,temperature,max,23.444444444444443
31,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,21.500992063492067
31,1999,deer creek,DCV,CDEC,deer creek,temperature,min,19.555555555555557
32,1999,deer creek,DCV,CDEC,deer creek,temperature,max,22.055555555555557
32,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,20.19675925925926
32,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.333333333333332
33,1999,deer creek,DCV,CDEC,deer creek,temperature,max,21.5
33,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,20.019179894179896
33,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.444444444444443
34,1999,deer creek,DCV,CDEC,deer creek,temperature,max,23.5
34,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,21.063822751322753
34,1999,deer creek,DCV,CDEC,deer creek,temperature,min,18.333333333333332
35,1999,deer creek,DCV,CDEC,deer creek,temperature,max,22.5
35,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,19.419642857142858
35,1999,deer creek,DCV,CDEC,deer creek,temperature,min,15.5
36,1999,deer creek,DCV,CDEC,deer creek,temperature,max,20
36,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,18.224206349206348
36,1999,deer creek,DCV,CDEC,deer creek,temperature,min,16.055555555555557
37,1999,deer creek,DCV,CDEC,deer creek,temperature,max,20.611111111111107
37,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,19.119708994708994
37,1999,deer creek,DCV,CDEC,deer creek,temperature,min,17.77777777777778
38,1999,deer creek,DCV,CDEC,deer creek,temperature,max,20.27777777777778
38,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,18.648478835978835
38,1999,deer creek,DCV,CDEC,deer creek,temperature,min,16.944444444444443
39,1999,deer creek,DCV,CDEC,deer creek,temperature,max,20.166666666666668
39,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,17.406084656084655
39,1999,deer creek,DCV,CDEC,deer creek,temperature,min,15.38888888888889
40,1999,deer creek,DCV,CDEC,deer creek,temperature,max,17.27777777777778
40,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,15.703703703703706
40,1999,deer creek,DCV,CDEC,deer creek,temperature,min,13.555555555555555
41,1999,deer creek,DCV,CDEC,deer creek,temperature,max,16
41,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,14.808862433862432
41,1999,deer creek,DCV,CDEC,deer creek,temperature,min,13.499999999999998
42,1999,deer creek,DCV,CDEC,deer creek,temperature,max,14.277777777777779
42,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,12.216269841269844
42,1999,deer creek,DCV,CDEC,deer creek,temperature,min,10.777777777777779
43,1999,deer creek,DCV,CDEC,deer creek,temperature,max,12.833333333333334
43,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,11.66137566137566
43,1999,deer creek,DCV,CDEC,deer creek,temperature,min,10.555555555555555
44,1999,deer creek,DCV,CDEC,deer creek,temperature,max,12.055555555555557
44,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,11.276004088504086
44,1999,deer creek,DCV,CDEC,deer creek,temperature,min,10.555555555555555
45,1999,deer creek,DCV,CDEC,deer creek,temperature,max,12
45,1999,deer creek,DCV,CDEC,deer creek,temperature,mean,10.980489417989418
