year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2023,2023,4,deer creek,deer creek,309,8,-0.4952843808379147,5.770550651121042
2023,2023,6,deer creek,deer creek,300,6,-1.1678790204853533,5.433097978572992
2023,2023,8,deer creek,deer creek,300,7,-1.4884403075050903,5.272266689348094
2023,2023,10,deer creek,deer creek,300,14,0.959906918532119,6.500645962761483
2023,2023,16,deer creek,deer creek,300,2,1.0657112673628222,6.553729883113335
2023,2023,17,deer creek,deer creek,300,0,1.798767657692288,6.921517289469669
2024,2024,11,deer creek,deer creek,240,6,0.3466151660920743,6.192946601641013
2024,2024,13,deer creek,deer creek,240,13,0.920154889751357,6.480701664129685
2024,2024,15,deer creek,deer creek,240,2,0.3772219047784176,6.208302545858915
2024,2024,19,deer creek,deer creek,338,1,0.5288970318407135,6.284400650079707
2025,2025,9,deer creek,deer creek,300,10,0.2130468392083011,6.125933000553845
2025,2025,12,deer creek,deer creek,300,6,1.1161836619824241,6.579052779625285
2025,2025,14,deer creek,deer creek,300,2,1.141729691038342,6.5918696759693125
2025,2025,16,deer creek,deer creek,300,0,0.19491862183041717,6.116837752031041
2025,2025,20,deer creek,deer creek,300,0,-1.0719366199780194,5.4812339843533024
2026,2026,4,deer creek,deer creek,150,2,-0.6388313012315423,5.698530612501252
2026,2026,6,deer creek,deer creek,150,3,-1.0554056395108784,5.489527870759237
2026,2026,11,deer creek,deer creek,150,2,-0.2976638444018373,5.869700382979877
2026,2026,13,deer creek,deer creek,150,0,-0.9940373979019854,5.520317407160167
2026,2026,20,deer creek,deer creek,150,0,-1.4536751382566475,5.289708992011437
