year,stream,count,data_type,lower_bound_estimate,upper_bound_estimate,confidence_level
2004,feather river,2851,broodstock_tag,NA,NA,NA
2005,feather river,4125,broodstock_tag,NA,NA,NA
2006,feather river,15670,broodstock_tag,NA,NA,NA
2007,feather river,7879,broodstock_tag,NA,NA,NA
2008,feather river,497,broodstock_tag,NA,NA,NA
2009,feather river,472,broodstock_tag,NA,NA,NA
2010,feather river,1880,broodstock_tag,NA,NA,NA
2011,feather river,4082,broodstock_tag,NA,NA,NA
2012,feather river,3756,broodstock_tag,NA,NA,NA
2013,feather river,16154,broodstock_tag,NA,NA,NA
2014,feather river,4509,broodstock_tag,NA,NA,NA
2015,feather river,2051,broodstock_tag,NA,NA,NA
2016,feather river,1448,broodstock_tag,NA,NA,NA
2017,feather river,220,broodstock_tag,NA,NA,NA
2018,feather river,1059,broodstock_tag,NA,NA,NA
2019,feather river,2184,broodstock_tag,NA,NA,NA
2020,feather river,1199,broodstock_tag,NA,NA,NA
2021,feather river,3043,broodstock_tag,NA,NA,NA
2022,feather river,762,broodstock_tag,NA,NA,NA
2023,feather river,1087,broodstock_tag,NA,NA,NA
2024,feather river,3307,broodstock_tag,NA,NA,NA
2025,feather river,13433,broodstock_tag,NA,NA,NA
