stream,site,run_year,number_weeks,exclusion_type,apply_to,exclude
feather river,eye riffle,2021,15,60% of weeks sampled,all runs,TRUE
feather river,gateway riffle,2015,15,60% of weeks sampled,all runs,TRUE
feather river,gateway riffle,2016,17,60% of weeks sampled,all runs,TRUE
feather river,gateway riffle,2017,6,60% of weeks sampled,all runs,TRUE
feather river,herringer riffle,2010,2,low catch; 60% of weeks sampled,all runs,TRUE
feather river,herringer riffle,2011,1,low catch; 60% of weeks sampled,all runs,TRUE
feather river,herringer riffle,2016,18,60% of weeks sampled,all runs,TRUE
feather river,herringer riffle,2017,9,60% of weeks sampled,all runs,TRUE
feather river,herringer riffle,2021,14,60% of weeks sampled,all runs,TRUE
feather river,steep riffle,2006,3,60% of weeks sampled,all runs,TRUE
feather river,steep riffle,2013,2,low catch; 60% of weeks sampled,all runs,TRUE
feather river,steep riffle,2015,13,60% of weeks sampled,all runs,TRUE
feather river,steep riffle,2016,3,60% of weeks sampled,all runs,TRUE
feather river,herringer riffle,2008,21,spring run specific - 9 weeks missing Nov 04 to Jan 01,spring,TRUE
