week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
40,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,17.39955682289908
40,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,15.51320695504135
40,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,14.279184396093417
40,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,10.457286404644172
40,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.984487754187862
40,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.050800431624683
41,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,16.062969339462853
41,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,14.468129331187864
41,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.5455672963353
41,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,9.549606810189402
41,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.344101144162916
41,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.652370060648968
42,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,14.726381856026627
42,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,13.497614073358049
42,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,12.445675923464602
42,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,8.644971486078733
42,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.749694699262557
42,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.053454446542873
43,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,14.725743649702729
43,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,13.894075525962222
43,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.175731178112889
43,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,8.6459862428601
43,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.998257948312937
43,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.45696504808868
44,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,14.391118124100744
44,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,13.196955610219206
44,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,12.440333155799856
44,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,8.421222702406812
44,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,7.572445442202727
44,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.060228087302997
45,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,13.3885179599426
45,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,12.02760737632627
45,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,11.340085598418174
45,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.741350918749431
45,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.855425223636806
45,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.461735825744409
46,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.385644278788495
46,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.554174558654267
46,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.972386587261658
46,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.064016027045467
46,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.567553212900354
46,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.262520640256552
47,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.71890221941069
47,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.726948913187426
47,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.604331391594158
47,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.294868108186955
47,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.678175966576975
47,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.064998864958725
48,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.718264013086788
48,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,12.123410365791596
48,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,11.69994855033306
48,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.298419756921738
48,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.926739215627357
48,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.669418062182421
49,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.38400317681275
49,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,10.059313739614595
49,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.134603900501046
49,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.0721340812964
49,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.657957015566406
49,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.2706782382923425
50,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.04883061721885
50,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,10.530337558242438
50,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.499453435569697
50,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.8509221895778944
50,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.952500429741373
50,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.472433539065246
51,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,11.714752125608785
51,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.187010470294265
51,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,6.933396416715717
51,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.62362175717119
51,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.1281931592180845
51,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,4.074117067722676
52,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.043812633566535
52,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,8.837848262661717
52,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,6.933040232204734
52,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.491178622263132
52,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,4.916954757022607
52,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,4.074963772817691
53,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.377526435848656
53,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.955595467575607
53,1998,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.85789164944065
53,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.719493811451203
53,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.6085633491595415
53,1998,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.6818091856932895
1,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.37743526351667
1,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.58209535201606
1,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.124274549682534
1,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.721523325013937
1,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.380568638804759
1,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.281685404527544
2,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,10.710328514810918
2,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,9.556036730486094
2,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,8.757287907547985
2,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,5.953897541327475
2,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.368577618815821
2,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.08374027668221
3,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.379809249541392
3,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.667432601634719
3,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.584385058979104
3,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,7.095473487267832
3,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.674684665731676
3,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,6.089129960166667
4,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.04536606860338
4,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,10.895750319868029
4,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.84791848313312
4,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.87020256842386
4,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.20289199449688
4,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.693663057023507
5,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,11.376297362063386
5,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,10.09921391609345
5,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,9.480219471976609
5,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.4206754875172845
5,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,5.715772601553887
5,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.494024518988141
6,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.043816138959617
6,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.092174296886999
6,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,10.210987095646855
6,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,6.878828001065477
6,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,6.332177171600954
6,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,5.8975351205339495
7,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,12.37707407958181
7,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,11.488635749491172
