year,week,stream,site,count,mean_fork_length,hours_fished,flow_cfs,run_year
1997,45,feather river,eye riffle,NA,NA,NA,1013,1998
1997,45,feather river,live oak,NA,NA,NA,2511.5714285714284,1998
1997,46,feather river,eye riffle,NA,NA,NA,1010.4285714285714,1998
1997,46,feather river,live oak,NA,NA,NA,2510.4285714285716,1998
1997,47,feather river,eye riffle,NA,NA,NA,1002.1428571428571,1998
1997,47,feather river,live oak,NA,NA,NA,2473.5714285714284,1998
1997,48,feather river,eye riffle,NA,NA,NA,1003.4285714285714,1998
1997,48,feather river,live oak,NA,NA,NA,1931.142857142857,1998
1997,49,feather river,eye riffle,NA,NA,NA,996.4285714285714,1998
1997,49,feather river,live oak,NA,NA,NA,1895.142857142857,1998
1997,50,feather river,eye riffle,NA,NA,NA,1004.2857142857143,1998
1997,50,feather river,live oak,NA,NA,NA,1901,1998
1997,51,feather river,eye riffle,115,33.5,168,998.1428571428571,1998
1997,51,feather river,live oak,75,33,168,1896.5714285714287,1998
1997,52,feather river,eye riffle,769,33.71875,168,997.5714285714286,1998
1997,52,feather river,live oak,329,34.03030303030303,168,1897.5714285714287,1998
1997,53,feather river,eye riffle,152,35,168,1006,1998
1997,53,feather river,live oak,155,33.888888888888886,168,1905,1998
1998,1,feather river,eye riffle,6057,35.088235294117645,168,1004,1998
1998,1,feather river,live oak,6358,35.225,168,1735.2857142857142,1998
1998,2,feather river,eye riffle,31202,34.410714285714285,168,1021.1428571428571,1998
1998,2,feather river,live oak,4198,36.483870967741936,168,2317,1998
1998,3,feather river,eye riffle,67204,35.19230769230769,168,1029.7142857142858,1998
1998,3,feather river,live oak,16761,36.16279069767442,168,10055.42857142857,1998
1998,4,feather river,eye riffle,48242,35.63461538461539,168,1044.2857142857142,1998
1998,4,feather river,live oak,9126,36.4375,168,11982.857142857143,1998
1998,5,feather river,eye riffle,52199,35.75,168,2844.4285714285716,1998
1998,5,feather river,live oak,17338,35.58,168,10963,1998
1998,6,feather river,eye riffle,NA,NA,NA,10228.142857142857,1998
1998,6,feather river,live oak,NA,NA,NA,25328.14285714286,1998
1998,7,feather river,eye riffle,9445,36.58064516129032,168,3715,1998
1998,7,feather river,live oak,4902,38.24324324324324,168,17643.571428571428,1998
1998,8,feather river,eye riffle,17027,36.225806451612904,168,1011,1998
1998,8,feather river,live oak,13322,37.984375,168,14211,1998
1998,9,feather river,eye riffle,6862,36.08510638297872,168,935.2857142857143,1998
1998,9,feather river,live oak,8924,37.42622950819672,168,13675.285714285714,1998
1998,10,feather river,eye riffle,5992,36.5,168,719.7142857142857,1998
1998,10,feather river,live oak,3480,37.193548387096776,168,8735.42857142857,1998
1998,11,feather river,eye riffle,2267,36.32692307692308,168,725.4285714285714,1998
1998,11,feather river,live oak,1976,39.57333333333333,168,7774,1998
1998,12,feather river,eye riffle,946,37.333333333333336,168,1319.857142857143,1998
1998,12,feather river,live oak,1156,44.01010101010101,168,13724.142857142857,1998
1998,13,feather river,eye riffle,NA,NA,NA,8072.714285714285,1998
1998,13,feather river,live oak,NA,NA,NA,22829.85714285714,1998
1998,14,feather river,eye riffle,305,44.267857142857146,168,721.4285714285714,1998
1998,14,feather river,live oak,135,50.086021505376344,168,11475.714285714286,1998
1998,15,feather river,eye riffle,32,41.714285714285715,168,723.5714285714286,1998
1998,15,feather river,live oak,546,54.40909090909091,168,10170.714285714286,1998
1998,16,feather river,eye riffle,54,46.97727272727273,168,715.7142857142857,1998
1998,16,feather river,live oak,914,56.74647887323944,168,7661.428571428572,1998
1998,17,feather river,eye riffle,21,62.45,168,718.5714285714286,1998
1998,17,feather river,live oak,277,62.89655172413793,168,6125.714285714285,1998
1998,18,feather river,eye riffle,20,63.666666666666664,168,714.1428571428571,1998
1998,18,feather river,live oak,289,68.525,168,6429.857142857143,1998
1998,19,feather river,eye riffle,17,73.0625,168,704.7142857142857,1998
1998,19,feather river,live oak,232,70.8103448275862,168,6463.285714285715,1998
1998,20,feather river,eye riffle,10,76.1,168,713.5714285714286,1998
1998,20,feather river,live oak,140,74.27380952380952,168,10159.285714285714,1998
1998,21,feather river,eye riffle,6,84.66666666666667,168,712.5714285714286,1998
1998,21,feather river,live oak,32,77.76923076923077,168,9769.714285714286,1998
1998,22,feather river,eye riffle,6,77.33333333333333,168,726.1428571428571,1998
1998,22,feather river,live oak,61,82.8,168,9449,1998
1998,23,feather river,eye riffle,4,92,168,724.4285714285714,1998
1998,23,feather river,live oak,16,86.1875,168,9163,1998
1998,24,feather river,eye riffle,0,NA,168,722.1428571428571,1998
1998,24,feather river,live oak,10,89,168,10937.857142857143,1998
1998,25,feather river,eye riffle,5,101.2,168,712.7142857142857,1998
1998,25,feather river,live oak,1,91,168,8371.285714285714,1998
1998,26,feather river,eye riffle,3,96.66666666666667,168,720.8571428571429,1998
1998,26,feather river,live oak,0,NA,168,7928,1998
1998,27,feather river,eye riffle,NA,NA,NA,713.5714285714286,1998
1998,27,feather river,live oak,NA,NA,NA,7635,1998
1998,28,feather river,eye riffle,NA,NA,NA,714.1428571428571,1998
1998,28,feather river,live oak,NA,NA,NA,5542.714285714285,1998
1998,29,feather river,eye riffle,NA,NA,NA,707.5714285714286,1998
1998,29,feather river,live oak,NA,NA,NA,5103.285714285715,1998
1998,30,feather river,eye riffle,NA,NA,NA,711.5714285714286,1998
1998,30,feather river,live oak,NA,NA,NA,5110.142857142857,1998
1998,31,feather river,eye riffle,NA,NA,NA,702,1998
1998,31,feather river,live oak,NA,NA,NA,5099.142857142857,1998
1998,32,feather river,eye riffle,NA,NA,NA,721.8571428571429,1998
1998,32,feather river,live oak,NA,NA,NA,6243.285714285715,1998
1998,33,feather river,eye riffle,NA,NA,NA,715.7142857142857,1998
1998,33,feather river,live oak,NA,NA,NA,6122.857142857143,1998
1998,34,feather river,eye riffle,NA,NA,NA,696.5714285714286,1998
1998,34,feather river,live oak,NA,NA,NA,6032.285714285715,1998
1998,35,feather river,eye riffle,NA,NA,NA,699,1998
1998,35,feather river,live oak,NA,NA,NA,5810.428571428572,1998
1998,36,feather river,eye riffle,NA,NA,NA,708.8571428571429,1998
1998,36,feather river,live oak,NA,NA,NA,7667.428571428572,1998
1998,37,feather river,eye riffle,NA,NA,NA,709.2857142857143,1998
1998,37,feather river,live oak,NA,NA,NA,4897.857142857143,1998
1998,38,feather river,eye riffle,NA,NA,NA,724.8571428571429,1998
1998,38,feather river,live oak,NA,NA,NA,6037.714285714285,1998
1998,39,feather river,eye riffle,NA,NA,NA,730.5714285714286,1998
1998,39,feather river,live oak,NA,NA,NA,6136.285714285715,1998
1998,40,feather river,eye riffle,NA,NA,NA,714.5714285714286,1998
1998,40,feather river,live oak,NA,NA,NA,5717.428571428572,1998
1998,41,feather river,eye riffle,NA,NA,NA,719.7142857142857,1998
1998,41,feather river,live oak,NA,NA,NA,3064,1998
1998,42,feather river,eye riffle,NA,NA,NA,719.1428571428571,1998
1998,42,feather river,live oak,NA,NA,NA,2552,1998
1998,43,feather river,eye riffle,NA,NA,NA,714.7142857142857,1998
1998,43,feather river,live oak,NA,NA,NA,2547.5714285714284,1998
1998,44,feather river,eye riffle,NA,NA,NA,719.7142857142857,1998
1998,44,feather river,live oak,NA,NA,NA,2404,1998
1998,45,feather river,eye riffle,NA,NA,NA,726,1999
1998,45,feather river,live oak,NA,NA,NA,1906,1999
1998,46,feather river,eye riffle,NA,NA,NA,728.8571428571429,1999
1998,46,feather river,live oak,NA,NA,NA,1906,1999
1998,47,feather river,eye riffle,NA,NA,NA,721.2857142857143,1999
1998,47,feather river,live oak,NA,NA,NA,2239.8571428571427,1999
1998,48,feather river,eye riffle,NA,NA,NA,717.8571428571429,1999
1998,48,feather river,live oak,NA,NA,NA,5169.285714285715,1999
1998,49,feather river,eye riffle,NA,NA,NA,717.5714285714286,1999
1998,49,feather river,live oak,NA,NA,NA,16217.57142857143,1999
1998,50,feather river,eye riffle,196,32.69230769230769,168,711.2857142857143,1999
1998,50,feather river,live oak,NA,NA,NA,13491.285714285714,1999
1998,51,feather river,eye riffle,145,33.611111111111114,168,707.2857142857143,1999
1998,51,feather river,live oak,1217,34.392857142857146,168,8077.285714285715,1999
1998,52,feather river,eye riffle,131,35.054054054054056,168,727.4285714285714,1999
1998,52,feather river,live oak,2399,35.30769230769231,168,4957.428571428572,1999
1998,53,feather river,eye riffle,16,35.8,168,729,1999
1998,53,feather river,live oak,115,35.3,168,3629,1999
1999,1,feather river,eye riffle,572,35.14,168,724.1428571428571,1999
1999,1,feather river,live oak,3482,35.54761904761905,168,3478.4285714285716,1999
1999,2,feather river,eye riffle,4603,35.70175438596491,168,727.5714285714286,1999
1999,2,feather river,live oak,4293,35.94915254237288,168,2204.714285714286,1999
1999,3,feather river,eye riffle,4303,35.73076923076923,168,719.1428571428571,1999
1999,3,feather river,live oak,5703,36.46153846153846,168,5993.428571428572,1999
1999,4,feather river,eye riffle,17244,36.186440677966104,168,728.8571428571429,1999
1999,4,feather river,live oak,8967,37.357142857142854,168,14228.857142857143,1999
1999,5,feather river,eye riffle,42885,36.535714285714285,168,728,1999
1999,5,feather river,live oak,81793,37.405797101449274,168,9933.714285714286,1999
1999,6,feather river,eye riffle,22900,36.64705882352941,168,732.4285714285714,1999
1999,6,feather river,live oak,21759,38.388888888888886,168,15475.285714285714,1999
1999,7,feather river,eye riffle,6323,36.09803921568628,168,2016.2857142857142,1999
1999,7,feather river,live oak,NA,NA,NA,19116.285714285714,1999
1999,8,feather river,eye riffle,4725,36.765625,168,4685.428571428572,1999
1999,8,feather river,live oak,8315,38.785714285714285,168,20214,1999
1999,9,feather river,eye riffle,24821,37.953125,168,856.2857142857143,1999
1999,9,feather river,live oak,67002,39.044117647058826,168,14656.285714285714,1999
1999,10,feather river,eye riffle,6476,37.285714285714285,168,1953.5714285714287,1999
1999,10,feather river,live oak,17231,38.44285714285714,168,17439.285714285714,1999
1999,11,feather river,eye riffle,7487,37.80701754385965,168,743.1428571428571,1999
1999,11,feather river,live oak,44748,40.148148148148145,168,7117.428571428572,1999
1999,12,feather river,eye riffle,6950,36.964285714285715,168,728.8571428571429,1999
1999,12,feather river,live oak,29519,38.682539682539684,168,4993.142857142857,1999
