year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
1999,1999,5,feather river,eye riffle,3181,22,-0.2308002710855685,0
1999,1999,7,feather river,eye riffle,1091,5,-0.2308002710855685,0
1999,1999,11,feather river,eye riffle,990,23,-0.2308002710855685,0
1999,2000,53,feather river,eye riffle,1000,41,-0.2308002710855685,0
2000,2000,1,feather river,eye riffle,1000,46,-0.2308002710855685,0
2000,2000,2,feather river,eye riffle,1123,41,-0.2308002710855685,0
2000,2000,3,feather river,eye riffle,895,24,-0.2308002710855685,0
2000,2000,4,feather river,eye riffle,1025,38,-0.2308002710855685,0
2000,2000,5,feather river,eye riffle,940,26,-0.2308002710855685,0
2000,2000,6,feather river,eye riffle,978,33,-0.2308002710855685,0
2000,2000,9,feather river,eye riffle,410,3,-0.2308002710855685,0
2001,2001,2,feather river,eye riffle,549,19,-0.2308002710855685,0
2001,2001,4,feather river,eye riffle,470,8,-0.2308002710855685,0
2001,2001,6,feather river,eye riffle,485,19,-0.2308002710855685,0
2001,2001,7,feather river,eye riffle,863,35,-0.2308002710855685,0
2001,2001,8,feather river,eye riffle,340,12,-0.2308002710855685,0
2001,2001,9,feather river,eye riffle,2980,71,-0.2308002710855685,0
2001,2001,10,feather river,eye riffle,500,5,-0.2308002710855685,0
2001,2001,11,feather river,eye riffle,498,6,-0.2308002710855685,0
2002,2002,1,feather river,eye riffle,996,31,-0.2308002710855685,0
2002,2002,2,feather river,eye riffle,2495,56,-0.2308002710855685,0
2002,2002,3,feather river,herringer riffle,4000,136,-0.22674356114738392,0
2002,2002,4,feather river,eye riffle,1998,129,-0.2308002710855685,0
2002,2002,4,feather river,herringer riffle,1998,211,-0.22674356114738392,0
2002,2002,5,feather river,eye riffle,1000,34,-0.2308002710855685,0
2002,2002,6,feather river,eye riffle,996,25,-0.2308002710855685,0
2002,2002,6,feather river,herringer riffle,1995,41,-0.22674356114738392,0
2002,2002,8,feather river,eye riffle,998,44,-0.2308002710855685,0
2002,2002,8,feather river,herringer riffle,998,42,-0.22674356114738392,0
2002,2002,9,feather river,eye riffle,1984,85,-0.2308002710855685,0
2002,2002,9,feather river,herringer riffle,1990,76,-0.22674356114738392,0
2002,2002,10,feather river,eye riffle,1986,29,-0.2308002710855685,0
2002,2002,10,feather river,herringer riffle,1983,69,-0.22674356114738392,0
