week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
40,1998,mill creek,MLM,CDEC,mill creek,temperature,max,14.333333333333334
40,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,13.339330808080808
40,1998,mill creek,MLM,CDEC,mill creek,temperature,min,12.555555555555555
41,1998,mill creek,MLM,CDEC,mill creek,temperature,max,14.88888888888889
41,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,12.65376984126984
41,1998,mill creek,MLM,CDEC,mill creek,temperature,min,10.999999999999998
42,1998,mill creek,MLM,CDEC,mill creek,temperature,max,13
42,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,11.205357142857142
42,1998,mill creek,MLM,CDEC,mill creek,temperature,min,9.333333333333332
43,1998,mill creek,MLM,CDEC,mill creek,temperature,max,12.833333333333334
43,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,11.650649873475958
43,1998,mill creek,MLM,CDEC,mill creek,temperature,min,10.833333333333334
44,1998,mill creek,MLM,CDEC,mill creek,temperature,max,12.388888888888888
44,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,10.37781803542673
44,1998,mill creek,MLM,CDEC,mill creek,temperature,min,9.333333333333332
45,1998,mill creek,MLM,CDEC,mill creek,temperature,max,10.555555555555555
45,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,8.413359788359788
45,1998,mill creek,MLM,CDEC,mill creek,temperature,min,6.555555555555554
46,1998,mill creek,MLM,CDEC,mill creek,temperature,max,10
46,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,8.433143547273982
46,1998,mill creek,MLM,CDEC,mill creek,temperature,min,7.11111111111111
47,1998,mill creek,MLM,CDEC,mill creek,temperature,max,11.38888888888889
47,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,8.791335978835978
47,1998,mill creek,MLM,CDEC,mill creek,temperature,min,7.166666666666667
48,1998,mill creek,MLM,CDEC,mill creek,temperature,max,10.722222222222221
48,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,8.909865999539914
48,1998,mill creek,MLM,CDEC,mill creek,temperature,min,7.944444444444443
49,1998,mill creek,MLM,CDEC,mill creek,temperature,max,10
49,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,5.604166666666666
49,1998,mill creek,MLM,CDEC,mill creek,temperature,min,3.611111111111111
50,1998,mill creek,MLM,CDEC,mill creek,temperature,max,9.166666666666666
50,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,7.178571428571429
50,1998,mill creek,MLM,CDEC,mill creek,temperature,min,4.777777777777779
51,1998,mill creek,MLM,CDEC,mill creek,temperature,max,9.166666666666666
51,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,4.46241660915574
51,1998,mill creek,MLM,CDEC,mill creek,temperature,min,0.6666666666666683
52,1998,mill creek,MLM,CDEC,mill creek,temperature,max,6.166666666666668
52,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,4.509115481941569
52,1998,mill creek,MLM,CDEC,mill creek,temperature,min,1.0555555555555547
53,1998,mill creek,MLM,CDEC,mill creek,temperature,max,7.11111111111111
53,1998,mill creek,MLM,CDEC,mill creek,temperature,mean,6.537037037037036
53,1998,mill creek,MLM,CDEC,mill creek,temperature,min,5.833333333333333
1,1999,mill creek,MLM,CDEC,mill creek,temperature,max,6.888888888888888
1,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,5.870039682539683
1,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5.055555555555556
2,1999,mill creek,MLM,CDEC,mill creek,temperature,max,15.555555555555555
2,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,5.879457096848401
2,1999,mill creek,MLM,CDEC,mill creek,temperature,min,4.8888888888888875
3,1999,mill creek,MLM,CDEC,mill creek,temperature,max,9.38888888888889
3,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,8.32738095238095
3,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.611111111111111
4,1999,mill creek,MLM,CDEC,mill creek,temperature,max,7.833333333333333
4,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,6.017857142857143
4,1999,mill creek,MLM,CDEC,mill creek,temperature,min,4.61111111111111
5,1999,mill creek,MLM,CDEC,mill creek,temperature,max,7.11111111111111
5,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,5.599120082815735
5,1999,mill creek,MLM,CDEC,mill creek,temperature,min,4.388888888888888
6,1999,mill creek,MLM,CDEC,mill creek,temperature,max,8.88888888888889
6,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,6.619378306878308
6,1999,mill creek,MLM,CDEC,mill creek,temperature,min,4.555555555555557
7,1999,mill creek,MLM,CDEC,mill creek,temperature,max,8.833333333333334
7,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,7.172849091327352
7,1999,mill creek,MLM,CDEC,mill creek,temperature,min,4.833333333333335
8,1999,mill creek,MLM,CDEC,mill creek,temperature,max,9.222222222222221
8,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,7.660300714488694
8,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.388888888888889
9,1999,mill creek,MLM,CDEC,mill creek,temperature,max,9.777777777777779
9,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,8.057208994708994
9,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.611111111111111
10,1999,mill creek,MLM,CDEC,mill creek,temperature,max,7.722222222222222
10,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,6.628306878306878
10,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5.166666666666665
11,1999,mill creek,MLM,CDEC,mill creek,temperature,max,10.777777777777779
11,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,9.035929951690822
11,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.222222222222224
12,1999,mill creek,MLM,CDEC,mill creek,temperature,max,11.055555555555555
12,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,9.203239433674216
12,1999,mill creek,MLM,CDEC,mill creek,temperature,min,7.722222222222222
13,1999,mill creek,MLM,CDEC,mill creek,temperature,max,11.444444444444445
13,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,8.355590062111801
13,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5.888888888888889
14,1999,mill creek,MLM,CDEC,mill creek,temperature,max,9.833333333333336
14,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,8.108537497124454
14,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.222222222222224
15,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.833333333333334
15,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,9.526455026455027
15,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5
16,1999,mill creek,MLM,CDEC,mill creek,temperature,max,13.722222222222223
16,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.8863670347366
16,1999,mill creek,MLM,CDEC,mill creek,temperature,min,9.888888888888888
17,1999,mill creek,MLM,CDEC,mill creek,temperature,max,13.333333333333334
17,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.111146028459695
17,1999,mill creek,MLM,CDEC,mill creek,temperature,min,8.055555555555555
18,1999,mill creek,MLM,CDEC,mill creek,temperature,max,14.777777777777779
18,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.458318955601566
18,1999,mill creek,MLM,CDEC,mill creek,temperature,min,8
19,1999,mill creek,MLM,CDEC,mill creek,temperature,max,14.88888888888889
19,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,12.16170634920635
19,1999,mill creek,MLM,CDEC,mill creek,temperature,min,9.777777777777779
20,1999,mill creek,MLM,CDEC,mill creek,temperature,max,15.222222222222221
20,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,12.728174603174605
20,1999,mill creek,MLM,CDEC,mill creek,temperature,min,9.5
21,1999,mill creek,MLM,CDEC,mill creek,temperature,max,16.38888888888889
21,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,15.118386243386242
21,1999,mill creek,MLM,CDEC,mill creek,temperature,min,12.722222222222221
22,1999,mill creek,MLM,CDEC,mill creek,temperature,max,15.88888888888889
22,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,13.857646077754774
22,1999,mill creek,MLM,CDEC,mill creek,temperature,min,9.888888888888888
23,1999,mill creek,MLM,CDEC,mill creek,temperature,max,16.666666666666668
23,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,13.774470899470899
23,1999,mill creek,MLM,CDEC,mill creek,temperature,min,9.38888888888889
24,1999,mill creek,MLM,CDEC,mill creek,temperature,max,18.555555555555557
24,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,16.39186507936508
24,1999,mill creek,MLM,CDEC,mill creek,temperature,min,13.333333333333334
25,1999,mill creek,MLM,CDEC,mill creek,temperature,max,20.833333333333332
25,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,18.2119708994709
25,1999,mill creek,MLM,CDEC,mill creek,temperature,min,15.555555555555555
26,1999,mill creek,MLM,CDEC,mill creek,temperature,max,21.833333333333332
26,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,18.773507591442375
26,1999,mill creek,MLM,CDEC,mill creek,temperature,min,15.277777777777779
27,1999,mill creek,MLM,CDEC,mill creek,temperature,max,32.388888888888886
27,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,18.601521164021165
27,1999,mill creek,MLM,CDEC,mill creek,temperature,min,16
28,1999,mill creek,MLM,CDEC,mill creek,temperature,max,23.22222222222222
28,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,21.378968253968253
28,1999,mill creek,MLM,CDEC,mill creek,temperature,min,18.388888888888886
29,1999,mill creek,MLM,CDEC,mill creek,temperature,max,21.5
29,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,19.380291005291006
29,1999,mill creek,MLM,CDEC,mill creek,temperature,min,17.83333333333333
30,1999,mill creek,MLM,CDEC,mill creek,temperature,max,22.11111111111111
30,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,19.798999309868872
30,1999,mill creek,MLM,CDEC,mill creek,temperature,min,18.055555555555557
31,1999,mill creek,MLM,CDEC,mill creek,temperature,max,23.055555555555557
31,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,20.625661375661373
31,1999,mill creek,MLM,CDEC,mill creek,temperature,min,18.88888888888889
32,1999,mill creek,MLM,CDEC,mill creek,temperature,max,21.833333333333332
32,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,19.354166666666664
32,1999,mill creek,MLM,CDEC,mill creek,temperature,min,17.555555555555557
33,1999,mill creek,MLM,CDEC,mill creek,temperature,max,21.22222222222222
33,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,19.398478835978835
33,1999,mill creek,MLM,CDEC,mill creek,temperature,min,17.83333333333333
34,1999,mill creek,MLM,CDEC,mill creek,temperature,max,23.388888888888886
34,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,20.669642857142858
34,1999,mill creek,MLM,CDEC,mill creek,temperature,min,17.88888888888889
35,1999,mill creek,MLM,CDEC,mill creek,temperature,max,22.22222222222222
35,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,18.729828042328045
35,1999,mill creek,MLM,CDEC,mill creek,temperature,min,14.722222222222221
36,1999,mill creek,MLM,CDEC,mill creek,temperature,max,20.27777777777778
36,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,17.915343915343914
36,1999,mill creek,MLM,CDEC,mill creek,temperature,min,15.555555555555555
37,1999,mill creek,MLM,CDEC,mill creek,temperature,max,20.611111111111107
37,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,18.75595238095238
37,1999,mill creek,MLM,CDEC,mill creek,temperature,min,17.27777777777778
38,1999,mill creek,MLM,CDEC,mill creek,temperature,max,20.33333333333333
38,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,18.44510582010582
38,1999,mill creek,MLM,CDEC,mill creek,temperature,min,16.77777777777778
39,1999,mill creek,MLM,CDEC,mill creek,temperature,max,20.11111111111111
39,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,16.850198412698415
39,1999,mill creek,MLM,CDEC,mill creek,temperature,min,14.055555555555554
40,1999,mill creek,MLM,CDEC,mill creek,temperature,max,17.11111111111111
40,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,15.32374338624339
40,1999,mill creek,MLM,CDEC,mill creek,temperature,min,13.277777777777779
41,1999,mill creek,MLM,CDEC,mill creek,temperature,max,16.38888888888889
41,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,14.954034391534393
41,1999,mill creek,MLM,CDEC,mill creek,temperature,min,13.444444444444446
42,1999,mill creek,MLM,CDEC,mill creek,temperature,max,14.5
42,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,12.238095238095239
42,1999,mill creek,MLM,CDEC,mill creek,temperature,min,10.555555555555555
43,1999,mill creek,MLM,CDEC,mill creek,temperature,max,13.11111111111111
43,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.957671957671959
43,1999,mill creek,MLM,CDEC,mill creek,temperature,min,10.666666666666668
44,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.555555555555555
44,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.430440533701402
44,1999,mill creek,MLM,CDEC,mill creek,temperature,min,2.999999999999999
45,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.555555555555555
45,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.267526455026454
45,1999,mill creek,MLM,CDEC,mill creek,temperature,min,10.333333333333334
46,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.666666666666664
46,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.022486772486772
46,1999,mill creek,MLM,CDEC,mill creek,temperature,min,8.499999999999998
47,1999,mill creek,MLM,CDEC,mill creek,temperature,max,9.888888888888888
47,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,7.826058201058202
47,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.166666666666668
48,1999,mill creek,MLM,CDEC,mill creek,temperature,max,10.222222222222221
48,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,9.082671957671957
