year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2022,2022,6,mill creek,mill creek,399,43,-1.47121459636211,5.1769565095437695
2022,2022,8,mill creek,mill creek,400,22,-1.2975386260848287,5.264169479115474
2022,2022,10,mill creek,mill creek,400,28,-1.4824882253630165,5.171295354109031
2023,2023,5,mill creek,mill creek,300,50,-1.3078682565300686,5.25898236114936
2023,2023,7,mill creek,mill creek,300,31,-1.4283187859255533,5.198497031265826
2023,2023,9,mill creek,mill creek,300,6,-0.12980192555660539,5.850559094030745
2023,2023,15,mill creek,mill creek,300,4,0.9160728981017028,6.375754658079687
2023,2023,17,mill creek,mill creek,300,13,1.7742006484935668,6.806671320091571
2024,2024,10,mill creek,mill creek,240,9,0.43529421833465476,6.134327267161389
2024,2024,12,mill creek,mill creek,239,23,0.3367149199575201,6.084824775043228
2024,2024,14,mill creek,mill creek,240,23,0.337362635272584,6.085150031185305
2024,2024,19,mill creek,mill creek,240,5,0.6912422408866334,6.262853896764354
2025,2025,13,mill creek,mill creek,300,38,1.3122075412389598,6.5746772754289395
2025,2025,15,mill creek,mill creek,300,52,1.0180246759591824,6.426950671471004
2025,2025,17,mill creek,mill creek,300,27,0.6573405861796286,6.245829872222145
2025,2025,19,mill creek,mill creek,300,11,0.610468806165762,6.222292781180738
2025,2025,22,mill creek,mill creek,300,2,0.3027400678846309,6.067763993777372
2026,2026,5,mill creek,mill creek,150,12,-0.7468492471171158,5.540703164084642
2026,2026,10,mill creek,mill creek,150,3,0.5380253416152865,6.185914635951882
2026,2026,19,mill creek,mill creek,150,1,-0.1896481871177796,5.820506748964343
2026,2026,22,mill creek,mill creek,150,21,-0.8759667300330185,5.475865644589334
