year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2015,2015,12,sacramento river,tisdale,557,1,-1.2797798594724232,8.41531865615435
2015,2015,13,sacramento river,tisdale,421,2,-1.457143121488305,8.298326196869288
2016,2016,3,sacramento river,tisdale,681,10,1.2050560533147925,10.054367583495264
2016,2016,6,sacramento river,tisdale,358,1,0.10616930287392111,9.329519258376305
2016,2016,7,sacramento river,tisdale,457,2,-0.31377358002795697,9.052516286782616
2016,2016,8,sacramento river,tisdale,493,0,-0.1959815613154533,9.130214327496898
2016,2016,11,sacramento river,tisdale,486,0,1.3865122055282009,10.17405979742145
2016,2016,12,sacramento river,tisdale,511,0,1.3275483226626792,10.135166006300175
2016,2016,13,sacramento river,tisdale,502,0,0.9828018109095095,9.907764109303388
2016,2016,14,sacramento river,tisdale,511,1,0.1690557171705979,9.371000431988959
2016,2016,15,sacramento river,tisdale,638,5,-0.13391616014279786,9.171153943949445
2016,2016,16,sacramento river,tisdale,632,0,-0.43653676488754994,8.971539162528416
2016,2016,17,sacramento river,tisdale,390,1,-1.0086610079816858,8.594154232552366
2016,2016,39,sacramento river,tisdale,159,1,-0.5919027221415807,8.869056578357748
2016,2016,41,sacramento river,tisdale,170,0,-0.9089402997788564,8.659932064791674
2016,2016,42,sacramento river,tisdale,500,1,-0.9573991690538194,8.627967596918143
2016,2017,46,sacramento river,tisdale,1038,2,-1.1184211201749514,8.5217542027438
2017,2017,8,sacramento river,tisdale,935,1,1.3865122055282009,10.17405979742145
2017,2017,13,sacramento river,tisdale,250,0,1.1247434965296137,10.0013917675175
2017,2017,14,sacramento river,tisdale,1290,1,0.9346004869800344,9.875969523642237
2017,2017,37,sacramento river,tisdale,1170,1,-0.4079342782446582,8.990405951602922
2017,2017,41,sacramento river,tisdale,1024,1,-0.6710120850474386,8.81687441383485
2017,2017,43,sacramento river,tisdale,1168,2,-0.8342045358041947,8.709229313413323
2017,2018,46,sacramento river,tisdale,1004,1,-0.6943011408133767,8.801512473162829
2018,2018,44,sacramento river,tisdale,1084,1,-1.3504651501730383,8.368693183097793
2019,2019,10,sacramento river,tisdale,1040,1,1.4480357304963694,10.21464198117305
2019,2019,12,sacramento river,tisdale,857,0,1.230908473141749,10.071420371877982
2019,2019,14,sacramento river,tisdale,1187,0,1.3412293903527617,10.144190320222439
2019,2019,16,sacramento river,tisdale,997,0,1.2777809327619474,10.102338411281293
2021,2021,6,sacramento river,tisdale,792,3,-0.5483574211906841,8.897779955401283
2021,2021,12,sacramento river,tisdale,392,0,-0.5650269960492875,8.886784360621515
2022,2022,10,sacramento river,tisdale,517,3,-1.402605942879364,8.334300042723326
2022,2022,11,sacramento river,tisdale,502,0,-1.3979324652190208,8.337382764808401
2022,2022,12,sacramento river,tisdale,500,0,-1.3595371235370721,8.362709122687741
2022,2022,13,sacramento river,tisdale,500,1,-1.3706993247487984,8.355346304954509
2022,2022,14,sacramento river,tisdale,478,0,-1.3211041935845103,8.388060274564268
2023,2023,4,sacramento river,tisdale,500,1,0.5800834520576129,9.642122788401721
2023,2023,6,sacramento river,tisdale,494,0,-0.152498438834961,9.158896690341187
2023,2023,15,sacramento river,tisdale,1093,2,0.6134651242261601,9.664142026645639
2023,2023,16,sacramento river,tisdale,993,12,0.2929538169836939,9.452726169512788
2023,2023,17,sacramento river,tisdale,1025,18,0.32656989549594645,9.47490002700711
2024,2024,3,sacramento river,tisdale,431,4,0.7299360132822506,9.740968623038354
2024,2024,4,sacramento river,tisdale,322,0,1.1994584234787946,10.050675271608137
2024,2024,11,sacramento river,tisdale,1054,0,1.2097050082762144,10.057434129903243
2024,2024,12,sacramento river,tisdale,1273,0,0.7788240013443238,9.773216146498813
2024,2024,13,sacramento river,tisdale,1072,4,0.8261845991964027,9.80445617192995
