year,stream,count,data_type,lower_bound_estimate,upper_bound_estimate,confidence_level
2004,yuba river,1618,upstream_estimate,NA,NA,NA
2005,yuba river,5275,upstream_estimate,NA,NA,NA
2006,yuba river,1456,upstream_estimate,NA,NA,NA
2007,yuba river,353,upstream_estimate,NA,NA,NA
2008,yuba river,1320,upstream_estimate,NA,NA,NA
2009,yuba river,2608,upstream_estimate,NA,NA,NA
2010,yuba river,3739,upstream_estimate,NA,NA,NA
2011,yuba river,2360,upstream_estimate,NA,NA,NA
2012,yuba river,2289,upstream_estimate,NA,NA,NA
2013,yuba river,4046,upstream_estimate,NA,NA,NA
2014,yuba river,2022,upstream_estimate,NA,NA,NA
2015,yuba river,235,upstream_estimate,NA,NA,NA
2018,yuba river,285,upstream_estimate,NA,NA,NA
2020,yuba river,1337,upstream_estimate,NA,NA,NA
2021,yuba river,1669,upstream_estimate,NA,NA,NA
2022,yuba river,340,upstream_estimate,NA,NA,NA
2023,yuba river,348,upstream_estimate,NA,NA,NA
2024,yuba river,668,upstream_estimate,NA,NA,NA
