week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
40,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,17.686129652563526
40,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,15.417353336572663
40,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,13.147444632700786
41,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,16.362603525988582
41,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.50255111859389
41,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,12.591086482617447
42,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,15.039077399413634
42,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.653031614898222
42,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,11.756717524354569
43,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,15.038639325811737
43,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.000361873059404
43,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,12.311953895357048
44,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,14.707429238966578
44,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.390212321735106
44,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,11.75503485573328
45,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,13.714675125634892
45,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.366605579951166
45,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,10.920553719562315
46,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,12.721733266473825
46,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.95230417147617
46,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,10.642094199750431
47,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,13.052004624172062
47,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.10378628678805
47,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,10.363522502030465
48,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,13.051566550570165
48,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.451116544949238
48,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,11.196545325396311
49,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,12.720606791497516
49,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.644117231768083
49,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,9.250020956507186
50,1998,yuba river,interpolated,interpolated,yuba river,temperature,max,12.38902121299359
50,1998,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.05673020421237
50,1998,yuba river,interpolated,interpolated,yuba river,temperature,min,9.527583053054382
