year,run_year,week,stream,site,number_released,number_recaptured
2023,2023,3,yuba river,hallwood,1090,1
2023,2023,4,yuba river,hallwood,2018,23
2023,2023,5,yuba river,hallwood,2001,61
2023,2023,6,yuba river,hallwood,795,23
2023,2023,7,yuba river,hallwood,376,2
2023,2023,8,yuba river,hallwood,1268,70
2023,2023,9,yuba river,hallwood,1173,23
2023,2023,10,yuba river,hallwood,799,4
2023,2023,12,yuba river,hallwood,999,4
2023,2023,13,yuba river,hallwood,1002,6
2023,2023,14,yuba river,hallwood,1015,6
2023,2023,15,yuba river,hallwood,1021,34
2023,2023,16,yuba river,hallwood,999,20
2023,2023,17,yuba river,hallwood,1048,12
2023,2023,18,yuba river,hallwood,968,4
2023,2023,19,yuba river,hallwood,340,2
2023,2024,52,yuba river,hallwood,123,5
2024,2024,1,yuba river,hallwood,400,12
2024,2024,2,yuba river,hallwood,941,19
2024,2024,3,yuba river,hallwood,679,15
2024,2024,4,yuba river,hallwood,997,18
2024,2024,5,yuba river,hallwood,440,11
2024,2024,6,yuba river,hallwood,1022,12
2024,2024,7,yuba river,hallwood,989,74
2024,2024,8,yuba river,hallwood,1430,12
2024,2024,9,yuba river,hallwood,487,3
2024,2024,10,yuba river,hallwood,567,4
2024,2024,11,yuba river,hallwood,535,11
2024,2024,12,yuba river,hallwood,772,22
2024,2024,13,yuba river,hallwood,320,10
2024,2024,14,yuba river,hallwood,1193,22
2024,2024,15,yuba river,hallwood,1134,16
2024,2024,16,yuba river,hallwood,540,5
2024,2024,17,yuba river,hallwood,150,2
2024,2024,18,yuba river,hallwood,540,3
2024,2024,19,yuba river,hallwood,1004,4
2024,2024,20,yuba river,hallwood,783,8
2025,2025,4,yuba river,hallwood,351,11
2025,2025,8,yuba river,hallwood,1108,8
2025,2025,9,yuba river,hallwood,1002,8
2025,2025,10,yuba river,hallwood,1150,27
2025,2025,11,yuba river,hallwood,475,14
2025,2025,12,yuba river,hallwood,1067,15
2025,2025,13,yuba river,hallwood,202,5
2025,2025,15,yuba river,hallwood,952,6
2025,2025,16,yuba river,hallwood,593,5
2025,2025,17,yuba river,hallwood,353,7
2025,2025,18,yuba river,hallwood,493,9
2025,2025,19,yuba river,hallwood,498,13
