stream,site,subsite,release_id,date_recaptured,number_recaptured,median_fork_length_recaptured,date_released,week_released,year_released
battle creek,ubc,ubc,BAT21,2004-01-15,15,36,NA,NA,NA
battle creek,ubc,ubc,BAT21,2004-01-16,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT21,2004-01-17,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT21,2004-01-18,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT21,2004-01-19,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT22,2004-01-28,35,36,NA,NA,NA
battle creek,ubc,ubc,BAT22,2004-01-29,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT22,2004-01-30,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT22,2004-01-31,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT22,2004-02-01,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT23,2004-01-31,52,38,NA,NA,NA
battle creek,ubc,ubc,BAT23,2004-02-01,1,38,NA,NA,NA
battle creek,ubc,ubc,BAT23,2004-02-02,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT23,2004-02-03,NA,NA,NA,NA,NA
battle creek,ubc,ubc,BAT23,2004-02-04,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT24,2004-02-07,19,38,NA,NA,NA
battle creek,ubc,ubc,BAT24,2004-02-08,2,38,NA,NA,NA
battle creek,ubc,ubc,BAT24,2004-02-09,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT24,2004-02-10,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT24,2004-02-11,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT25,2004-02-11,39,38,NA,NA,NA
battle creek,ubc,ubc,BAT25,2004-02-12,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT25,2004-02-13,2,38,NA,NA,NA
battle creek,ubc,ubc,BAT25,2004-02-14,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT25,2004-02-15,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT26,2004-02-14,45,37,NA,NA,NA
battle creek,ubc,ubc,BAT26,2004-02-15,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT26,2004-02-16,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT26,2004-02-17,NA,NA,NA,NA,NA
battle creek,ubc,ubc,BAT26,2004-02-18,NA,NA,NA,NA,NA
battle creek,ubc,ubc,BAT27,2004-02-25,18,38,NA,NA,NA
battle creek,ubc,ubc,BAT27,2004-02-26,NA,NA,NA,NA,NA
battle creek,ubc,ubc,BAT27,2004-02-27,NA,NA,NA,NA,NA
battle creek,ubc,ubc,BAT27,2004-02-28,0,NA,NA,NA,NA
battle creek,ubc,ubc,BAT27,2004-02-29,1,38,NA,NA,NA
battle creek,ubc,ubc,BAT28,2004-03-06,25,37,NA,NA,NA
battle creek,ubc,ubc,BAT28,2004-03-07,2,37,NA,NA,NA
