stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
battle creek,ubc,BAT21,2004-01-14,15:46:00,not recorded,not recorded,147,35,natural,not recorded,not recorded,not recorded,1,445,46.5,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT22,2004-01-27,23:23:00,not recorded,not recorded,428,38,natural,not recorded,not recorded,not recorded,1,750,45.2,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT23,2004-01-30,17:02:00,not recorded,not recorded,387,36,natural,not recorded,not recorded,not recorded,1,490,48.8,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT24,2004-02-06,17:00:00,not recorded,not recorded,390,37,natural,not recorded,not recorded,not recorded,1,495,47.1,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT25,2004-02-10,19:12:00,not recorded,not recorded,399,37,natural,not recorded,not recorded,not recorded,1,432,47.4,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT26,2004-02-13,18:05:00,not recorded,not recorded,400,37,natural,not recorded,not recorded,not recorded,1,407,47.4,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT27,2004-02-24,14:28:00,not recorded,not recorded,282,37,natural,not recorded,not recorded,not recorded,1,892,49.3,NA,yes,NA,NA,FALSE
battle creek,ubc,BAT28,2004-03-05,18:49:00,not recorded,not recorded,300,37,natural,not recorded,not recorded,not recorded,1,690,49.9,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT29,2004-03-09,17:13:00,not recorded,not recorded,425,37,natural,not recorded,not recorded,not recorded,1,657,56,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT30,2004-03-12,17:40:00,not recorded,not recorded,450,36,natural,not recorded,not recorded,not recorded,1,668,55.2,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT31,2004-03-26,18:05:00,not recorded,not recorded,269,37,natural,not recorded,not recorded,not recorded,1,722,49.3,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT32,2004-04-02,18:10:00,not recorded,not recorded,272,65,natural,not recorded,not recorded,not recorded,1,578,54.1,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT33,2004-04-09,15:35:00,not recorded,not recorded,157,70,natural,not recorded,not recorded,not recorded,1,593,57.7,NA,yes,NA,NA,FALSE
battle creek,ubc,BAT34,2004-04-16,14:06:00,not recorded,not recorded,597,56,natural,not recorded,not recorded,not recorded,1,542,51.8,NA,yes,NA,NA,FALSE
battle creek,ubc,BAT35,2005-01-04,21:00:00,not recorded,not recorded,105,36,natural,not recorded,not recorded,not recorded,1,391,45.43,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT36,2005-01-11,13:30:00,not recorded,not recorded,91,37,natural,not recorded,not recorded,not recorded,1,601,46.82,NA,yes,NA,NA,FALSE
battle creek,ubc,BAT37,2005-01-14,14:27:00,not recorded,not recorded,130,37,natural,not recorded,not recorded,not recorded,1,345,45.43,NA,yes,NA,NA,FALSE
battle creek,ubc,BAT38,2005-01-21,19:50:00,not recorded,not recorded,380,36,natural,not recorded,not recorded,not recorded,1,310,49.31,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT39,2005-01-25,19:29:00,not recorded,not recorded,388,37,natural,not recorded,not recorded,not recorded,1,321,51.27,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT40,2005-01-28,18:35:00,not recorded,not recorded,403,38,natural,not recorded,not recorded,not recorded,0,605,49.59,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT41,2005-02-01,19:05:00,not recorded,not recorded,413,37,natural,not recorded,not recorded,not recorded,1,363,48.48,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT42,2005-02-04,19:38:00,not recorded,not recorded,448,37,natural,not recorded,not recorded,not recorded,1,340,49.59,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT43,2005-02-08,17:39:00,not recorded,not recorded,399,37,natural,not recorded,not recorded,not recorded,1,321,50.15,NA,yes,NA,NA,TRUE
battle creek,ubc,BAT44,2005-02-11,19:58:00,not recorded,not recorded,415,37,natural,not recorded,not recorded,not recorded,1,307,49.31,NA,yes,NA,NA,TRUE
