release_id,date_recaptured,release_site,site,number_recaptured,median_fork_length_recaptured
CLR171,2003-12-04,vulture bar,lower clear creek,3,34
CLR171,2003-12-05,vulture bar,lower clear creek,0,NA
CLR171,2003-12-06,vulture bar,lower clear creek,0,NA
CLR171,2003-12-07,vulture bar,lower clear creek,0,NA
CLR171,2003-12-08,vulture bar,lower clear creek,0,NA
CLR172,2003-12-04,clear creek road bridge,upper clear creek,6,33.5
CLR172,2003-12-05,clear creek road bridge,upper clear creek,0,NA
CLR172,2003-12-06,clear creek road bridge,upper clear creek,0,NA
CLR172,2003-12-07,clear creek road bridge,upper clear creek,0,NA
CLR172,2003-12-08,clear creek road bridge,upper clear creek,0,NA
CLR173,2003-12-14,vulture bar,lower clear creek,5,35
CLR173,2003-12-15,vulture bar,lower clear creek,0,NA
CLR173,2003-12-16,vulture bar,lower clear creek,0,NA
CLR173,2003-12-17,vulture bar,lower clear creek,0,NA
CLR173,2003-12-18,vulture bar,lower clear creek,0,NA
CLR174,2003-12-14,clear creek road bridge,upper clear creek,6,35
CLR174,2003-12-15,clear creek road bridge,upper clear creek,1,35
CLR174,2003-12-16,clear creek road bridge,upper clear creek,0,NA
CLR174,2003-12-17,clear creek road bridge,upper clear creek,0,NA
CLR174,2003-12-18,clear creek road bridge,upper clear creek,0,NA
CLR175,2003-12-18,vulture bar,lower clear creek,5,35
CLR175,2003-12-19,vulture bar,lower clear creek,2,35
CLR175,2003-12-20,vulture bar,lower clear creek,0,NA
CLR175,2003-12-21,vulture bar,lower clear creek,0,NA
CLR175,2003-12-22,vulture bar,lower clear creek,0,NA
CLR176,2003-12-18,clear creek road bridge,upper clear creek,1,33
CLR176,2003-12-19,clear creek road bridge,upper clear creek,0,NA
CLR176,2003-12-20,clear creek road bridge,upper clear creek,0,NA
CLR176,2003-12-21,clear creek road bridge,upper clear creek,0,NA
CLR176,2003-12-22,clear creek road bridge,upper clear creek,0,NA
CLR177,2003-12-20,vulture bar,lower clear creek,7,35
CLR177,2003-12-21,vulture bar,lower clear creek,0,NA
CLR177,2003-12-22,vulture bar,lower clear creek,0,NA
CLR177,2003-12-23,vulture bar,lower clear creek,0,NA
CLR177,2003-12-24,vulture bar,lower clear creek,0,NA
CLR178,2003-12-20,clear creek road bridge,upper clear creek,30,35
CLR178,2003-12-21,clear creek road bridge,upper clear creek,1,35
CLR178,2003-12-22,clear creek road bridge,upper clear creek,0,NA
CLR178,2003-12-23,clear creek road bridge,upper clear creek,0,NA
CLR178,2003-12-24,clear creek road bridge,upper clear creek,0,NA
CLR179,2004-01-14,clear creek road bridge,upper clear creek,9,36
CLR179,2004-01-15,clear creek road bridge,upper clear creek,1,36
CLR179,2004-01-16,clear creek road bridge,upper clear creek,1,36
