ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,run,fishOrigin,lifeStage,forkLength,n,visitTime,visitType,siteName,subSiteName,markType,markColor,markPosition,markCode
2,135802,2739,Chinook salmon,564,,Natural,Not recorded,,1,2005-02-28T11:00:00Z,Continue trapping,Eye Riffle,Eye riffle_north,Elastomer,White,Nose,
2,135850,2880,Chinook salmon,159,,Natural,Not recorded,,1,2005-04-25T13:30:00Z,Continue trapping,Herringer Riffle,Herringer_west,Pigment / dye,Brown,Whole body,
2,136442,3637,Chinook salmon,239,,Natural,Not recorded,,12,2008-02-01T11:30:00Z,Continue trapping,Herringer Riffle,Herringer_east,Pigment / dye,Brown,Whole body,
2,136455,3650,Chinook salmon,240,,Natural,Not recorded,,32,2008-02-05T15:30:00Z,Continue trapping,Herringer Riffle,Herringer_east,Pigment / dye,Brown,Whole body,
2,136457,3652,Chinook salmon,240,,Natural,Not recorded,,5,2008-02-06T10:15:00Z,Continue trapping,Herringer Riffle,Herringer_west,Pigment / dye,Brown,Whole body,
2,136626,3848,Chinook salmon,581,,Natural,Not recorded,,69,2008-04-17T14:00:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,136690,4143,Chinook salmon,578,,Natural,Not recorded,,97,2009-02-13T10:00:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Elastomer,Orange,Nose,
2,136829,4066,Chinook salmon,575,,Natural,Not recorded,,22,2009-01-14T11:30:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Pigment / dye,Brown,Whole body,
2,136831,4068,Chinook salmon,575,,Natural,Not recorded,,4,2009-01-15T12:00:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Pigment / dye,Brown,Whole body,
2,136832,4069,Chinook salmon,575,,Natural,Not recorded,,3,2009-01-15T12:15:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Pigment / dye,Brown,Whole body,
2,136833,4070,Chinook salmon,575,,Natural,Not recorded,,1,2009-01-16T10:00:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Pigment / dye,Brown,Whole body,
2,136834,4071,Chinook salmon,575,,Natural,Not recorded,,1,2009-01-16T10:30:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Pigment / dye,Brown,Whole body,
2,136852,4089,Chinook salmon,576,,Natural,Not recorded,,29,2009-01-23T13:00:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Pigment / dye,Brown,Whole body,
2,136853,4090,Chinook salmon,576,,Natural,Not recorded,,16,2009-01-23T13:30:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Pigment / dye,Brown,Whole body,
2,136855,4092,Chinook salmon,576,,Natural,Not recorded,,1,2009-01-24T12:30:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Pigment / dye,Brown,Whole body,
2,136858,4095,Chinook salmon,576,,Natural,Not recorded,,1,2009-01-25T10:45:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Pigment / dye,Brown,Whole body,
2,136867,4104,Chinook salmon,577,,Natural,Not recorded,,8,2009-01-28T14:45:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Elastomer,Green,Nose,
2,136868,4105,Chinook salmon,577,,Natural,Not recorded,,26,2009-01-28T14:45:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Elastomer,Green,Nose,
2,137411,5258,Chinook salmon,523,Not recorded,Natural,Not recorded,,1,2011-02-09T12:00:00Z,Continue trapping,Sunset Pumps,Sunset East bank,Pigment / dye,Brown,Whole body,
2,137413,5262,Chinook salmon,523,Not recorded,Natural,Not recorded,,1,2011-02-11T13:00:00Z,Continue trapping,Sunset Pumps,Sunset West bank,Pigment / dye,Brown,Whole body,
2,137430,5283,Chinook salmon,524,Not recorded,Natural,Not recorded,,4,2011-02-24T10:30:00Z,End trapping,Sunset Pumps,Sunset West bank,Pigment / dye,Brown,Whole body,
2,137441,5303,Chinook salmon,469,Fall,Natural,Not recorded,,168,2010-12-28T08:45:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,137442,5304,Chinook salmon,469,Fall,Natural,Not recorded,,18,2010-12-29T13:00:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,137443,5305,Chinook salmon,469,Fall,Natural,Not recorded,,3,2010-12-30T15:45:00Z,End trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,137449,5314,Chinook salmon,470,Fall,Natural,Not recorded,,242,2011-01-04T10:15:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,137450,5315,Chinook salmon,470,Fall,Natural,Not recorded,,11,2011-01-05T10:45:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,137451,5316,Chinook salmon,470,Fall,Natural,Not recorded,,1,2011-01-06T11:00:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Pigment / dye,Brown,Whole body,
2,137452,5317,Chinook salmon,471,Fall,Natural,Not recorded,,284,2011-01-07T14:00:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Elastomer,Red,Nose,
2,137453,5318,Chinook salmon,471,Fall,Natural,Not recorded,,13,2011-01-08T10:30:00Z,Continue trapping,Steep Riffle,#Steep Riffle_RST,Elastomer,Red,Nose,
