projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,waterTemp,turbidity
2,1,1997-12-22T10:40:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,2,1997-12-22T16:48:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,3,1997-12-23T11:40:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,,,1.5,Yes,8.88888931274414,
2,4,1997-12-23T13:34:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,2917.0,,2.79999995231628,Yes,8.88888931274414,
2,5,1997-12-26T13:56:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,6,1997-12-26T16:01:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,7,1997-12-27T09:56:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1826.0,,2.20000004768372,Yes,7.77777767181396,
2,8,1997-12-27T12:17:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.20000004768372,Yes,7.77777767181396,
2,9,1997-12-28T09:11:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1873.0,,1.60000002384186,Yes,8.33333301544189,
2,10,1997-12-28T11:08:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2522.0,,1.5,Yes,7.77777767181396,
2,11,1997-12-29T12:32:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1961.0,,1.39999997615814,Yes,8.88888931274414,
2,12,1997-12-29T14:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2605.0,,2.0,Yes,8.33333301544189,
2,13,1997-12-30T10:08:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1528.0,,1.5,Yes,8.33333301544189,
2,14,1997-12-30T12:08:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2145.0,,2.0,Yes,8.88888931274414,
2,15,1997-12-31T10:24:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,1599.0,,1.5,Yes,8.88888931274414,
2,16,1997-12-31T12:24:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,2495.0,,1.5,Yes,8.88888931274414,
2,17,1998-01-02T11:53:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,18,1998-01-02T12:53:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,19,1998-01-03T09:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2379.0,,2.09999990463257,Yes,9.44444465637207,
2,20,1998-01-03T12:56:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2367.0,,1.79999995231628,Yes,10.5555553436279,
2,21,1998-01-04T09:18:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2187.0,,2.0,Yes,9.44444465637207,
2,22,1998-01-04T12:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.29999995231628,Yes,10.0,
2,23,1998-01-05T11:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.59999990463257,Yes,8.88888931274414,
2,24,1998-01-05T15:38:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2436.0,,1.60000002384186,Yes,10.0,
2,25,1998-01-06T11:16:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1806.0,,1.79999995231628,Yes,6.66666650772095,
2,26,1998-01-06T14:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,2.79999995231628,Yes,8.33333301544189,
2,27,1998-01-07T10:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1978.0,,1.60000002384186,Yes,8.88888931274414,
2,28,1998-01-07T12:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3008.0,,2.5,Yes,8.33333301544189,
2,29,1998-01-08T11:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3370.0,,2.40000009536743,Yes,8.33333301544189,
2,30,1998-01-08T14:07:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2353.0,,1.20000004768372,Yes,,
2,31,1998-01-09T12:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Trap functioning normally,2097.0,,1.60000002384186,Yes,9.44444465637207,
2,32,1998-01-09T14:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3612.0,,2.5,Yes,10.0,
2,33,1998-01-10T09:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2054.0,,1.79999995231628,Yes,9.44444465637207,
2,34,1998-01-10T11:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2769.0,,1.79999995231628,Yes,9.72222232818604,
2,35,1998-01-11T09:29:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2481.0,,2.09999990463257,Yes,9.72222232818604,
2,36,1998-01-11T12:05:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1875.0,,2.29999995231628,Yes,10.5555553436279,
2,37,1998-01-12T08:39:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2460.0,,2.29999995231628,Yes,10.277777671814,
2,38,1998-01-12T11:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1561.0,,,Yes,10.8333330154419,
2,39,1998-01-13T10:01:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,4.5,Yes,10.5555553436279,
2,40,1998-01-13T11:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,3164.0,,1.79999995231628,Yes,10.0,
2,41,1998-01-14T09:22:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1367.0,,4.0,Yes,10.277777671814,
2,42,1998-01-14T10:43:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2398.0,,2.0,Yes,10.0,
2,43,1998-01-14T15:05:00Z,Live Oak,Live Oak,End trapping,No fish were caught,Not recorded,,,,Yes,,
2,44,1998-01-15T11:00:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,45,1998-01-15T11:59:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,3254.0,,2.5,Yes,10.0,
2,46,1998-01-15T16:40:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,1848.0,,6.80000019073486,Yes,11.1111106872559,
2,47,1998-01-16T11:42:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2629.0,,1.89999997615814,Yes,10.5555553436279,
2,48,1998-01-17T10:51:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,49,1998-01-17T11:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,,,1.89999997615814,Yes,11.1111106872559,
2,50,1998-01-18T10:18:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2333.0,,1.89999997615814,Yes,10.0,
2,51,1998-01-18T13:44:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1591.0,,6.0,Yes,10.5555553436279,
2,52,1998-01-19T09:20:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2946.0,,1.89999997615814,Yes,9.72222232818604,
2,53,1998-01-19T12:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8776.0,,6.80000019073486,Yes,10.0,
2,54,1998-01-20T09:47:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2730.0,,1.5,Yes,9.16666698455811,
2,55,1998-01-20T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4556.0,,6.5,Yes,9.72222232818604,
2,56,1998-01-21T12:32:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1952.0,,1.10000002384186,Yes,9.44444465637207,
2,57,1998-01-21T15:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2297.0,,4.30000019073486,Yes,,
2,58,1998-01-22T11:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1472.0,,1.29999995231628,Yes,9.72222232818604,
2,59,1998-01-22T14:33:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,4.30000019073486,Yes,9.72222232818604,
2,60,1998-01-23T11:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1475.0,,1.20000004768372,Yes,7.22222232818604,
2,61,1998-01-23T13:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4802.0,,3.70000004768372,Yes,9.44444465637207,
2,62,1998-01-24T11:15:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1456.0,,0.600000023841858,Yes,9.44444465637207,
2,63,1998-01-24T13:34:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5230.0,,3.90000009536743,Yes,9.44444465637207,
2,64,1998-01-25T09:06:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1336.0,,1.20000004768372,Yes,9.16666698455811,
2,65,1998-01-25T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,144.0,,3.70000004768372,Yes,9.72222232818604,
2,66,1998-01-26T11:13:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2077.0,,1.5,Yes,9.44444465637207,
2,67,1998-01-26T14:26:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5816.0,,4.19999980926514,Yes,9.72222232818604,
2,68,1998-01-27T09:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2027.0,,1.89999997615814,Yes,9.44444465637207,
2,69,1998-01-27T15:45:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,6673.0,,4.5,Yes,9.72222232818604,
2,70,1998-01-28T08:42:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,,,,Yes,,
2,71,1998-01-28T10:00:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2366.0,,1.60000002384186,Yes,9.16666698455811,
2,72,1998-01-28T15:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,976.0,,2.5,Yes,9.72222232818604,
2,73,1998-01-29T09:39:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2540.0,,2.20000004768372,Yes,9.16666698455811,
2,74,1998-01-29T12:59:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4846.0,,4.30000019073486,Yes,10.277777671814,
2,75,1998-01-30T10:00:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2457.0,,1.89999997615814,Yes,9.16666698455811,
2,76,1998-01-30T13:57:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,6975.0,,4.40000009536743,Yes,10.0,
2,77,1998-01-31T09:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2230.0,,1.89999997615814,Yes,8.33333301544189,
2,78,1998-01-31T13:06:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1063.0,,3.70000004768372,Yes,10.277777671814,
2,79,1998-02-01T09:30:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2067.0,,2.09999990463257,Yes,9.44444465637207,
2,80,1998-02-01T12:48:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,,,3.70000004768372,Yes,10.0,
2,81,1998-02-02T10:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2528.0,,1.5,Yes,9.44444465637207,
2,82,1998-02-02T13:50:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,5833.0,,4.30000019073486,Yes,10.0,
2,83,1998-02-03T09:16:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,2439.0,,2.0,Yes,10.0,
