ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,run,fishOrigin,lifeStage,forkLength,n,visitTime,visitTime2,visitType,siteName,subSiteName,markType,markColor,markPosition,markCode,trap_start_date,trap_end_date
9,5238,321,Chinook salmon,256,Fall,Natural,Parr,36,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5239,321,Chinook salmon,256,Fall,Natural,Parr,40,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,FALSE,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5240,321,Chinook salmon,256,Fall,Natural,Parr,40,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5241,321,Chinook salmon,256,Fall,Natural,Parr,46,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5242,321,Chinook salmon,256,Fall,Natural,Parr,39,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5243,321,Chinook salmon,256,Fall,Natural,Parr,37,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5244,321,Chinook salmon,256,Fall,Natural,Parr,39,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5245,321,Chinook salmon,256,Fall,Natural,Parr,35,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5246,321,Chinook salmon,256,Fall,Natural,Parr,38,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
9,5247,321,Chinook salmon,256,Fall,Natural,Parr,39,1,2015-02-14T11:00:03Z,2015-02-14T11:00:03Z,Unplanned restart,Knights Landing RST,8.3,Pigment / dye,Brown,Whole body,NA,2015-02-13T08:00:03Z,2015-02-14T11:00:03Z
