projectDescriptionID,trapVisitID,visitTime,visitTime2,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtStart,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,lightPenetration,turbidity,dissolvedOxygen,conductivity,trap_start_date,trap_end_date
9,8950,2004-10-05T09:45:25Z,2004-10-05T09:45:25Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,10410,3.70000004768372,3.59999990463257,Yes,6683,NA,14.3999996185303,NA,8.90999984741211,NA,NA,NA,2004-10-05T09:45:25Z
9,8948,2004-10-12T12:00:53Z,2004-10-12T12:00:53Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Trap not in service,NA,NA,NA,NA,Yes,6298,NA,16.1000003814697,NA,4.73999977111816,NA,NA,2004-10-12T12:00:53Z,2004-10-12T12:00:53Z
9,8946,2004-10-15T12:00:25Z,2004-10-15T12:00:25Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Trap not in service,NA,NA,NA,NA,Yes,6160,NA,14.3999996185303,NA,2.5,NA,NA,2004-10-15T12:00:25Z,2004-10-15T12:00:25Z
9,8944,2004-10-18T12:00:00Z,2004-10-18T12:00:00Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Not recorded,NA,NA,NA,NA,Yes,NA,NA,14.3999996185303,NA,3.79999995231628,NA,NA,2004-10-18T12:00:00Z,2004-10-18T12:00:00Z
9,8942,2004-10-20T11:30:19Z,2004-10-20T11:30:19Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap functioning normally,185,NA,NA,4,Yes,7028,NA,13.3000001907349,NA,6.30000019073486,NA,NA,2004-10-18T12:00:00Z,2004-10-20T11:30:19Z
9,8940,2004-10-22T10:30:44Z,2004-10-22T10:30:44Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,9634,NA,NA,3.79999995231628,Yes,7987,NA,12.1999998092651,NA,6.03000020980835,NA,NA,2004-10-20T11:30:19Z,2004-10-22T10:30:44Z
9,8938,2004-10-25T10:00:09Z,2004-10-25T10:00:09Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,6986,4.40000009536743,3.90000009536743,Yes,6691,NA,13.3000001907349,NA,8.47999954223633,NA,NA,2004-10-22T10:30:44Z,2004-10-25T10:00:09Z
9,8936,2004-10-27T11:45:58Z,2004-10-27T11:45:58Z,Knights Landing RST,8.3,Service/adjust/clean trap,N/A; not a sampling visit,Trap not in service,NA,NA,NA,NA,Yes,7487,NA,13.3000001907349,NA,5.96999979019165,NA,NA,2004-10-27T11:45:58Z,2004-10-27T11:45:58Z
9,8934,2004-10-29T10:30:25Z,2004-10-29T10:30:25Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,4797,NA,NA,3.59999990463257,Yes,9108,NA,13.8999996185303,NA,11.0699996948242,NA,NA,2004-10-27T11:45:58Z,2004-10-29T10:30:25Z
9,8932,2004-11-01T10:00:55Z,2004-11-01T10:00:55Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,5377,NA,NA,3.29999995231628,Yes,6453,NA,13.8999996185303,NA,14.6999998092651,NA,NA,2004-10-29T10:30:25Z,2004-11-01T10:00:55Z
9,8886,2004-11-03T10:15:33Z,2004-11-03T10:15:33Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,10116,3.40000009536743,3.40000009536743,Yes,6113,NA,13.8999996185303,NA,8.06999969482422,NA,NA,2004-11-01T10:00:55Z,2004-11-03T10:15:33Z
9,8884,2004-11-08T10:45:30Z,2004-11-08T10:45:30Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,15030,3.59999990463257,3,Yes,5730,NA,12.8000001907349,NA,8.22999954223633,NA,NA,2004-11-03T10:15:33Z,2004-11-08T10:45:30Z
9,8882,2004-11-10T09:30:44Z,2004-11-10T09:30:44Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,10208,3.70000004768372,3.40000009536743,Yes,5673,NA,13.8999996185303,NA,9.34000015258789,NA,NA,2004-11-08T10:45:30Z,2004-11-10T09:30:44Z
9,8880,2004-11-12T10:30:04Z,2004-11-12T10:30:04Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9812,3.90000009536743,3.20000004768372,Yes,5832,NA,13.8999996185303,NA,9.8100004196167,NA,NA,2004-11-10T09:30:44Z,2004-11-12T10:30:04Z
9,8878,2004-11-15T10:30:34Z,2004-11-15T10:30:34Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,NA,7054,NA,3.70000004768372,Yes,5775,NA,14.3999996185303,NA,10.3100004196167,NA,NA,2004-11-12T10:30:04Z,2004-11-15T10:30:34Z
9,8876,2004-11-17T10:30:51Z,2004-11-17T10:30:51Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9433,3.5,3.29999995231628,Yes,5239,NA,13.8999996185303,NA,10.1999998092651,NA,NA,2004-11-15T10:30:34Z,2004-11-17T10:30:51Z
9,8874,2004-11-19T11:15:19Z,2004-11-19T11:15:19Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9841,3.5,3.40000009536743,Yes,4875,NA,13.8999996185303,NA,9.15999984741211,NA,NA,2004-11-17T10:30:51Z,2004-11-19T11:15:19Z
9,8872,2004-11-22T13:00:02Z,2004-11-22T13:00:02Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,15303,3.59999990463257,3.40000009536743,Yes,4581,NA,10.6000003814697,NA,7.80000019073486,NA,NA,2004-11-19T11:15:19Z,2004-11-22T13:00:02Z
