ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,finalRun,fishOrigin,lifeStage,forkLength,n,visitTime,visitTime2,visitType,siteName,subSiteName,markType,markColor,markPosition,trap_start_date,trap_end_date
10,29254,2343,Chinook salmon,1,Not recorded,NA,Natural,Not recorded,NA,0,2010-12-12T12:45:34Z,2010-12-12T12:45:34Z,Continue trapping,Tisdale Weir RST,RL,No marks or tags,Not applicable (n/a),Not applicable (n/a),NA,2010-12-12T12:45:34Z
10,27879,2243,Chinook salmon,261,Fall,Fall,Hatchery,Parr,52,1,2016-04-07T08:30:34Z,2016-04-07T08:30:34Z,Continue trapping,Tisdale Weir RST,RL,Elastomer,Green,Nose,2010-12-12T12:45:34Z,2016-04-07T08:30:34Z
10,35039,2529,Chinook salmon,266,Spring,Spring,Natural,Silvery parr,90,1,2016-04-16T08:45:34Z,2016-04-16T08:45:34Z,Continue trapping,Tisdale Weir RST,RL,Pigment / dye,Brown,Whole body,2016-04-07T08:30:34Z,2016-04-16T08:45:34Z
10,40673,2918,Chinook salmon,271,Fall,Fall,Hatchery,Silvery parr,125,1,2016-09-30T09:30:34Z,2016-09-30T09:30:34Z,Continue trapping,Tisdale Weir RST,RL,Elastomer,Yellow,Nose,2016-04-16T08:45:34Z,2016-09-30T09:30:34Z
10,40861,2960,Chinook salmon,273,Fall,Fall,Hatchery,Silvery parr,145,1,2016-10-21T11:45:34Z,2016-10-21T11:45:34Z,Continue trapping,Tisdale Weir RST,RL,Elastomer,White,Nose,2016-09-30T09:30:34Z,2016-10-21T11:45:34Z
10,50486,3827,Chinook salmon,279,Fall,NA,Hatchery,Not recorded,121,1,2017-09-14T09:30:34Z,2017-09-14T09:30:34Z,Continue trapping,Tisdale Weir RST,RL,Fin clip,Not applicable (n/a),Pelvic fin right,2016-10-21T11:45:34Z,2017-09-14T09:30:34Z
10,50865,3910,Chinook salmon,281,Fall,NA,Hatchery,Not recorded,130,1,2017-10-26T09:30:34Z,2017-10-26T09:30:34Z,Continue trapping,Tisdale Weir RST,RL,Fin clip,Not applicable (n/a),Pelvic fin right,2017-09-14T09:30:34Z,2017-10-26T09:30:34Z
10,51051,3953,Chinook salmon,282,Not recorded,NA,Hatchery,Not recorded,NA,1,2017-11-16T09:45:34Z,2017-11-16T09:45:34Z,Continue trapping,Tisdale Weir RST,RL,Fin clip,Not applicable (n/a),Pelvic fin left,2017-10-26T09:30:34Z,2017-11-16T09:45:34Z
10,55215,4769,Chinook salmon,303,Fall,NA,Hatchery,Parr,58,1,2019-03-09T10:44:34Z,2019-03-09T10:44:34Z,Continue trapping,Tisdale Weir RST,RL,Elastomer,Orange,Nose,2017-11-16T09:45:34Z,2019-03-09T10:44:34Z
10,88831,638,Chinook salmon,299,Not recorded,NA,Natural,Not recorded,NA,1,2015-03-25T09:30:34Z,2015-03-25T09:30:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Green,Nose,2019-03-09T10:44:34Z,2015-03-25T09:30:34Z
10,88832,664,Chinook salmon,300,Not recorded,NA,Natural,Not recorded,NA,2,2015-04-01T09:00:34Z,2015-04-01T09:00:34Z,Unplanned restart,Tisdale Weir RST,RR,Elastomer,Pink,Nose,2015-03-25T09:30:34Z,2015-04-01T09:00:34Z
10,88834,1493,Chinook salmon,264,Not recorded,NA,Natural,Not recorded,NA,6,2016-01-18T08:30:34Z,2016-01-18T08:30:34Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2015-04-01T09:00:34Z,2016-01-18T08:30:34Z
10,12277,1497,Chinook salmon,264,Fall,Fall,Natural,Parr,38,1,2016-01-19T09:30:34Z,2016-01-19T09:30:34Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2016-01-18T08:30:34Z,2016-01-19T09:30:34Z
10,12771,1507,Chinook salmon,264,Fall,Fall,Natural,Parr,32,1,2016-01-21T15:30:34Z,2016-01-21T15:30:34Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2016-01-19T09:30:34Z,2016-01-21T15:30:34Z
10,12772,1507,Chinook salmon,264,Fall,Fall,Natural,Parr,39,1,2016-01-21T15:30:34Z,2016-01-21T15:30:34Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2016-01-21T15:30:34Z,2016-01-21T15:30:34Z
10,13039,1515,Chinook salmon,264,Fall,Fall,Natural,Fry,40,1,2016-01-23T14:30:34Z,2016-01-23T14:30:34Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2016-01-21T15:30:34Z,2016-01-23T14:30:34Z
10,88870,1614,Chinook salmon,1,Not recorded,NA,Natural,Not recorded,NA,1,2016-02-11T09:00:34Z,2016-02-11T09:00:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Yellow,Nose,2016-01-23T14:30:34Z,2016-02-11T09:00:34Z
10,88871,1630,Chinook salmon,256,Not recorded,NA,Natural,Not recorded,NA,1,2016-02-18T09:30:34Z,2016-02-18T09:30:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Green,Nose,2016-02-11T09:00:34Z,2016-02-18T09:30:34Z
10,15888,1632,Chinook salmon,256,Fall,Fall,Hatchery,Parr,54,1,2016-02-19T08:30:34Z,2016-02-19T08:30:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Green,Nose,2016-02-18T09:30:34Z,2016-02-19T08:30:34Z
10,88869,2399,Chinook salmon,262,Not recorded,NA,Natural,Not recorded,NA,1,2016-04-14T08:30:34Z,2016-04-14T08:30:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,White,Nose,2016-02-19T08:30:34Z,2016-04-14T08:30:34Z
10,88873,2399,Chinook salmon,262,Not recorded,NA,Natural,Not recorded,NA,1,2016-04-14T08:30:34Z,2016-04-14T08:30:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,White,Nose,2016-04-14T08:30:34Z,2016-04-14T08:30:34Z
10,88874,2399,Chinook salmon,262,Not recorded,NA,Natural,Not recorded,NA,1,2016-04-14T08:30:34Z,2016-04-14T08:30:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,White,Nose,2016-04-14T08:30:34Z,2016-04-14T08:30:34Z
10,35059,2530,Chinook salmon,262,Fall,Fall,Hatchery,Parr,61,1,2016-04-16T08:45:34Z,2016-04-16T08:45:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,White,Nose,2016-04-14T08:30:34Z,2016-04-16T08:45:34Z
10,88876,2711,Chinook salmon,270,Not recorded,NA,Natural,Not recorded,NA,1,2016-04-28T09:00:34Z,2016-04-28T09:00:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Green,Nose,2016-04-16T08:45:34Z,2016-04-28T09:00:34Z
10,41490,3024,Chinook salmon,274,Late fall,Late fall,Hatchery,Silvery parr,109,1,2016-11-17T10:00:34Z,2016-11-17T10:00:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2016-04-28T09:00:34Z,2016-11-17T10:00:34Z
10,41491,3024,Chinook salmon,274,Fall,Fall,Hatchery,Silvery parr,173,1,2016-11-17T10:00:34Z,2016-11-17T10:00:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2016-11-17T10:00:34Z,2016-11-17T10:00:34Z
10,45501,3332,Chinook salmon,275,Fall,Fall,Hatchery,Parr,52,1,2017-02-25T10:00:34Z,2017-02-25T10:00:34Z,Unplanned restart,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2016-11-17T10:00:34Z,2017-02-25T10:00:34Z
10,48143,3542,Chinook salmon,277,Fall,Fall,Natural,Parr,73,1,2017-04-04T10:15:34Z,2017-04-04T10:15:34Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2017-02-25T10:00:34Z,2017-04-04T10:15:34Z
10,50743,3883,Chinook salmon,280,Fall,NA,Hatchery,Silvery parr,150,1,2017-10-12T09:30:34Z,2017-10-12T09:30:34Z,Continue trapping,Tisdale Weir RST,RR,Fin clip,Not applicable (n/a),Pelvic fin left,2017-04-04T10:15:34Z,2017-10-12T09:30:34Z
10,50869,3911,Chinook salmon,281,Fall,NA,Hatchery,Not recorded,78,1,2017-10-26T09:30:34Z,2017-10-26T09:30:34Z,Continue trapping,Tisdale Weir RST,RR,Fin clip,Not applicable (n/a),Pelvic fin right,2017-10-12T09:30:34Z,2017-10-26T09:30:34Z
10,53518,4528,Chinook salmon,302,Fall,NA,Natural,Silvery parr,137,1,2018-11-01T08:15:34Z,2018-11-01T08:15:34Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Yellow,Nose,2017-10-26T09:30:34Z,2018-11-01T08:15:34Z
