projectDescriptionID,releaseID,commonName,markedRun,markedLifeStage,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,releaseTime,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,appliedMarkCode,includeAnalysis
10,1,Chinook salmon,Fall,Not recorded,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,358,2016-02-10T08:00:44Z,7,Elastomer,Yellow,Nose,NA,Yes
10,256,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,457,2016-02-17T10:00:44Z,7,Elastomer,Green,Nose,NA,Yes
10,257,Chinook salmon,Fall,Not recorded,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,493,2016-02-24T09:50:44Z,7,Elastomer,White,Nose,NA,Yes
10,258,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,486,2016-03-16T10:35:44Z,7,Elastomer,Red,Nose,NA,Yes
10,259,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,511,2016-03-23T10:00:44Z,7,Elastomer,Blue,Nose,NA,Yes
10,260,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,502,2016-03-30T09:45:44Z,7,Elastomer,Blue,Nose,NA,Yes
10,261,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,511,2016-04-06T19:15:44Z,7,Elastomer,Green,Nose,NA,Yes
10,262,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,1 RM up,469,2016-04-13T19:15:44Z,1,Elastomer,White,Nose,NA,Yes
10,264,Chinook salmon,Fall,NA,Natural,NA,Tisdale Weir release site,1 RM up,589,2016-01-17T08:30:44Z,7,Pigment / dye,Brown,Whole body,NA,Yes
10,265,Chinook salmon,Fall,NA,Natural,NA,Tisdale Weir release site,1 RM up,94,2016-04-12T15:30:44Z,1,Pigment / dye,Brown,Whole body,NA,Yes
10,266,Chinook salmon,Fall,NA,Natural,NA,Tisdale Weir release site,1 RM up,75,2016-04-14T12:45:44Z,1,Pigment / dye,Brown,Whole body,NA,Yes
10,267,Chinook salmon,Fall,NA,Natural,NA,Tisdale Weir release site,1 RM up,181,2016-04-16T13:15:44Z,1,Pigment / dye,Brown,Whole body,NA,Yes
10,268,Chinook salmon,Fall,NA,Natural,NA,Tisdale Weir release site,1 RM up,248,2016-04-17T13:15:44Z,1,Pigment / dye,Brown,Whole body,NA,Yes
10,269,Chinook salmon,Fall,NA,Natural,Tisdale Weir RST,Tisdale Weir release site,1 RM up,203,2016-04-19T09:30:44Z,7,Pigment / dye,Brown,Whole body,NA,Yes
10,270,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,390,2016-04-27T19:00:44Z,7,Elastomer,Green,Nose,NA,Yes
10,271,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,159,2016-09-29T10:00:44Z,7,Elastomer,Yellow,Nose,NA,Yes
10,272,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,170,2016-10-12T14:30:44Z,7,Elastomer,Yellow,Nose,NA,Yes
10,273,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,500,2016-10-19T15:00:44Z,7,Elastomer,White,Nose,NA,Yes
10,274,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,1038,2016-11-16T16:00:44Z,7,Elastomer,Orange,Nose,NA,Yes
10,275,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,935,2017-02-24T10:25:44Z,7,Elastomer,Orange,Nose,NA,Yes
10,276,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,250,2017-03-31T10:00:44Z,7,Pigment / dye,Brown,Whole body,NA,Yes
10,277,Chinook salmon,Fall,NA,Hatchery,Coleman National Fish Hatchery,Tisdale Weir release site,1 RM up,297,2017-04-03T12:00:44Z,7,Pigment / dye,Brown,Whole body,NA,Yes
