projectDescriptionID,releaseID,releaseTime,commonName,markedRun,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,appliedMarkCode,IncludeInAnalysis
7,260,2023-02-09T11:15:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,795.0,7,Elastomer,Yellow,Nose,,Yes
7,261,2023-02-16T12:00:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,376.0,7,Elastomer,Yellow,Nose,,Yes
7,263,2023-02-22T10:55:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,257.0,7,Elastomer,Yellow,Nose,,Yes
7,264,2023-03-02T11:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,1173.0,7,Elastomer,Yellow,Nose,,Yes
7,266,2023-03-08T13:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,290.0,7,Elastomer,Yellow,Nose,,Yes
7,276,2024-01-04T13:15:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,400.0,7,Elastomer,Yellow,Nose,,Yes
7,277,2024-01-12T12:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,941.0,7,Elastomer,Yellow,Nose,,Yes
7,278,2024-01-19T13:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,679.0,7,Elastomer,Yellow,Nose,,Yes
7,279,2024-01-26T10:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,997.0,8,Elastomer,Yellow,Nose,,Yes
7,280,2024-02-02T12:36:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,440.0,7,Elastomer,Yellow,Nose,,Yes
7,281,2024-02-09T12:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,1022.0,7,Elastomer,Yellow,Nose,,Yes
7,282,2024-02-16T13:05:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,989.0,7,Elastomer,Yellow,Nose,,Yes
7,283,2024-02-23T12:05:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,994.0,11,Elastomer,Pink,Nose,,Yes
7,284,2024-03-01T10:35:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,487.0,7,Elastomer,Yellow,Nose,,Yes
7,286,2023-12-29T12:05:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,123.0,7,Elastomer,Yellow,Nose,,Yes
7,287,2024-03-08T11:20:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,567.0,7,Elastomer,Yellow,Nose,,Yes
7,288,2024-03-15T13:24:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,535.0,7,Elastomer,Yellow,Nose,,Yes
7,289,2024-03-22T13:36:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,772.0,7,Elastomer,Yellow,Nose,,Yes
7,290,2024-03-29T11:11:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,320.0,7,Elastomer,Yellow,Nose,,Yes
7,291,2024-04-05T12:10:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,994.0,7,Elastomer,Pink,Nose,,Yes
7,292,2024-04-12T11:30:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,984.0,7,Elastomer,Pink,Nose,,Yes
