Stream_Site,RunYr,Jweek,lgN_max,Comment
battle creek_ubc,2004,45,0.693147181,UCI to high due to consecutive missing strata
battle creek_ubc,2004,46,0.693147181,UCI to high due to consecutive missing strata
battle creek_ubc,2005,45,0.693147181,UCI to high due to consecutive missing strata
battle creek_ubc,2005,46,0.693147181,UCI to high due to consecutive missing strata
battle creek_ubc,2005,22,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2008,45,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2008,46,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2008,47,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2008,48,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2009,45,1.386294361,UCI to high due to consecutive missing strata
battle creek_ubc,2009,46,1.386294361,UCI to high due to consecutive missing strata
battle creek_ubc,2009,47,1.386294361,UCI to high due to consecutive missing strata
battle creek_ubc,2009,48,1.386294361,UCI to high due to consecutive missing strata
battle creek_ubc,2009,49,1.386294361,UCI to high due to consecutive missing strata
battle creek_ubc,2009,50,1.386294361,UCI to high due to consecutive missing strata
battle creek_ubc,2010,45,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2010,46,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2010,47,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2010,48,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2010,49,1.609437912,UCI to high due to consecutive missing strata
battle creek_ubc,2011,45,2.48490665,UCI to high due to consecutive missing strata
battle creek_ubc,2011,46,2.48490665,UCI to high due to consecutive missing strata
battle creek_ubc,2011,47,2.48490665,UCI to high due to consecutive missing strata
battle creek_ubc,2012,45,2.302585093,UCI to high due to consecutive missing strata
battle creek_ubc,2012,46,2.302585093,UCI to high due to consecutive missing strata
battle creek_ubc,2012,47,2.302585093,UCI to high due to consecutive missing strata
battle creek_ubc,2012,48,2.302585093,UCI to high due to consecutive missing strata
battle creek_ubc,2016,47,2.302585093,UCI to high due to consecutive missing strata
battle creek_ubc,2018,45,1.098612289,UCI to high due to consecutive missing strata
battle creek_ubc,2018,46,1.098612289,UCI to high due to consecutive missing strata
battle creek_ubc,2018,47,1.098612289,UCI to high due to consecutive missing strata
battle creek_ubc,2018,48,1.098612289,UCI to high due to consecutive missing strata
battle creek_ubc,2018,49,1.098612289,UCI to high due to consecutive missing strata
clear creek_lcc,2005,45,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2007,45,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2007,46,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2007,47,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2008,45,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2008,46,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2008,47,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2019,45,1.609437912,UCI to high due to consecutive missing strata
clear creek_lcc,2019,46,1.609437912,UCI to high due to consecutive missing strata
clear creek_ucc,2005,45,1.609437912,UCI to high due to consecutive missing strata
feather river_eye riffle,2018,45,1.609437912,UCI to high due to consecutive missing strata
feather river_eye riffle,2018,46,1.609437912,UCI to high due to consecutive missing strata
feather river_eye riffle,2018,47,1.609437912,UCI to high due to consecutive missing strata
feather river_eye riffle,2019,45,1.386294361,UCI to high due to consecutive missing strata
feather river_eye riffle,2019,46,1.386294361,UCI to high due to consecutive missing strata
feather river_eye riffle,2019,47,1.386294361,UCI to high due to consecutive missing strata
feather river_eye riffle,2020,45,0.693147181,UCI to high due to consecutive missing strata
feather river_eye riffle,2020,46,0.693147181,UCI to high due to consecutive missing strata
feather river_gateway riffle,2013,45,1.386294361,UCI to high due to consecutive missing strata
feather river_gateway riffle,2013,46,1.386294361,UCI to high due to consecutive missing strata
feather river_gateway riffle,2013,47,1.386294361,UCI to high due to consecutive missing strata
feather river_gateway riffle,2013,48,1.386294361,UCI to high due to consecutive missing strata
feather river_gateway riffle,2013,49,1.386294361,UCI to high due to consecutive missing strata
feather river_gateway riffle,2013,50,1.386294361,UCI to high due to consecutive missing strata
feather river_herringer riffle,2012,45,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2012,46,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2012,47,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2012,48,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2018,45,0.693147181,UCI to high due to consecutive missing strata
feather river_herringer riffle,2020,45,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2020,46,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2020,47,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2020,48,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2020,49,1.098612289,UCI to high due to consecutive missing strata
feather river_herringer riffle,2020,50,1.098612289,UCI to high due to consecutive missing strata
feather river_steep riffle,2009,45,2.302585093,UCI to high due to consecutive missing strata
feather river_steep riffle,2011,45,2.302585093,UCI to high due to consecutive missing strata
yuba river_yuba river,2009,45,1.609437912,UCI to high due to consecutive missing strata
