year,stream,count,data_type
2001,battle creek,33,redd
2002,battle creek,78,redd
2003,battle creek,172,redd
2004,battle creek,52,redd
2005,battle creek,47,redd
2006,battle creek,122,redd
2007,battle creek,132,redd
2008,battle creek,40,redd
2009,battle creek,88,redd
2010,battle creek,93,redd
2011,battle creek,66,redd
2012,battle creek,320,redd
2013,battle creek,119,redd
2014,battle creek,99,redd
2015,battle creek,28,redd
2016,battle creek,52,redd
2017,battle creek,5,redd
2018,battle creek,29,redd
2019,battle creek,30,redd
2020,battle creek,11,redd
2021,battle creek,59,redd
2022,battle creek,28,redd
2023,battle creek,4,redd
2024,battle creek,14,redd
2025,battle creek,30,redd
2000,clear creek,10,redd
2001,clear creek,81,redd
2002,clear creek,227,redd
2003,clear creek,53,redd
2004,clear creek,37,redd
2005,clear creek,52,redd
2006,clear creek,82,redd
2007,clear creek,49,redd
2008,clear creek,86,redd
2009,clear creek,64,redd
2010,clear creek,10,redd
2011,clear creek,16,redd
2012,clear creek,26,redd
2013,clear creek,142,redd
2014,clear creek,55,redd
2015,clear creek,28,redd
2016,clear creek,22,redd
2017,clear creek,9,redd
2018,clear creek,4,redd
2019,clear creek,44,redd
2021,clear creek,490,redd
2022,clear creek,43,redd
2023,clear creek,0,redd
2024,clear creek,4,redd
2025,clear creek,19,redd
