projectDescriptionID,releaseID,commonName,markedRun,markedLifeStage,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,releaseTime,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,appliedMarkCode,includeAnalysis
11,256,Chinook salmon,Spring,Juvenile,Natural,Parrott-Phelan canal trap box,Not applicable,,100.0,2021-01-06T13:48:05Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,257,Chinook salmon,Spring,,Natural,,Not applicable,,100.0,2021-01-06T12:30:03Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,258,Chinook salmon,Spring,,Natural,,Not applicable,,100.0,2021-10-12T13:59:49Z,7.0,Pigment / dye,Brown,Whole body,,No
11,259,Not applicable (n/a),,,,,Not applicable,,,,,,,,,
11,260,Not applicable (n/a),,,,,Not applicable,,,,,,,,,
11,261,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,100.0,2021-01-06T12:30:03Z,6.0,Pigment / dye,Brown,Whole body,,Yes
11,262,Not applicable (n/a),,,,,Not applicable,,,,,,,,,
11,263,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,249.0,2021-01-14T12:30:46Z,6.0,Pigment / dye,Brown,Whole body,,Yes
11,264,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,109.0,2021-02-10T12:00:25Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,265,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,349.0,2021-02-24T12:30:07Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,266,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,197.0,2021-03-10T12:00:36Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,267,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,160.0,2021-04-08T13:00:13Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,268,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,500.0,2021-04-15T13:00:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,269,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,250.0,2022-02-08T12:15:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,270,Chinook salmon,Spring,Juvenile,Natural,Parrot-Phelan RST,Parrott-Phelan e-test release site,,249.0,2022-02-15T13:15:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,271,Chinook salmon,Spring,Juvenile,Natural,,Parrott-Phelan e-test release site,,185.0,2022-03-08T13:20:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,272,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,71.0,2023-01-24T12:00:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,273,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,161.0,2023-01-31T11:00:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,274,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,224.0,2023-02-07T11:15:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,275,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,215.0,2023-02-14T11:30:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,276,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,182.0,2023-02-21T11:50:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,277,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,186.0,2023-02-28T11:00:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,278,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,517.0,2023-03-07T11:00:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,279,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,219.0,2024-01-02T00:25:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,280,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,199.0,2024-01-16T12:18:19Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,281,Chinook salmon,Spring,,Natural,Parrott-Phelan canal trap box,Parrott-Phelan e-test release site,,73.0,2025-01-09T11:45:17Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,282,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,55.0,2025-01-15T10:50:17Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,283,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,52.0,2025-01-23T12:20:17Z,7.0,Pigment / dye,Brown,Whole body,,Yes
11,284,Chinook salmon,Spring,,Natural,,Parrott-Phelan e-test release site,,115.0,2025-01-29T10:15:17Z,7.0,Pigment / dye,Brown,Whole body,,Yes
