year,count,stream,data_type
1999,85,clear creek,redd
2000,13,clear creek,redd
2001,81,clear creek,redd
2002,227,clear creek,redd
2003,53,clear creek,redd
2004,37,clear creek,redd
2005,52,clear creek,redd
2006,82,clear creek,redd
2007,49,clear creek,redd
2008,86,clear creek,redd
2009,64,clear creek,redd
2010,10,clear creek,redd
2011,16,clear creek,redd
2012,26,clear creek,redd
2013,142,clear creek,redd
2014,55,clear creek,redd
2015,28,clear creek,redd
2016,22,clear creek,redd
2017,9,clear creek,redd
2018,4,clear creek,redd
2019,44,clear creek,redd
2020,19,clear creek,redd
2021,490,clear creek,redd
2022,43,clear creek,redd
2023,0,clear creek,redd
2024,4,clear creek,redd
