Variable Name,Type,Forecast,Definition
si_gdd_spawn,temperature,TRUE,"Additive measure of temperatures during the adult upstream migration and spawning window. This window is defined as August-December. The steps involved in calculating this value include: obtain daily mean temperature values for each stream (if data are available at a finer resolution e.g. 15-min intervals then the daily mean is calculated), filter the dataset to Aug-Dec, add the daily mean values by stream and year. Missing values are filled in with either the rolling 3-day mean or if that is not available the monthly mean."
si_above_13_temp_day,temperature,TRUE,"Day of the year when water temperature exceeds 13C representing thermal stress during spawning and incubation in tributaries. 13C is recognized as the upper limit of water temperature for spawning and incubation. The data are not filtered to the spawning time period as this threshold is typically met before August; though Jan and Feb are filtered out as adults are not yet in the tributaries. The steps involved in calculating this value include: obtain daily max temperature values for each stream, calculate the 7-day rolling mean of max values (any missing values are filled in the weekly mean of the 7DADM), find the min date when the 7DADM is greater than 13"
si_above_13_temp_week,temperature,TRUE,This is the same as si_above_13_temp_day except instead of a day of the year it is the week of the year.
si_weekly_max_temp_max,temperature,TRUE,"Weekly max water temperature for tributaries and the mainstem Sacramento during the spawning and incubation time period. This window is defined as August-December. Note that daily max temperatures are not available for Sacramento so daily mean values are used. The steps involved in calculating this value include: obtain daily max temperature values for each stream, filter the dataset to Aug-Dec, calculate the weekly max value for each year and stream, calculate the max value across all weeks."
si_weekly_max_temp_mean,temperature,TRUE,This is the same as si_weekly_max_temp_max except when summarizing across all weeks the mean value is calculated
si_weekly_max_temp_median,temperature,TRUE,This is the same as si_weekly_max_temp_max except when summarizing across all weeks the median value is calculated
si_mean_flow,flow,TRUE,"Mean flow during the spawning and incubation time window. This window is defined as August-December. The steps involved in calculating this value include: obtain daily max flow values for each stream, filter the dataset to Aug-Dec, find the mean flow by stream and year."
si_max_flow,flow,TRUE,This is the same as si_mean_flow except the max flow by stream and year is calculated.
si_min_flow,flow,TRUE,This is the same as si_mean_flow except the min flow by stream and year is calculated.
si_median_flow,flow,TRUE,This is the same as si_mean_flow except the median flow by stream and year is calculated.
rr_mean_flow,flow,FALSE,"Mean flow during the rearing time period. This window is defined as November-July. The steps involved in calculating this value include: obtain daily max flow values, filter the dataset to Nov-July, find the mean flow by stream and year."
rr_max_flow,flow,FALSE,This is the same as rr_mean_flow except the max flow by stream and year is calculated.
rr_min_flow,flow,FALSE,This is the same as rr_mean_flow except the max flow by stream and year is calculated.
rr_median_flow,flow,FALSE,This is the same as rr_mean_flow except the max flow by stream and year is calculated.
2-category water year type,water year summary ,TRUE,Simplify water year type indicating Wet or Dry 
3-category water year type,water year summary ,TRUE,"Use water year type from CDEC for the Sacramento Valley and aggregate into 2 categories: C/D/BN, AN/W. This is a scenario based covariate meaning we do not need any data for the forecast. Both categories would be run for the forecast."
3-category flow exceedance year type,water year summary ,TRUE,"Use the flow exceedance methodology provided by the CDFW Instream Flow team (find mean annual flow by water year for each stream and rank the water years where the top 33% are wet, middle are average, bottom are dry) to categorize years for each stream into 3 categories: wet, average, dry"
monthly reservoir storage Keswick ,resevoir storage ,TRUE,"Using reservoir storage data, calculate the monthly max storage for Keswick. For each JPE date we would use data from the month prior (e.g for Jan 1 it would be average for Dec)"
monthly reservoir storage Shasta,resevoir storage ,TRUE,"Using reservoir storage data, calculate the monthly max storage for Shasta. For each JPE date we would use data from the month prior (e.g for Jan 1 it would be average for Dec)"
monthly peak flow,flow,TRUE,Calculate the peak flow for each watershed and month. This would be different based on JPE date
weight,physical,FALSE,Weight of fish in grams. 
fork_length,physical,FALSE,Fork length of fish in mm. 
fish_condition,physical,FALSE,Fish health condition. 
mi_gdd_sacramento,temperature,TRUE,"Water temperature exposure during adult upstream migration in the mainstem Sacramento River (March–May), calculated by summing mean daily temperatures."
mi_above_13_temp_day,temperature,TRUE,Week of the year (1:52) when water temperature exceeds 13 °C during the adult upstream migration in the mainstem Sacramento (March–May).
mi_above_13_temp_week,temperature,TRUE,Day of the year (1:365) when water temperature exceeds 13 C during the adult upstream migration in the mainstem Sacramento (March–May).
efficiency_flow,flow,FALSE,Mean weekly flow during efficiency trials. 
weekly_flow,flow,FALSE,Mean weekly flow. 
peak_flow_prior_to_X (shifting dates),flow ,FALSE,Peak flow prior to a given date. Multiple dates tested to see which preformed best. 
hatchery_origin,physical ,FALSE,Hatchery origin of chinook indicating if fish is of wild or hatchery origin. 
null ,,FALSE,"Null model selected, no covariate. "
