Release Location,stream
ADAMS DAM,butte creek
AMERICAN R AT HOWE,
AMERICAN R AT JIBBOOM,
AMERICAN R AT SUNRISE,
AMERICAN RIVER,
AVILA MINOR PORT,
BALDWIN CONST. YARD,
BATTLE CREEK BELOW CNFH,battle creek
BATTLE CREEK NFK WILDCAT,battle creek
BENICIA,
BERKELEY MINOR PORT,
BIG CHICO CREEK,
BUTTE CREEK,butte creek
CALIF. MARIT. ACAD.,
CARQUINEZ STRAIT,
CLEAR CREEK,clear creek
COLEMAN NFH,battle creek
COYOTE CREEK,
CROCKETT,
DAVENPORT LANDING CR,
DEER CREEK,deer creek
DELTA CROSS CHANNEL,
DRY CREEK,
EMERYVILLE MINOR PT,
FEATHER AT GRIDLEY,feather river
FEATHER AT LIVE OAK,feather river
FEATHER AT YUBA CITY,feather river
FEATHER BEL THRM HI FLOW,feather river
FEATHER BOYDS PUMP RAMP,feather river
FEATHER R HATCHERY,feather river
FEATHER RIVER,feather river
FEATHER THERMALITO BYPASS,feather river
FOLSOM LAKE,
FORT BAKER BARGE RELEASE,
FORT BAKER MINOR PT,
GOLDEN GATE BRIDGE,
HALF MOON BAY JOHN PR NET,
HALF MOON BAY JOHNSON PR,
LAKE ALMANOR,
LAKE OROVILLE,
MARE ISLAND NET PEN,
MILL CREEK,mill creek
MONTEREY MAJOR PORT,
MONTEREY MINOR PORT,
MOSS LANDING MIN. PT,
OCEAN NET PENS,
OKIE DAM,butte creek
PARROT-PHELAN DAM,butte creek
PORT CHICAGO,
PT SAN QUENTIN,
RODEO MINOR PORT,
SAC R AB COLLINSVILLE,sacramento river
SAC R AB FEATHER,sacramento river
SAC R AB RBDD,sacramento river
SAC R AT BALLS FERRY,sacramento river
SAC R AT BUTTE CITY,sacramento river
SAC R AT CLARKSBURG,sacramento river
SAC R AT COURTLAND,sacramento river
SAC R AT DISCOVERY PARK,sacramento river
SAC R AT FREMONT WEIR,sacramento river
SAC R AT GARCIA BEND,sacramento river
SAC R AT HAMILTON CITY,sacramento river
SAC R AT ISLETON,sacramento river
SAC R AT KNIGHTS LANDING,sacramento river
SAC R AT MILLER PARK,sacramento river
SAC R AT PITTSBURG,sacramento river
SAC R AT POSSE GNDS TURTL,sacramento river
SAC R AT PRINCETON FERRY,sacramento river
SAC R AT RIO VISTA,sacramento river
SAC R AT RIO VISTA NET,sacramento river
SAC R AT RYDE KOKET,sacramento river
SAC R AT STEAMBOAT SLOUGH,sacramento river
SAC R AT SUTTER SLOUGH,sacramento river
SAC R AT VERONA,sacramento river
SAC R AT VIERRA'S RESORT,sacramento river
SAC R AT VORDEN,sacramento river
SAC R AT WALNUT GROVE,sacramento river
SAC R AT WEST SACRAMENTO,sacramento river
SAC R BEL RBDD,sacramento river
SAC R BONNYVIEW BOAT RAMP,sacramento river
SAC R BRODERICK BOAT RAMP,sacramento river
SAC R COLUSA TO RBDD,sacramento river
SAC R ELKHORN BOAT RAMP,sacramento river
SAC R LAKE REDDING PARK,sacramento river
SAC R NORTH ST ANDERSON,sacramento river
SAC R RED BLUFF DIV DAM,sacramento river
SACRA.-SAN JOAQ. SYS,
SAN FRANCISCO MAJ.PT,
SAN PABLO BAY,
SAN PABLO BAY NET PENS,
SANTA CRUZ HARBOR,
SANTA CRUZ HARBOR NET PEN,
TIBURON MINOR PORT,
TIBURON NET PENS,
WICKLAND OIL NET PEN,
WICKLAND OIL TERMINAL,
YOLO BYPASS,
YOLO BYPASS ELKHORN,
YOLO BYPASS ROAD 16,
YUBA AT HALLWOOD BLVD,yuba river
YUBA RIVER,yuba river
