stream,month,day,cutoff
battle creek,10,1,75
battle creek,10,2,75
battle creek,10,3,75
battle creek,10,4,75
battle creek,10,5,75
battle creek,10,6,75
battle creek,10,7,75
battle creek,10,8,75
battle creek,10,9,75
battle creek,10,10,75
battle creek,10,11,75
battle creek,10,12,75
battle creek,10,13,75
battle creek,10,14,75
battle creek,10,15,75
battle creek,10,16,75
battle creek,10,17,75
battle creek,10,18,75
battle creek,10,19,75
battle creek,10,20,75
battle creek,10,21,75
battle creek,10,22,75
battle creek,10,23,75
battle creek,10,24,75
battle creek,10,25,75
battle creek,10,26,75
battle creek,10,27,75
battle creek,10,28,75
battle creek,10,29,75
battle creek,10,30,75
battle creek,10,31,75
battle creek,11,1,75
battle creek,11,2,75
battle creek,11,3,75
battle creek,11,4,75
battle creek,11,5,75
battle creek,11,6,75
battle creek,11,7,75
battle creek,11,8,75
battle creek,11,9,75
battle creek,11,10,75
battle creek,11,11,75
battle creek,11,12,75
battle creek,11,13,75
battle creek,11,14,75
battle creek,11,15,75
battle creek,11,16,75
battle creek,11,17,75
battle creek,11,18,75
battle creek,11,19,75
battle creek,11,20,75
battle creek,11,21,75
battle creek,11,22,75
battle creek,11,23,75
battle creek,11,24,75
battle creek,11,25,75
battle creek,11,26,75
battle creek,11,27,75
battle creek,11,28,75
battle creek,11,29,75
battle creek,11,30,75
battle creek,12,1,75
battle creek,12,2,75
battle creek,12,3,75
battle creek,12,4,75
battle creek,12,5,75
battle creek,12,6,75
battle creek,12,7,75
battle creek,12,8,75
battle creek,12,9,75
battle creek,12,10,75
battle creek,12,11,75
battle creek,12,12,75
battle creek,12,13,75
battle creek,12,14,75
battle creek,12,15,75
battle creek,12,16,75
battle creek,12,17,75
battle creek,12,18,75
battle creek,12,19,75
battle creek,12,20,75
battle creek,12,21,75
battle creek,12,22,75
battle creek,12,23,75
battle creek,12,24,75
battle creek,12,25,75
battle creek,12,26,75
battle creek,12,27,75
battle creek,12,28,75
battle creek,12,29,75
battle creek,12,30,75
battle creek,12,31,75
battle creek,1,1,75
battle creek,1,2,75
battle creek,1,3,75
battle creek,1,4,75
battle creek,1,5,75
battle creek,1,6,75
battle creek,1,7,75
battle creek,1,8,75
battle creek,1,9,76.43
battle creek,1,10,77.86
battle creek,1,11,79.29
battle creek,1,12,80.71
battle creek,1,13,82.14
battle creek,1,14,83.57
battle creek,1,15,85
battle creek,1,16,87.14
battle creek,1,17,89.29
battle creek,1,18,91.43
battle creek,1,19,93.57
battle creek,1,20,95.71
battle creek,1,21,97.86
battle creek,1,22,100
battle creek,1,23,100
battle creek,1,24,100
battle creek,1,25,100
battle creek,1,26,100
battle creek,1,27,100
battle creek,1,28,100
battle creek,1,29,100
battle creek,1,30,101.43
battle creek,1,31,102.86
battle creek,2,1,104.29
battle creek,2,2,105.71
battle creek,2,3,107.14
battle creek,2,4,108.57
battle creek,2,5,110
