p10,p25,p50,p75,p90,metric,comid,result_type
87,101,128.5,152.75,171.5,DS_Dur_WS,2496048,observed
281.4,293,305,315,324.4,DS_Tim,2496048,observed
193.5,212,224.5,256.25,317.75,DS_Mag_50,2496048,observed
211,243.425,268.35,302.45,353.00000000000006,DS_Mag_90,2496048,observed
2,2,3,4,5,FA_Dur,2496048,observed
337.19718335563005,366.9897464365714,445.48875288140994,566.2351396095861,676.4795066132467,FA_Mag,2496048,observed
18.6,24,28.5,39.25,53.60000000000001,FA_Tim,2496048,observed
0.016018165759702663,0.01808785529715762,0.020491803278688523,0.023188146291239536,0.026495484194194372,SP_ROC,2496048,observed
72,83,112,149,171,SP_Dur,2496048,observed
613.1999999999999,919,1370,2530,3019.9999999999995,SP_Mag,2496048,observed
129.2,153,191,233,247,SP_Tim,2496048,observed
46.599999999999994,75,111,171,181.6,Wet_BFL_Dur,2496048,observed
229.64,266.6,305.2,374,420.99999999999994,Wet_BFL_Mag_10,2496048,observed
312.4,370.5,456,677,890.4999999999999,Wet_BFL_Mag_50,2496048,observed
41.199999999999996,47,63,85,107,Wet_Tim,2496048,observed
87.2,111.5,130.5,140.75,149.3,Peak_Tim_10,2496048,observed
91.1,126.5,135,159,163,Peak_Tim_2,2496048,observed
68.3,86,112,141.75,159,Peak_Tim_5,2496048,observed
1,1,1,1.25,1.7000000000000002,Peak_Dur_10,2496048,observed
1,1.5,2,3.5,11,Peak_Dur_2,2496048,observed
1,1,1,3.25,4.3,Peak_Dur_5,2496048,observed
5745.999999999998,5745.999999999998,5745.999999999998,5745.999999999998,5745.999999999998,Peak_10,2496048,observed
2760,2760,2760,2760,2760,Peak_2,2496048,observed
4508,4508,4508,4508,4508,Peak_5,2496048,observed
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,2496048,observed
1,1,2,2.5,7,Peak_Fre_2,2496048,observed
1,1,1,3,3,Peak_Fre_5,2496048,observed
