comid,metric,p10,p25,p50,p75,p90,source,result_type
8019544,Peak_Dur_2,1,1,4,10,29,inferred,predicted
8019544,Peak_Dur_5,1,1,2,3,6,inferred,predicted
8019544,Peak_Fre_2,1,1,2,3,5,inferred,predicted
8019544,Peak_Fre_5,1,1,1,2,3,inferred,predicted
8019544,Peak_10,2135.74623845943,3276.6937316315302,5534.796898463629,9358.00841224329,12079.0573449001,model,predicted
8019544,Peak_2,1118.90353924888,1547.4747915058801,2731.5565874202,3214.99166541252,4052.57344167508,model,predicted
8019544,Peak_5,1713.53629329352,2570.09659697182,4532.457147834871,6445.2720976975,8140.811941252679,model,predicted
8019544,DS_Dur_WS,98,122.775,147.666666666667,176.366666666667,201.033333333334,model,predicted
8019544,DS_Mag_50,24.4808600143527,38.1127131559091,50.2387344975135,71.2827732493191,91.432437430953,model,predicted
8019544,DS_Mag_90,42.1496032500531,57.8086691954361,80.9565763173134,107.887845744882,144.777403153681,model,predicted
8019544,DS_Tim,272,284.9,300.354166666667,313.7625,326.653333333334,model,predicted
8019544,FA_Mag,56.0059211205193,87.2666273722352,136.770822366933,224.090063017899,407.237564350458,model,predicted
8019544,FA_Tim,5.8975,11.4833333333334,22.225,29.2625,44.6066666666667,model,predicted
8019544,SP_Dur,41.2025,53.7916666666667,69.1333333333334,97.09375,136.665,model,predicted
8019544,SP_Mag,310.282319839327,488.278395633787,835.26337641192,1377.64540144543,2120.72851411422,model,predicted
8019544,SP_Tim,158.825,199.729166666667,229.508333333333,242,251.055,model,predicted
8019544,Wet_BFL_Dur,72.2416666666666,108.841666666666,152.8875,181.5,202,model,predicted
8019544,Wet_BFL_Mag_10,58.523502796497,77.9195298763518,109.88724261445,160.683295676299,205.408544304636,model,predicted
8019544,Wet_BFL_Mag_50,172.592520865774,228.431405890308,314.593501228181,418.601955657938,515.792766648061,model,predicted
8019544,Wet_Tim,37.7683333333334,52.7,64,83.3708333333334,102.125,model,predicted
