Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,gageid
1987,188,204,53,58,NA,NA,NA,0.02469512195121951,36,385,168,142,57.1,108,26,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1988,118,276,53,55,NA,NA,NA,0.0175438596491228,22,77,254,228,60,78,26,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1989,147,233,56,66.4,NA,NA,NA,0.02684684684684685,54,519,179,151,71,113,28,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1990,106,286,56,80,NA,NA,NA,0.02531645569620253,44,907,242,228,61,78,14,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1991,268,221,57,75,NA,NA,NA,0.01470588235294117,41,342,180,154,55,105,26,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1992,67,310,49,50.4,NA,NA,NA,0.02409638554216867,107,225,203,80,67.8,134,123,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1993,110,281,57,60,3,630.9532139410741,7,0.02667140825035562,30,1190,251,240,96.9,216,11,NA,139,111,NA,2,1,3968.0000000000055,1450,2632.0000000000005,NA,2,1,11372000
1994,173,282,55,109,NA,NA,NA,0.01653005464480874,71,161,211,186,64,93,25,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1995,155,269,77,148,8,100.11830665529392,23,0.04972527472527473,99,3140,170,81,112,230,89,103,159,133.5,2,15,7,3968.0000000000055,1450,2632.0000000000005,2,3,2,11372000
1996,169,258,59,157.20000000000002,2,145.00051564624636,10,0.03296703296703297,24,240,234,176,144.5,198,58,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
1997,240,223,63,188,5,155.12000593294704,10,0.01485184912874053,101,747,122,61,190,259,61,92,103,91,3,8,4,3968.0000000000055,1450,2632.0000000000005,1,2,1,11372000
1998,66,333,51,206,4,151.00439539024384,7,0.02597840755735492,88,755,245,148,240.7,351.5,97,129,135,129,2,11,3,3968.0000000000055,1450,2632.0000000000005,1,6,1,11372000
1999,203,262,201,252,2,207.00130699805828,8,0.01115241635687732,65,448,197,164,216,297,33,NA,129,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA,11372000
2000,143,279,58,132.8,NA,NA,NA,0.01639454411073036,48,315,231,132,243,282,99,NA,135,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA,11372000
2001,117,287,105,195,2,133.05295693647355,2,0.0087001400870014,108,183,179,123,156,172,56,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
2002,153,281,206,225.00000000000017,2,180.05255515190584,9,0.01273885350318471,103,313,178,140,210.9,275.5,38,NA,93,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA,11372000
2003,166,256,159,214.5,12,208.0689580102215,17,0.0150712907983813,40,3080,216,148,244.7,295.5,68,NA,90,211,NA,9,2,3968.0000000000055,1450,2632.0000000000005,NA,3,1,11372000
2004,139,288,189,217,3,238.99923860054145,39,0.01136363636363636,82,369,206,150,241,276.5,56,NA,143,NA,NA,3,NA,3968.0000000000055,1450,2632.0000000000005,NA,2,NA,11372000
2005,130,310,207,220.1,6,285.98485344536283,16,0.0082267519317879,47,227,263,202,222.1,273,61,NA,172,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA,11372000
2006,138,264,99.7,199,4,484.9825212732826,46,0.01602564102564102,66,2470,198,124,263.9,406.5,74,NA,90,NA,NA,5,NA,3968.0000000000055,1450,2632.0000000000005,NA,3,NA,11372000
2007,136,304,209,213.5,2,204.0159225745321,1,0.01785714285714285,70,231,234,198,214,230.5,36,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
2008,187,304,200,217,NA,NA,NA,0.00873379099923722,154,1310,150,76,215,272,74,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
2009,169,285,213,275,5,514.9421125928686,43,0.01407907425265188,65,895,220,95,230,278,125,NA,NA,NA,NA,NA,NA,3968.0000000000055,1450,2632.0000000000005,NA,NA,NA,11372000
2010,113,315,219,245.8,8,465.96654279197776,13,0.00980392156862745,61,680,254,166,249.5,321,88,NA,111,NA,NA,1,NA,3968.0000000000055,1450,2632.0000000000005,NA,1,NA,11372000
