comid,metric,p10,p25,p50,p75,p90,source,result_type,gageid
2495296,Peak_Dur_2,1,1,3,6,10,inferred,predicted,11372000
2495296,Peak_Dur_5,1,1,1,2,4,inferred,predicted,11372000
2495296,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11372000
2495296,Peak_Fre_5,1,1,1,2,2,inferred,predicted,11372000
2495296,Peak_10,10822.5739897226,12672.7724718361,13614,13912.2539164001,16948.891411481698,model,predicted,11372000
2495296,Peak_2,4653.03309129015,5485.09290416163,5696.56225856903,5943.2550242558,7002.83383015454,model,predicted,11372000
2495296,Peak_5,7832.23212502325,8341.26559466404,8685.251934220809,8941.23819841966,12962.1206957162,model,predicted,11372000
2495296,DS_Dur_WS,119.745,141.2375,160,188.15625,221.1625,model,predicted,11372000
2495296,DS_Mag_50,27.423447001833,34.5937881729242,38.6768031533232,51.7328628682954,61.6741372435329,model,predicted,11372000
2495296,DS_Mag_90,51.4468645936421,69.9596163493575,106.543503112847,161.873179321291,232.70014632466,model,predicted,11372000
2495296,DS_Tim,228.1125,245.2,263,276.35,292.76,model,predicted,11372000
2495296,FA_Mag,84.8203458358441,121.567679800778,193.682855553465,380.607237576793,756.379810221137,model,predicted,11372000
2495296,FA_Tim,6.97083333333333,12.3875,23.125,29,42.25,model,predicted,11372000
2495296,SP_Dur,36.6208333333334,45.075,58.0625,83.5958333333334,109.016666666667,model,predicted,11372000
2495296,SP_Mag,658.069722904175,1052.33468764666,1534.39057156145,2793.60654767682,5587.67455188146,model,predicted,11372000
2495296,SP_Tim,165.92,187.666666666667,199,213.525,228.785,model,predicted,11372000
2495296,Wet_BFL_Dur,78.3916666666667,113.45,135.5,157.75,184.115,model,predicted,11372000
2495296,Wet_BFL_Mag_10,130.257332105457,167.79485401207901,216.852949266507,266.008470471782,342.149596296424,model,predicted,11372000
2495296,Wet_BFL_Mag_50,410.319625321533,497.126564431172,555.946063280879,778.284016712667,989.770420141689,model,predicted,11372000
2495296,Wet_Tim,41.2025,50.75,61.5,72.3,91.3775,model,predicted,11372000
2496048,Peak_Dur_2,1,1,4,10,29,inferred,predicted,11376550
2496048,Peak_Dur_5,1,1,2,3,6,inferred,predicted,11376550
2496048,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11376550
2496048,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11376550
2496048,Peak_10,5646.41995148505,5822.14659478316,6047.55129345723,9401.74887401552,18160.0830195511,model,predicted,11376550
2496048,Peak_2,2761.56249987698,2999.9999999999895,3194.2237184031605,4553.06306782939,8131.483679694,model,predicted,11376550
2496048,Peak_5,4379.9745022095,4607.6858420502795,4860.70301186493,7236.024178620809,12855.65335566,model,predicted,11376550
2496048,DS_Dur_WS,94.225,112.895833333333,139.416666666667,169.5,189.485,model,predicted,11376550
2496048,DS_Mag_50,129.092703383546,167.288365805147,193.894552206269,230.375650054193,251.686310702152,model,predicted,11376550
2496048,DS_Mag_90,125.44017008773,170.974640233205,221.66772144343,271.988694814195,337.128936423601,model,predicted,11376550
2496048,DS_Tim,280.55,290,300.3375,312.84375,324.875,model,predicted,11376550
2496048,FA_Mag,154.181232972051,233.645214051116,393.327495543232,581.265221872265,966.814365396824,model,predicted,11376550
2496048,FA_Tim,5.325,11.25,22.65,31,46.145,model,predicted,11376550
2496048,SP_Dur,56,66.6979166666667,86.9,124.98125,161.0625,model,predicted,11376550
2496048,SP_Mag,592.882921139093,877.475028297361,1200.229708001,1989.80476243267,3486.34768430561,model,predicted,11376550
2496048,SP_Tim,150.5675,184,222.270833333333,237,246.5,model,predicted,11376550
2496048,Wet_BFL_Dur,70.35,102.35,138.1125,175.370833333334,198.52,model,predicted,11376550
2496048,Wet_BFL_Mag_10,146.371080906132,197.853108997633,256.96325401186,359.881816096639,416.726046925476,model,predicted,11376550
2496048,Wet_BFL_Mag_50,316.23698019259,426.953479005526,506.08371693983,732.128003510961,986.643154429566,model,predicted,11376550
2496048,Wet_Tim,40.09,54.8125,67.3,89.325,112.3075,model,predicted,11376550
8019544,Peak_Dur_2,1,1,4,10,29,inferred,predicted,11381500
8019544,Peak_Dur_5,1,1,2,3,6,inferred,predicted,11381500
8019544,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11381500
8019544,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11381500
8019544,Peak_10,2135.74623845943,3276.6937316315302,5534.796898463629,9358.00841224329,12079.0573449001,model,predicted,11381500
8019544,Peak_2,1118.90353924888,1547.47479150588,2731.5565874202,3214.99166541252,4052.57344167508,model,predicted,11381500
8019544,Peak_5,1713.53629329352,2570.09659697182,4532.457147834871,6445.2720976975,8140.811941252679,model,predicted,11381500
8019544,DS_Dur_WS,98,122.775,147.666666666667,176.366666666667,201.033333333334,model,predicted,11381500
8019544,DS_Mag_50,24.4808600143527,38.1127131559091,50.2387344975135,71.2827732493191,91.432437430953,model,predicted,11381500
8019544,DS_Mag_90,42.1496032500531,57.8086691954361,80.9565763173134,107.887845744882,144.777403153681,model,predicted,11381500
8019544,DS_Tim,272,284.9,300.354166666667,313.7625,326.653333333334,model,predicted,11381500
8019544,FA_Mag,56.0059211205193,87.2666273722352,136.770822366933,224.090063017899,407.237564350458,model,predicted,11381500
