Year,Hallprint Tagged1,Hallprint Returned to FRFH,Hallprint Released from FRFH2,FMS spring-run Count,Over Summer Morts3,Estimated in-river spring-run
2004,3685,834,0,n/a,,2851
2005,6021,1896,0,n/a,,4125
2006,17438,1768,0,n/a,,15670
2007,9755,1849,0,n/a,27,7879
2008,1915,1418,0,n/a,,497
2009,1462,989,0,n/a,1,472
2010,3541,1661,0,n/a,,1880
2011,6051,1969,0,n/a,,4082
2012,7494,3738,0,n/a,0,3756
2013,20419,4247,0,n/a,18,16154
2014,7297,2788,0,n/a,,4509
2015,5363,3312,0,n/a,0,2051
2016,3039,1591,0,n/a,0,1448
2017,752,532,0,n/a,,220
2018,3176,2114,0,n/a,3,1059
2019,6052,3866,0,n/a,2,2184
2020,2748,1544,0,n/a,5,1199
2021,4790,2539,817,n/a,25,3043
2022,2162,1720,329,n/a,9,762
2023,2168,1394,322,n/a,9,1087
2024,6817,2872,402,7296,1519,3307
2025,7970,2538,40,18734,2803,13433
1Hallprint Tagged = Total tagged at FRFH + In-river Acoustic - Known Hallprint tagged mortalities associated with tagging,,,,,,
"2Beginning in 2021, Hallprint tagged fish can be released  when not needed for Hatchery production",,,,,,
3Also includes non-Hallprint tagged  carcasses encountered during over summer holding period,,,,,,
