date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1969-01-01,805,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-02,805,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-03,814,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-04,811,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-05,811,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-06,796,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-07,796,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-08,799,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-09,799,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-10,799,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-11,816,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-12,844,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-13,4252,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-14,1982,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-15,792,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-16,799,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-17,803,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-18,838,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-19,863,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-20,1791,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-21,22120,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-22,50800,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-23,38900,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-24,32400,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-25,19120,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-26,31600,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-27,36500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-28,38900,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-29,38300,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-30,37700,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-01-31,29800,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-01,14230,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-02,10611,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-03,9812,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-04,9292,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-05,9272,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-06,10321,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-07,10702,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-08,10182,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-09,11111,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-10,14320,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-11,18650,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-12,21670,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-13,19070,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-14,13434,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-15,14005,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-16,14840,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-17,15480,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-18,15520,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-19,13220,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-20,11260,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-21,10810,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-22,11708,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-23,12144,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-02-24,12510,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
