date_released,release_id,stream,site,site_group,number_released,origin,run,life_stage
1998-12-22,KNL1,sacramento river,knights landing,knights landing,111,not recorded,not recorded,not recorded
1998-12-27,KNL2,sacramento river,knights landing,knights landing,126,not recorded,not recorded,not recorded
2000-01-29,KNL3,sacramento river,knights landing,knights landing,651,not recorded,not recorded,not recorded
2000-02-01,KNL4,sacramento river,knights landing,knights landing,766,not recorded,not recorded,not recorded
2000-02-05,KNL5,sacramento river,knights landing,knights landing,1058,not recorded,not recorded,not recorded
2000-02-06,KNL6,sacramento river,knights landing,knights landing,376,not recorded,not recorded,not recorded
2000-02-08,KNL7,sacramento river,knights landing,knights landing,405,not recorded,not recorded,not recorded
2000-02-09,KNL8,sacramento river,knights landing,knights landing,452,not recorded,not recorded,not recorded
2000-02-12,KNL9,sacramento river,knights landing,knights landing,980,not recorded,not recorded,not recorded
2000-02-13,KNL10,sacramento river,knights landing,knights landing,239,not recorded,not recorded,not recorded
2000-02-14,KNL11,sacramento river,knights landing,knights landing,322,not recorded,not recorded,not recorded
2000-02-15,KNL12,sacramento river,knights landing,knights landing,1936,not recorded,not recorded,not recorded
2000-02-16,KNL13,sacramento river,knights landing,knights landing,2634,not recorded,not recorded,not recorded
2000-02-19,KNL14,sacramento river,knights landing,knights landing,179,not recorded,not recorded,not recorded
2000-02-20,KNL15,sacramento river,knights landing,knights landing,642,not recorded,not recorded,not recorded
2000-02-21,KNL16,sacramento river,knights landing,knights landing,465,not recorded,not recorded,not recorded
2000-02-22,KNL17,sacramento river,knights landing,knights landing,288,not recorded,not recorded,not recorded
2000-02-23,KNL18,sacramento river,knights landing,knights landing,172,not recorded,not recorded,not recorded
2000-02-26,KNL19,sacramento river,knights landing,knights landing,358,not recorded,not recorded,not recorded
2000-02-29,KNL20,sacramento river,knights landing,knights landing,262,not recorded,not recorded,not recorded
2000-03-01,KNL21,sacramento river,knights landing,knights landing,149,not recorded,not recorded,not recorded
