release_location_name,dist_along_mi
COLEMAN NFH,183.57491661081127
BATTLE CREEK BELOW CNFH,177.94333628388404
BATTLE CREEK NFK WILDCAT,194.2211165232594
BALDWIN CONST. YARD,91.6988303756842
SAC R LAKE REDDING PARK,205.2231295747526
SAC R BEL RBDD,72.87430261624603
SAC R AT RYDE KOKET,64.40171962575138
SAC R RED BLUFF DIV DAM,149.35506703715993
SAC R AT CLARKSBURG,47.1384129421965
SAC R COLUSA TO RBDD,51.71190795138184
SAC R BONNYVIEW BOAT RAMP,198.6884837456601
SAC R AT BUTTE CITY,77.71243827675198
