year,count,data_type,stream
1992,209,holding,deer creek
1993,259,holding,deer creek
1994,485,holding,deer creek
1995,1295,holding,deer creek
1996,614,holding,deer creek
1997,466,holding,deer creek
1998,1879,holding,deer creek
1999,1591,holding,deer creek
2000,637,holding,deer creek
2001,1622,holding,deer creek
2002,2195,holding,deer creek
2003,2759,holding,deer creek
2004,804,holding,deer creek
2005,2239,holding,deer creek
2006,2432,holding,deer creek
2007,644,holding,deer creek
2008,140,holding,deer creek
2009,213,holding,deer creek
2010,262,holding,deer creek
2011,271,holding,deer creek
2012,734,holding,deer creek
2013,708,holding,deer creek
2014,641,holding,deer creek
2015,99,holding,deer creek
2016,268,holding,deer creek
2017,219,holding,deer creek
2018,104,holding,deer creek
2019,373,holding,deer creek
2020,40,holding,deer creek
2021,282,redd,deer creek
2022,127,holding,deer creek
2023,16,holding,deer creek
2024,33,holding,deer creek
2014,830,upstream_estimate,deer creek
2015,268,upstream_estimate,deer creek
2016,331,upstream_estimate,deer creek
2017,159,upstream_estimate,deer creek
2018,159,upstream_estimate,deer creek
2019,585,upstream_estimate,deer creek
2020,90,upstream_estimate,deer creek
2021,614,upstream_estimate,deer creek
2022,397,upstream_estimate,deer creek
2023,23,upstream_estimate,deer creek
2007,920,redd,mill creek
2008,362,redd,mill creek
2009,237,redd,mill creek
2010,482,redd,mill creek
2011,366,redd,mill creek
2012,542,redd,mill creek
2013,1200,redd,mill creek
2014,440,redd,mill creek
2015,116,redd,mill creek
2016,94,redd,mill creek
2017,258,redd,mill creek
2018,152,redd,mill creek
2019,180,redd,mill creek
2020,80,redd,mill creek
2021,620,redd,mill creek
2022,250,redd,mill creek
2023,34,redd,mill creek
2024,18,redd,mill creek
2007,"1,060",upstream_estimate,mill creek
2008,381,upstream_estimate,mill creek
2009,242,upstream_estimate,mill creek
2010,206,upstream_estimate,mill creek
2011,210,upstream_estimate,mill creek
2012,768,upstream_estimate,mill creek
2013,644,upstream_estimate,mill creek
2014,679,upstream_estimate,mill creek
2015,127,upstream_estimate,mill creek
2016,175,upstream_estimate,mill creek
2017,99,upstream_estimate,mill creek
2018,51,upstream_estimate,mill creek
2019,80,upstream_estimate,mill creek
2020,73,upstream_estimate,mill creek
2021,718,upstream_estimate,mill creek
2022,233,upstream_estimate,mill creek
2023,9,upstream_estimate,mill creek
2024,15,upstream_estimate,mill creek
1996,253,redd,mill creek
1997,202,redd,mill creek
1998,424,redd,mill creek
1999,560,redd,mill creek
2000,544,redd,mill creek
2001,1104,redd,mill creek
2002,1594,redd,mill creek
2003,1426,redd,mill creek
2004,998,redd,mill creek
2005,1150,redd,mill creek
2006,1002,redd,mill creek
