comid,metric,p10,p25,p50,p75,p90,source,result_type
7968461,Peak_Dur_2,1,1,3,8,18.8,inferred,predicted
7968461,Peak_Dur_5,1,1.25,2.5,3,5.7,inferred,predicted
7968461,Peak_Fre_2,1,1,2,3,5,inferred,predicted
7968461,Peak_Fre_5,1,1,1,2,3,inferred,predicted
7968461,Peak_10,68412.65630150691,101344.85235850801,110227.513312929,117769.37529429099,132970.090765956,model,predicted
7968461,Peak_2,32688.6848240302,42109.494258449,46862.383642683606,47990.2873637423,51872.5429207841,model,predicted
7968461,Peak_5,49166.068812752696,65455.6659098497,72684.0387846401,74555.42465909901,87155.67807095259,model,predicted
7968461,DS_Dur_WS,77.42,104.5625,125.725,156,177.54,model,predicted
7968461,DS_Mag_50,830.873494857532,1036.14708720784,1188.64569839031,1306.91277338506,1445.9420223588,model,predicted
7968461,DS_Mag_90,1059.89892748665,1470.91568055424,1893.15468451561,2439.38435063164,3228.01949600899,model,predicted
7968461,DS_Tim,288.670833333334,298.15,306,322.4875,339.49,model,predicted
7968461,FA_Mag,1620.85247867266,2453.40635054267,3670.03665507594,5221.85154231731,9927.53928890495,model,predicted
7968461,FA_Tim,6,12,23,28.7708333333333,42.18,model,predicted
7968461,SP_Dur,76.325,90.0458333333333,114.8875,131.5,156.866666666667,model,predicted
7968461,SP_Mag,12716.3016586246,17222.5365192116,22905.410322098902,30667.390987992,38057.7437297154,model,predicted
7968461,SP_Tim,165.69,188.075,209.95,228.3,240.8775,model,predicted
7968461,Wet_BFL_Dur,74.235,101.575,133.475,157.78125,182.5,model,predicted
7968461,Wet_BFL_Mag_10,1122.43017043777,1592.55231334358,2111.31928010075,2914.35527768272,4024.51062725647,model,predicted
7968461,Wet_BFL_Mag_50,4409.49827572958,6385.12544381897,8351.02878973625,9729.77281492883,11040.5331076947,model,predicted
7968461,Wet_Tim,40.9833333333333,49.65,68.1,84.7625,104.86,model,predicted
