stream,year,exclusion_type,reason_for_exclusion ,notes 
battle creek,2003,really low sampling, only a few weeks of data ,
battle creek,2007,really low sampling ,only 12 week of data ,
battle creek,2015,missing four consecutive weeks in critical window ,,
butte creek,2019,really low sampling ,only 10 weeks of data,
butte creek,2005,really low sampling ,only 6 weeks of data ,
butte creek,1997,missing four consecutive weeks in critical window ,,
butte creek,2006,missing four consecutive weeks in critical window ,,
butte creek,1998,missing four consecutive weeks in critical window ,,
deer creek,1993,really low sampling ,only 6 weeks of data ,
deer creek,1994,really low sampling ,only 6 weeks of data ,
deer creek,1997,really low sampling ,only 4 weeks of data,
deer creek,1998,really low sampling ,only 5 weeks of data,
deer creek,2008,really low sampling ,only 9 weeks of data,
deer creek,1999,missing four consecutive weeks in critical window ,,
deer creek,2004,missing four consecutive weeks in critical window ,,
deer creek,2006,missing four consecutive weeks in critical window ,,
feather river ,2021,missing four consecutive weeks in critical window ,,
feather river ,2017,missing four consecutive weeks in critical window ,,
mill creek,1997,really low sampling ,only 4 weeks of data,
mill creek,1998,really low sampling ,only 4 weeks of data,
mill creek,1999,missing four consecutive weeks in critical window ,,
mill creek,2004,missing four consecutive weeks in critical window ,,
mill creek,2009,missing four consecutive weeks in critical window ,,
sacramento river,2013,missing four consecutive weeks in critical window ,,
yuba river, 2008, really low sampling ,only 4 weeks of data at yuba river site,, 
