date,stream,site_group,gage_agency,gage_number,statistic,value
1998-10-01,feather river,upper feather hfc,interpolated,interpolated,mean,17.173144251519478
1998-10-01,feather river,upper feather hfc,interpolated,interpolated,max,17.715798832468945
1998-10-01,feather river,upper feather hfc,interpolated,interpolated,min,15.961620956456608
1998-10-02,feather river,upper feather hfc,interpolated,interpolated,mean,16.828989766184513
1998-10-02,feather river,upper feather hfc,interpolated,interpolated,max,16.714952628001758
1998-10-02,feather river,upper feather hfc,interpolated,interpolated,min,16.324520129954067
1998-10-03,feather river,upper feather hfc,interpolated,interpolated,mean,16.65669044003672
1998-10-03,feather river,upper feather hfc,interpolated,interpolated,max,17.0482682482193
1998-10-03,feather river,upper feather hfc,interpolated,interpolated,min,15.597848502206096
1998-10-04,feather river,upper feather hfc,interpolated,interpolated,mean,15.796970477140238
1998-10-04,feather river,upper feather hfc,interpolated,interpolated,max,16.3809624999233
1998-10-04,feather river,upper feather hfc,interpolated,interpolated,min,14.507986607376317
1998-10-05,feather river,upper feather hfc,interpolated,interpolated,mean,15.624671150992446
1998-10-05,feather river,upper feather hfc,interpolated,interpolated,max,16.38073766396966
1998-10-05,feather river,upper feather hfc,interpolated,interpolated,min,14.144505246710155
1998-10-06,feather river,upper feather hfc,interpolated,interpolated,mean,15.280516665657483
1998-10-06,feather river,upper feather hfc,interpolated,interpolated,max,15.713431915673654
1998-10-06,feather river,upper feather hfc,interpolated,interpolated,min,14.144214153125803
1998-10-07,feather river,upper feather hfc,interpolated,interpolated,mean,15.451927657884033
1998-10-07,feather river,upper feather hfc,interpolated,interpolated,max,16.0467475358912
1998-10-07,feather river,upper feather hfc,interpolated,interpolated,min,14.143923059541452
1998-10-08,feather river,upper feather hfc,interpolated,interpolated,mean,15.795193809297757
1998-10-08,feather river,upper feather hfc,interpolated,interpolated,max,16.380063156108744
1998-10-08,feather river,upper feather hfc,interpolated,interpolated,min,14.506822233038907
1998-10-09,feather river,upper feather hfc,interpolated,interpolated,mean,15.622894483149965
1998-10-09,feather river,upper feather hfc,interpolated,interpolated,max,16.046297863983924
1998-10-09,feather river,upper feather hfc,interpolated,interpolated,min,14.506531139454555
