date,stream,site_group,gage_agency,gage_number,statistic,value
1998-10-01,feather river,upper feather lfc,interpolated,interpolated,mean,9.975075268741978
1998-10-01,feather river,upper feather lfc,interpolated,interpolated,max,10.12659845413896
1998-10-01,feather river,upper feather lfc,interpolated,interpolated,min,9.175229229612384
1998-10-02,feather river,upper feather lfc,interpolated,interpolated,mean,9.759343153080337
1998-10-02,feather river,upper feather lfc,interpolated,interpolated,max,9.448346304326263
1998-10-02,feather river,upper feather lfc,interpolated,interpolated,min,9.375730058923832
1998-10-03,feather river,upper feather lfc,interpolated,interpolated,mean,9.651698466389107
1998-10-03,feather river,upper feather lfc,interpolated,interpolated,max,9.675154602622754
1998-10-03,feather river,upper feather lfc,interpolated,interpolated,min,8.97596561642547
1998-10-04,feather river,upper feather lfc,interpolated,interpolated,mean,9.111704063816228
1998-10-04,feather river,upper feather lfc,interpolated,interpolated,max,9.223167564837354
1998-10-04,feather river,upper feather lfc,interpolated,interpolated,min,8.3761127499905
1998-10-05,feather river,upper feather lfc,interpolated,interpolated,mean,9.004059377125
1998-10-05,feather river,upper feather lfc,interpolated,interpolated,max,9.223710751106548
1998-10-05,feather river,upper feather lfc,interpolated,interpolated,min,8.17643673142874
1998-10-06,feather river,upper feather lfc,interpolated,interpolated,mean,8.788327261463358
1998-10-06,feather river,upper feather lfc,interpolated,interpolated,max,8.771723713321146
1998-10-06,feather river,upper feather lfc,interpolated,interpolated,min,8.176849136803584
1998-10-07,feather river,upper feather lfc,interpolated,interpolated,mean,8.896857432712956
1998-10-07,feather river,upper feather lfc,interpolated,interpolated,max,8.998532011617637
1998-10-07,feather river,upper feather lfc,interpolated,interpolated,min,8.177261542178428
1998-10-08,feather river,upper feather lfc,interpolated,interpolated,mean,9.113475032932968
1998-10-08,feather river,upper feather lfc,interpolated,interpolated,max,9.225340309914131
1998-10-08,feather river,upper feather lfc,interpolated,interpolated,min,8.377762371489876
1998-10-09,feather river,upper feather lfc,interpolated,interpolated,mean,9.005830346241739
1998-10-09,feather river,upper feather lfc,interpolated,interpolated,max,8.999618384156026
1998-10-09,feather river,upper feather lfc,interpolated,interpolated,min,8.378174776864718
1998-10-10,feather river,upper feather lfc,interpolated,interpolated,mean,8.573923372639271
1998-10-10,feather river,upper feather lfc,interpolated,interpolated,max,8.547631346370625
1998-10-10,feather river,upper feather lfc,interpolated,interpolated,min,7.978410334366354
1998-10-11,feather river,upper feather lfc,interpolated,interpolated,mean,8.358191256977634
1998-10-11,feather river,upper feather lfc,interpolated,interpolated,max,8.321909420612522
1998-10-11,feather river,upper feather lfc,interpolated,interpolated,min,7.778734315804594
1998-10-12,feather river,upper feather lfc,interpolated,interpolated,mean,8.250546570286403
1998-10-12,feather river,upper feather lfc,interpolated,interpolated,max,8.09618749485442
1998-10-12,feather river,upper feather lfc,interpolated,interpolated,min,7.779146721179438
1998-10-13,feather river,upper feather lfc,interpolated,interpolated,mean,8.791426457417652
1998-10-13,feather river,upper feather lfc,interpolated,interpolated,max,8.775526017205506
1998-10-13,feather river,upper feather lfc,interpolated,interpolated,min,8.179735974427487
1998-10-14,feather river,upper feather lfc,interpolated,interpolated,mean,8.575694341756012
1998-10-14,feather river,upper feather lfc,interpolated,interpolated,max,8.5498040914474025
1998-10-14,feather river,upper feather lfc,interpolated,interpolated,min,7.980059955865728
1998-10-15,feather river,upper feather lfc,interpolated,interpolated,mean,8.251874797123957
1998-10-15,feather river,upper feather lfc,interpolated,interpolated,max,8.3240821656893
1998-10-15,feather river,upper feather lfc,interpolated,interpolated,min,7.580295513367363
1998-10-16,feather river,upper feather lfc,interpolated,interpolated,mean,7.928055252491904
1998-10-16,feather river,upper feather lfc,interpolated,interpolated,max,7.872095127903899
1998-10-16,feather river,upper feather lfc,interpolated,interpolated,min,7.380619494805604
1998-10-17,feather river,upper feather lfc,interpolated,interpolated,mean,7.820410565800676
1998-10-17,feather river,upper feather lfc,interpolated,interpolated,max,7.872638314173093
1998-10-17,feather river,upper feather lfc,interpolated,interpolated,min,7.1809434762438435
1998-10-18,feather river,upper feather lfc,interpolated,interpolated,mean,7.820853308079861
1998-10-18,feather river,upper feather lfc,interpolated,interpolated,max,7.873181500442287
1998-10-18,feather river,upper feather lfc,interpolated,interpolated,min,7.181355881618687
1998-10-19,feather river,upper feather lfc,interpolated,interpolated,mean,8.145558337270284
1998-10-19,feather river,upper feather lfc,interpolated,interpolated,max,8.326254910766078
1998-10-19,feather river,upper feather lfc,interpolated,interpolated,min,7.381856710930133
1998-10-20,feather river,upper feather lfc,interpolated,interpolated,mean,8.254088508519882
1998-10-20,feather river,upper feather lfc,interpolated,interpolated,max,8.326798097035272
1998-10-20,feather river,upper feather lfc,interpolated,interpolated,min,7.58235754024158
1998-10-21,feather river,upper feather lfc,interpolated,interpolated,mean,8.254531250799065
1998-10-21,feather river,upper feather lfc,interpolated,interpolated,max,8.327341283304467
1998-10-21,feather river,upper feather lfc,interpolated,interpolated,min,7.582769945616423
1998-10-22,feather river,upper feather lfc,interpolated,interpolated,mean,8.363061422048663
1998-10-22,feather river,upper feather lfc,interpolated,interpolated,max,8.327884469573661
1998-10-22,feather river,upper feather lfc,interpolated,interpolated,min,7.783270774927871
1998-10-23,feather river,upper feather lfc,interpolated,interpolated,mean,8.255416735357436
1998-10-23,feather river,upper feather lfc,interpolated,interpolated,max,8.328427655842855
1998-10-23,feather river,upper feather lfc,interpolated,interpolated,min,7.583594756366111
1998-10-24,feather river,upper feather lfc,interpolated,interpolated,mean,8.25585947763662
1998-10-24,feather river,upper feather lfc,interpolated,interpolated,max,7.6501755060301555
1998-10-24,feather river,upper feather lfc,interpolated,interpolated,min,8.184272433550763
1998-10-25,feather river,upper feather lfc,interpolated,interpolated,mean,8.364389648886217
1998-10-25,feather river,upper feather lfc,interpolated,interpolated,max,8.103248916353945
1998-10-25,feather river,upper feather lfc,interpolated,interpolated,min,7.984596414989005
1998-10-26,feather river,upper feather lfc,interpolated,interpolated,mean,8.25674496219499
1998-10-26,feather river,upper feather lfc,interpolated,interpolated,max,8.103792102623139
1998-10-26,feather river,upper feather lfc,interpolated,interpolated,min,7.784920396427244
1998-10-27,feather river,upper feather lfc,interpolated,interpolated,mean,8.365275133444587
1998-10-27,feather river,upper feather lfc,interpolated,interpolated,max,8.104335288892333
1998-10-27,feather river,upper feather lfc,interpolated,interpolated,min,7.985421225738691
1998-10-28,feather river,upper feather lfc,interpolated,interpolated,mean,8.365717875723771
1998-10-28,feather river,upper feather lfc,interpolated,interpolated,max,7.87861336313423
1998-10-28,feather river,upper feather lfc,interpolated,interpolated,min,8.185922055050138
1998-10-29,feather river,upper feather lfc,interpolated,interpolated,mean,8.366160618002956
1998-10-29,feather river,upper feather lfc,interpolated,interpolated,max,8.105421661430722
1998-10-29,feather river,upper feather lfc,interpolated,interpolated,min,7.986246036488378
1998-10-30,feather river,upper feather lfc,interpolated,interpolated,mean,8.042341073370903
1998-10-30,feather river,upper feather lfc,interpolated,interpolated,max,7.879699735672618
1998-10-30,feather river,upper feather lfc,interpolated,interpolated,min,7.586481593990014
1998-10-31,feather river,upper feather lfc,interpolated,interpolated,mean,7.610434099768436
1998-10-31,feather river,upper feather lfc,interpolated,interpolated,max,7.2014475858599205
1998-10-31,feather river,upper feather lfc,interpolated,interpolated,min,7.386805575428254
1998-11-01,feather river,upper feather lfc,interpolated,interpolated,mean,8.043226557929271
1998-11-01,feather river,upper feather lfc,interpolated,interpolated,max,7.6545209961837095
1998-11-01,feather river,upper feather lfc,interpolated,interpolated,min,7.787394828676304
1998-11-02,feather river,upper feather lfc,interpolated,interpolated,mean,7.6113195843268056
1998-11-02,feather river,upper feather lfc,interpolated,interpolated,max,7.428799070425606
1998-11-02,feather river,upper feather lfc,interpolated,interpolated,min,7.187541962241337
1998-11-03,feather river,upper feather lfc,interpolated,interpolated,mean,7.8279371845468155
1998-11-03,feather river,upper feather lfc,interpolated,interpolated,max,7.429342256694801
1998-11-03,feather river,upper feather lfc,interpolated,interpolated,min,7.588131215489387
1998-11-04,feather river,upper feather lfc,interpolated,interpolated,mean,7.720292497855588
1998-11-04,feather river,upper feather lfc,interpolated,interpolated,max,7.429885442963995
1998-11-04,feather river,upper feather lfc,interpolated,interpolated,min,7.3884551969276275
1998-11-05,feather river,upper feather lfc,interpolated,interpolated,mean,7.720735240134773
1998-11-05,feather river,upper feather lfc,interpolated,interpolated,max,7.430428629233189
1998-11-05,feather river,upper feather lfc,interpolated,interpolated,min,7.38886760230247
